SpectrumID	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	UpdateWorkflowName	LibraryQualityString	#Scan#	SpectrumFile	LibraryName	MQScore	Organism	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	LibMZ	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	tags	MoleculeExplorerDatasets	MoleculeExplorerFiles	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway
CCMSLIB00004680136	Loliolide	LC-ESI	Orbitrap	Crude	Lihini Aluwihare	Daniel Petras	M+H	197.117	0.0	1	 	 	CC1(CC(CC2(C1=CC(=O)O2)C)O)C	 	 	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	1303	spectra_filtered/specs_ms.mgf	lib-00035.mgf	0.990383	GNPS-LIBRARY	32316200.0	301.967	1.00633	58	0.00019836400000000003	197.117	197.11700000000002	1	spectra_filtered/specs_ms.mgf1303	1		25	1085	XEVQXKKKAVVSMW-UHFFFAOYSA-N	XEVQXKKKAVVSMW	N/A	N/A	N/A	Apocarotenoids	Apocarotenoids (β-)	Terpenoids
CCMSLIB00005464127	KYNURENATE	ESI	Orbitrap	Commercial	Dorrestein	Kelly Weldon	M+H	190.05	189.043	1	492-27-3	N/A	OC(=O)C1=CC(=O)C2=CC=CC=C2N1	"""InChI=1S/C10H7NO3/c12-9-5-8(10(13)14)11-7-4-2-1-3-6(7)9/h1-5H,(H,11,12)(H,13,14)"""	N/A	1	Positive	UPDATE-SINGLE-ANNOTATED-GOLD	Gold	1912	spectra_filtered/specs_ms.mgf	lib-00025.mgf	0.9880629999999999	GNPS-MSMLS	35797800.0	181.317	1.04375	12	0.00019836400000000003	190.05	190.05	1	spectra_filtered/specs_ms.mgf1912	1		0	0	HCZHHEIFKROPDY-UHFFFAOYSA-N	HCZHHEIFKROPDY	Organoheterocyclic compounds	Quinolines and derivatives	Quinoline carboxylic acids	Anthranilic acid alkaloids	Acridone alkaloids	Alkaloids
CCMSLIB00003137138	Spectral Match to DL-Phenylalanine from NIST14	ESI	QQQ	Isolated	Data from Pieter Dorrestein	Data deposited by daniel	M+H	166.086	165.079	1	150301	N/A	C1=CC=C(C=C1)CC(C(=O)O)N	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	22244	spectra_filtered/specs_ms.mgf	lib-00015.mgf	0.984049	GNPS-NIST14-MATCHES	10733800.0	93.956	1.8374599999999999	19	0.000305176	166.086	166.08599999999998	1	spectra_filtered/specs_ms.mgf22244	1		57	2653	COLNVLDHVKWLRT-UHFFFAOYSA-N	COLNVLDHVKWLRT	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids
CCMSLIB00000841613	MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide	ESI	LC-ESI-QFT	Isolated	Massbank EU	Massbank	[M+H]+	192.138	0.0	1	134-62-3	N/A	CCN(CC)C(=O)C1=CC(C)=CC=C1	1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	12	spectra_filtered/specs_ms.mgf	lib-00027.mgf	0.9786879999999999	MASSBANKEU	8723800.0	475.596	1.03241	5	0.00019836400000000003	192.138	192.138	1	spectra_filtered/specs_ms.mgf12	1		0	0	MMOXZBCLCQITDF-UHFFFAOYSA-N	MMOXZBCLCQITDF	Benzenoids	Benzene and substituted derivatives	Toluenes			Alkaloids
CCMSLIB00005770866	Massbank:NA003003 Dicyclohexylamine|N-cyclohexylcyclohexanamine	ESI	Hybrid FT	Isolated	Massbank	Massbank	M+H	182.19	0.0	1	122-39-4	N/A	C1CCC(CC1)NC1CCCCC1	1S/C12H23N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h11-13H,1-10H2	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	1981	spectra_filtered/specs_ms.mgf	lib-00039.mgf	0.972617	MASSBANK	14351900.0	279.363	1.67504	4	0.000305176	182.19	182.19	1	spectra_filtered/specs_ms.mgf1981	1		0	0	XBPCUCUWBYBCDP-UHFFFAOYSA-N	XBPCUCUWBYBCDP	Organic nitrogen compounds	Organonitrogen compounds	Cyclohexylamines	Fatty esters	Lactones	Fatty acids
CCMSLIB00003137108	Spectral Match to Dibutyl phthalate from NIST14	ESI	QQQ	Isolated	Data from Pieter Dorrestein	Data deposited by daniel	M+H	279.159	278.152	1	84742	N/A	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	1321	spectra_filtered/specs_ms.mgf	lib-00015.mgf	0.972118	GNPS-NIST14-MATCHES	22744600.0	638.3480000000001	0.765238	10	0.000213623	279.159	279.159	1	spectra_filtered/specs_ms.mgf1321	1		173	12933	DOIRQSBPFJWKBE-UHFFFAOYSA-N	DOIRQSBPFJWKBE	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Phenolic acids (C6-C1)	Shikimic acids and derivatives|Simple phenolic acids	Shikimates and Phenylpropanoids
CCMSLIB00005766331	Massbank:LU119202 Ethyl 3-(N-butylacetamido)propionate|Ethyl butylacetylaminopropionate|ethyl 3-[acetyl(butyl)amino]propanoate	ESI	Hybrid FT	Isolated	Massbank	Massbank	M+H	216.159	0.0	1	5334-18-9	N/A	CCCCN(CCC(=O)OCC)C(C)=O	1S/C11H21NO3/c1-4-6-8-12(10(3)13)9-7-11(14)15-5-2/h4-9H2,1-3H3	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	1373	spectra_filtered/specs_ms.mgf	lib-00039.mgf	0.970794	MASSBANK	12872600.0	422.144	2.3294900000000003	10	0.00050354	216.159	216.16	1	spectra_filtered/specs_ms.mgf1373	1		0	0	VZRKEAFHFMSHCD-UHFFFAOYSA-N	VZRKEAFHFMSHCD	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives	Fatty esters	Wax monoesters	Fatty acids
CCMSLIB00000223854	Massbank:UF420203 2-Octyl-4-isothiazolin-3-one|2-octyl-1,2-thiazol-3-one	ESI	LC-ESI-ITFT	Isolated	Putative Massbank Match	Massbank	[M+H]+	214.126	0.0	1	26530-20-1	N/A	O=C1/C=C\SN1CCCCCCCC	1S/C11H19NOS/c1-2-3-4-5-6-7-9-12-11(13)8-10-14-12/h8,10H,2-7,9H2,1H3	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	1305	spectra_filtered/specs_ms.mgf	lib-00039.mgf	0.9675969999999999	MASSBANK	6477500.0	568.309	0.0	4	0.0	214.126	214.12599999999998	1	spectra_filtered/specs_ms.mgf1305	1		0	0	JPMIIZHYYWMHDT-UHFFFAOYSA-N	JPMIIZHYYWMHDT	Organoheterocyclic compounds	Azoles	Thiazoles			
CCMSLIB00003138447	Spectral Match to Benzyldodecyldimethylammonium from NIST14	ESI	QqQ	Isolated	Data from Maria Maansson	Data deposited by marjo	Cat	304.302	0.0	1	10328355	N/A	N/A	N/A	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	623	spectra_filtered/specs_ms.mgf	lib-00015.mgf	0.964635	GNPS-NIST14-MATCHES	45768600.0	590.163	7.22067	4	0.00219727	304.302	304.3	1	spectra_filtered/specs_ms.mgf623	1		28	2602	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CCMSLIB00000579622	0821_triethylphosphate	LC-ESI	Orbitrap	Commercial	CASMI	CASMI2016	M+H	183.078	0.0	1	N/A	5323	CCOP(=O)(OCC)OCC	"""InChI=1S/C6H15O4P/c1-4-8-11(7,9-5-2)10-6-3/h4-6H2,1-3H3"""	N/A	1	 Positive	UPDATE-SINGLE-ANNOTATED-GOLD	Gold	1444	spectra_filtered/specs_ms.mgf	lib-00000.mgf	0.9646129999999999	CASMI	24140800.0	327.965	0.0	7	0.0	183.078	183.078	1	spectra_filtered/specs_ms.mgf1444	1		0	0	DQWPFSLDHJDLRL-UHFFFAOYSA-N	DQWPFSLDHJDLRL	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters			Fatty acids
