ATTRIBUTE_SampleNames	ATTRIBUTE_SampleType	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:ABC_019	GNPSGROUP:ABC_020	GNPSGROUP:ABC_021	GNPSGROUP:ABC_022	GNPSGROUP:ABC_023	GNPSGROUP:ABC_024	GNPSGROUP:ABC_025	GNPSGROUP:ABC_026	GNPSGROUP:ABC_027	GNPSGROUP:ABC_028	GNPSGROUP:ABC_029	GNPSGROUP:ABC_030	GNPSGROUP:ABC_031	GNPSGROUP:ABC_032	GNPSGROUP:ABC_033	GNPSGROUP:ABC_034	GNPSGROUP:ABC_035	GNPSGROUP:ABC_036	GNPSGROUP:ABC_073	GNPSGROUP:ABC_074	GNPSGROUP:ABC_075	GNPSGROUP:ABC_077	GNPSGROUP:ABC_078	GNPSGROUP:ABC_079	GNPSGROUP:ABC_080	GNPSGROUP:ABC_081	GNPSGROUP:ABC_082	GNPSGROUP:ABC_083	GNPSGROUP:ABC_084	GNPSGROUP:ABC_085	GNPSGROUP:ABC_086	GNPSGROUP:ABC_087	GNPSGROUP:ABC_088	GNPSGROUP:ABC_089	GNPSGROUP:ABC_090	GNPSGROUP:ABC_inoculum B_T0	GNPSGROUP:SAMPLE	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	 	 	 	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1","main.cluster index_upperinput":"1"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=26&task=3d7c083091f1454998cabc9a32ccb721&show=true	InChI=1S/C16H24O3/c1-14-10-7-5-3-2-4-6-8-11-15(17)12-9-13-16(18)19-14/h2-3,5,7,9,13-15,17H,4,6,8,10-12H2,1H3/b3-2-,7-5+,13-9+	NCGC00385962-01_C16H24O3_	0.902833	 	13.0721	13.0721	0	CC1C\C=C\C=C/CCCCC(O)C\C=C\C(=O)O1	CCMSLIB00000854835	6890271886.844243	36	1	26	 	36	247.1666	1	247.1666	6890271886.844243
 	 	 	 	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2","main.cluster index_upperinput":"2"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=104&task=3d7c083091f1454998cabc9a32ccb721&show=true	N/A	N/A	N/A	 	10.6616	10.6616	0	N/A	N/A	4153660896.5829906	36	2	104	 	36	570.4209	1	570.4209	4153660896.5829906
 	 	 	 	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3","main.cluster index_upperinput":"3"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=104&task=3d7c083091f1454998cabc9a32ccb721&show=true	N/A	N/A	N/A	 	10.6457	10.6457	0	N/A	N/A	4174800615.709581	36	3	104	 	36	614.4473	1	614.4473	4174800615.709581
 	 	 	 	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4","main.cluster index_upperinput":"4"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=104&task=3d7c083091f1454998cabc9a32ccb721&show=true	N/A	N/A	N/A	 	10.6785	10.6785	0	N/A	N/A	3304508326.5693107	36	4	104	 	36	526.3947	1	526.3947	3304508326.5693107
 	 	 	 	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5","main.cluster index_upperinput":"5"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=15&task=3d7c083091f1454998cabc9a32ccb721&show=true	N/A	Spectral Match to 13-Docosenamide, (Z)- from NIST14	0.872992	 	12.4234	12.4234	0	N/A	CCMSLIB00003136541	20224436935.282623	36	5	15	 	36	338.3418	1	338.3418	20224436935.282623
 	 	 	 	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6","main.cluster index_upperinput":"6"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=104&task=3d7c083091f1454998cabc9a32ccb721&show=true	N/A	N/A	N/A	 	10.6296	10.6296	0	N/A	N/A	3216787329.9018955	36	6	104	 	36	658.4736	1	658.4736	3216787329.9018955
 	 	 	 	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8","main.cluster index_upperinput":"8"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=104&task=3d7c083091f1454998cabc9a32ccb721&show=true	N/A	N/A	N/A	 	10.6144	10.6144	0	N/A	N/A	1871837722.6849976	36	8	104	 	36	702.4999	1	702.4999	1871837722.6849976
 	 	 	 	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9","main.cluster index_upperinput":"9"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=119&task=3d7c083091f1454998cabc9a32ccb721&show=true	N/A	N/A	N/A	 	11.2560	11.2560	0	N/A	N/A	6936348418.449778	36	9	119	 	36	554.1762	1	554.1762	6936348418.449778
 	 	 	 	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"11","main.cluster index_upperinput":"11"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=104&task=3d7c083091f1454998cabc9a32ccb721&show=true	N/A	N/A	N/A	 	10.6929	10.6929	0	N/A	N/A	1696789277.9110334	36	11	104	 	36	482.3687	1	482.3687	1696789277.9110334
 	 	337.0	[M+H]+	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"12","main.cluster index_upperinput":"12"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=233&task=3d7c083091f1454998cabc9a32ccb721&show=true	1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3	MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide	0.9786879999999999	 	7.9266	7.9266	0	CCN(CC)C(=O)C1=CC(C)=CC=C1	CCMSLIB00000841613	697369646149.4695	36	12	233	191.13099999999997	36	192.1382	1	192.1382	697369646149.4695
 	 	 	 	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"13","main.cluster index_upperinput":"13"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=104&task=3d7c083091f1454998cabc9a32ccb721&show=true	N/A	N/A	N/A	 	11.0931	11.0931	0	N/A	N/A	1292178747.5974567	36	13	104	 	36	598.4521	1	598.4521	1292178747.5974567
 	 	45.0	[M+H]+	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"14","main.cluster index_upperinput":"14"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=14&task=3d7c083091f1454998cabc9a32ccb721&show=true	N/A	N/A	N/A	 	2.9489	2.9489	0	N/A	N/A	125249130183.91876	36	14	14	226.1681	36	227.1754	1	227.1754	125249130183.91876
 	 	 	 	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"15","main.cluster index_upperinput":"15"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=502&task=3d7c083091f1454998cabc9a32ccb721&show=true	N/A	N/A	N/A	 	11.0722	11.0722	0	N/A	N/A	1355022806.7284358	36	15	502	 	36	682.3634	1	682.3634	1355022806.7284358
 	 	 	 	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"18","main.cluster index_upperinput":"18"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=15&task=3d7c083091f1454998cabc9a32ccb721&show=true	N/A	N/A	N/A	 	11.8537	11.8537	0	N/A	N/A	100979198.32824291	35	18	15	 	35	448.2789	1	448.2789	100979198.32824291
 	 	 	 	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"20","main.cluster index_upperinput":"20"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=15&task=3d7c083091f1454998cabc9a32ccb721&show=true	N/A	N/A	N/A	 	11.8545	11.8545	0	N/A	N/A	94778029.19710822	31	20	15	 	31	450.2762	1	450.2762	94778029.19710822
 	 	 	 	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"22","main.cluster index_upperinput":"22"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=502&task=3d7c083091f1454998cabc9a32ccb721&show=true	N/A	N/A	N/A	 	9.6410	9.6410	0	N/A	N/A	146910454.16236392	20	22	502	 	20	432.2504	1	432.2504	146910454.16236392
 	 	 	 	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"23","main.cluster index_upperinput":"23"}	This Node is a Singleton	N/A	N/A	N/A	 	10.2974	10.2974	0	N/A	N/A	789067355.3024293	36	23	-1	 	36	546.3266	1	546.3266	789067355.3024293
 	 	441.0	[M+NH4]+	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"25","main.cluster index_upperinput":"25"}	This Node is a Singleton	N/A	N/A	N/A	 	9.5407	9.5407	0	N/A	N/A	3711906465.150949	36	25	-1	300.1581	36	318.1912	1	318.1912	3711906465.150949
 	 	516.0	[M+NH4]+	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d7c083091f1454998cabc9a32ccb721&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"26","main.cluster index_upperinput":"26"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=119&task=3d7c083091f1454998cabc9a32ccb721&show=true	 	Contaminant vial septum ThermoFisher C5000-44B	0.926082	 	11.6178	11.6178	0	 	CCMSLIB00005435823	7148237661.618517	36	26	119	610.1611	36	628.1951	1	628.1951	7148237661.618517
