filename	ATTRIBUTE_SampleType	ATTRIBUTE_SampleNames
Mo_2019_320.mzML Peak area	SAMPLE	ABC_019
Mo_2019_321.mzML Peak area	SAMPLE	ABC_020
Mo_2019_322.mzML Peak area	SAMPLE	ABC_021
Mo_2019_323.mzML Peak area	SAMPLE	ABC_023
Mo_2019_324.mzML Peak area	SAMPLE	ABC_024
Mo_2019_325.mzML Peak area	SAMPLE	ABC_025
Mo_2019_326.mzML Peak area	SAMPLE	ABC_026
Mo_2019_327.mzML Peak area	SAMPLE	ABC_027
Mo_2019_328.mzML Peak area	SAMPLE	ABC_028
Mo_2019_329.mzML Peak area	SAMPLE	ABC_029
Mo_2019_330.mzML Peak area	SAMPLE	ABC_030
Mo_2019_331.mzML Peak area	SAMPLE	ABC_031
Mo_2019_332.mzML Peak area	SAMPLE	ABC_032
Mo_2019_333.mzML Peak area	SAMPLE	ABC_033
Mo_2019_334.mzML Peak area	SAMPLE	ABC_034
Mo_2019_335.mzML Peak area	SAMPLE	ABC_035
Mo_2019_336.mzML Peak area	SAMPLE	ABC_036
Mo_2019_337.mzML Peak area	SAMPLE	ABC_073
Mo_2019_338.mzML Peak area	SAMPLE	ABC_074
Mo_2019_339.mzML Peak area	SAMPLE	ABC_075
Mo_2019_340.mzML Peak area	SAMPLE	ABC_077
Mo_2019_341.mzML Peak area	SAMPLE	ABC_078
Mo_2019_342.mzML Peak area	SAMPLE	ABC_079
Mo_2019_343.mzML Peak area	SAMPLE	ABC_080
Mo_2019_344.mzML Peak area	SAMPLE	ABC_081
Mo_2019_345.mzML Peak area	SAMPLE	ABC_082
Mo_2019_346.mzML Peak area	SAMPLE	ABC_083
Mo_2019_347.mzML Peak area	SAMPLE	ABC_084
Mo_2019_348.mzML Peak area	SAMPLE	ABC_085
Mo_2019_349.mzML Peak area	SAMPLE	ABC_086
Mo_2019_350.mzML Peak area	SAMPLE	ABC_087
Mo_2019_351.mzML Peak area	SAMPLE	ABC_088
Mo_2019_352.mzML Peak area	SAMPLE	ABC_089
Mo_2019_353.mzML Peak area	SAMPLE	ABC_090
Mo_2019_542.mzML Peak area	SAMPLE	ABC_022
Mo_2019_543.mzML Peak area	SAMPLE	ABC_inoculum B_T0
