CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2663	39824	1	0.808	0.066
2663	28904	1	0.826	-0.000
28904	39824	1	0.886	0.066
28674	28904	1	0.7852	-0.066
2663	28674	1	0.7573	0.066
28674	39824	1	0.9155	-0.000
1685	59529	2	0.9416	0.000
59529	66576	2	0.931	0.000
1685	66576	2	0.9291	0.000
1685	66544	2	0.9416	0.000
59529	66544	2	1.0	0.000
66544	66576	2	0.931	0.000
1756	3688	4	0.9644	42.047
1537	1550	4	0.9582	-14.016
1550	1573	4	0.9553	28.031
1918	2119	4	0.9511	-14.016
2204	30772	4	0.9646	0.000
1593	1598	4	0.9569	-54.047
3688	66498	4	0.9692	-26.016
1573	1593	4	0.9768	14.016
1696	1756	4	0.9639	-16.031
1650	5733	4	0.9527	82.078
1537	1847	4	0.9491	40.031
3884	5733	4	0.9461	14.016
1650	2204	4	0.9554	54.047
3884	88471	4	0.9324	28.031
66551	95948	4	0.9687	14.016
1598	1626	4	0.951	-2.016
2034	3688	4	0.9709	14.016
1573	1632	4	0.9538	-54.047
1573	2204	4	0.958	42.047
2204	5733	4	0.9512	28.031
5733	59847	4	0.9464	-14.016
9365	95948	4	0.9414	2.016
1598	66551	4	0.9408	96.094
1918	3688	4	0.954	70.078
1783	66555	4	0.9335	42.047
79930	95948	4	0.9595	14.016
2034	66555	4	0.9517	0.000
1783	1847	4	0.9574	28.031
1573	2034	4	0.9566	40.031
66498	79930	4	0.9596	28.031
2204	79930	4	0.9711	14.016
1632	66551	4	0.9467	110.110
3884	79930	4	0.9526	0.000
1696	30772	4	0.9644	14.016
1847	2204	4	0.9525	16.031
3688	66469	4	0.9584	-40.031
2034	66469	4	0.9599	-26.016
2034	9365	4	0.9578	28.031
3688	59847	4	0.9492	2.016
1573	30772	4	0.965	42.047
1650	66498	4	0.956	40.031
1550	1829	4	0.9406	-28.031
1537	1696	4	0.955	42.047
1537	1650	4	0.9659	2.016
1783	66469	4	0.9475	16.031
1918	2034	4	0.9581	56.063
1783	3688	4	0.9545	56.063
6430	33356	4	0.9338	-0.000
30772	66551	4	0.9605	14.016
1537	1598	4	0.9565	-26.016
1918	66498	4	0.9564	44.063
1847	2034	4	0.9709	14.016
1696	79930	4	0.9583	28.031
1537	1573	4	0.9675	14.016
6430	88471	4	0.9338	-0.000
1573	1650	4	0.9638	-12.000
1848	1965	4	0.9327	2.016
1573	1598	4	0.9546	-40.031
33356	88471	4	1.0	0.000
1537	2204	4	0.9524	56.063
1601	1848	4	0.9269	-42.047
1593	2204	4	0.9656	28.031
1783	9365	4	0.9389	70.078
1593	66551	4	0.9572	42.047
3688	9365	4	0.9648	14.016
1593	2034	4	0.9687	26.016
1650	1793	4	0.9551	28.031
30772	66469	4	0.9551	-28.031
1550	1650	4	0.9546	16.031
2204	59847	4	0.9598	14.016
3688	30772	4	0.9582	-12.000
1537	30772	4	0.9576	56.063
3688	79930	4	0.9528	2.016
1601	1626	4	0.9384	-16.031
66498	95948	4	0.9552	42.047
30772	66498	4	0.9673	-14.016
1598	1601	4	0.9476	14.016
66469	66498	4	0.9656	14.016
1696	2204	4	0.9696	14.016
59847	79930	4	0.9678	0.000
1537	1626	4	0.9679	-28.031
1650	1696	4	0.9568	40.031
1847	3688	4	0.9645	28.031
9365	66469	4	0.9439	-54.047
5733	66551	4	0.9564	-14.016
1537	1829	4	0.9587	-42.047
1573	1756	4	0.9592	12.000
1783	2034	4	0.9581	42.047
1593	66498	4	0.9818	14.016
5733	88471	4	0.945	14.016
1847	66469	4	0.9557	-12.000
1783	2119	4	0.9498	-28.031
1626	1650	4	0.9548	30.047
2034	2204	4	0.9598	2.016
