row ID,row m/z,row retention time,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Mo_2019_542.mzML Peak area,Mo_2019_343.mzML Peak area,Mo_2019_339.mzML Peak area,Mo_2019_342.mzML Peak area,Mo_2019_338.mzML Peak area,Mo_2019_349.mzML Peak area,Mo_2019_348.mzML Peak area,Mo_2019_346.mzML Peak area,Mo_2019_344.mzML Peak area,Mo_2019_345.mzML Peak area,Mo_2019_347.mzML Peak area,Mo_2019_337.mzML Peak area,Mo_2019_325.mzML Peak area,Mo_2019_328.mzML Peak area,Mo_2019_334.mzML Peak area,Mo_2019_341.mzML Peak area,Mo_2019_332.mzML Peak area,Mo_2019_327.mzML Peak area,Mo_2019_333.mzML Peak area,Mo_2019_335.mzML Peak area,Mo_2019_340.mzML Peak area,Mo_2019_329.mzML Peak area,Mo_2019_331.mzML Peak area,Mo_2019_324.mzML Peak area,Mo_2019_336.mzML Peak area,Mo_2019_321.mzML Peak area,Mo_2019_330.mzML Peak area,Mo_2019_326.mzML Peak area,Mo_2019_320.mzML Peak area,Mo_2019_322.mzML Peak area,Mo_2019_543.mzML Peak area,Mo_2019_351.mzML Peak area,Mo_2019_323.mzML Peak area,Mo_2019_350.mzML Peak area,Mo_2019_352.mzML Peak area,Mo_2019_353.mzML Peak area,Unnamed: 46
1,247.16662809583875,13.072058861111113,2.0,,,,,,,401646331.11254704,202242861.95099932,202092236.632141,139108417.96868107,115027370.23759532,158263175.2308931,157318057.46146086,204333526.9820901,186751302.32614043,175865433.86869407,271828993.17529416,99700189.00321227,220933191.79270557,147435100.91286793,224492227.0751349,183004816.49943545,210109855.2810841,205308350.3221896,198898468.29045773,181068313.121428,186549485.77408856,213314781.1860593,143125018.57658952,182216002.57719204,225927752.8395874,86704718.67708659,209808602.8208581,249439334.0110505,151367989.92373922,248014112.8111204,277126476.4886078,77425043.80006528,144036118.82914928,163136631.1468679,254709052.2748028,191942545.86232665,
2,570.420913975754,10.661632472222225,2.0,,,,,,,209389131.76699588,160156071.1774281,104554209.22696827,145993479.23513067,101385527.98442008,92195930.88052525,131830856.61765282,115386243.46598601,101800056.32304426,77494714.56963725,91072312.09664354,85849833.8967742,101259383.57560603,107306259.6004776,87968011.90861823,142389792.65763944,51106684.58157269,95005239.33113308,96779568.61298884,120023478.98915914,110892681.68412162,90351184.60065648,77773865.36157945,101202599.00842685,85543992.71879815,114244330.39717382,143704321.76727578,161378230.16133192,171116947.60538486,108688213.19290105,112431393.73483106,172254285.17124042,130692955.15700284,112045891.86471786,103425230.19702946,138967987.46211714,
3,614.4472851223417,10.645664194444443,2.0,,,,,,,203191492.74126256,154979935.59741023,115612103.55718872,138171768.58220926,98476691.64099716,109219917.61362344,107581294.6898525,114944655.8120652,115345225.62819616,79849540.15610333,106299738.27780274,94437193.41494893,94298040.49811848,103098506.57844935,92034341.334471,142313055.9307695,71347713.84905565,93391497.1908769,113194509.88458866,97613867.75518404,116511472.20199794,83049155.92275304,77239410.70085105,94206143.02117792,93538271.818379,96517084.72489102,120002701.77299055,166195123.03091043,150429243.67366502,102664584.8545288,124835963.0662039,167960479.10779834,131599255.20650455,117835174.98349956,102140213.04799224,184675247.84226343,
4,526.3947152031792,10.678474277777775,2.0,,,,,,,148481825.6929936,118268715.51312278,85310131.5493319,120414360.50993374,81210497.65373948,72189720.68627696,106329225.51420574,99816857.44465056,82548929.67538244,63368208.66378389,80811651.72633655,58506089.15103634,75240843.93828094,70249490.93939622,76485939.03339668,94004276.81495026,49560435.91210501,74452345.43624027,65390845.93642879,93132160.62238276,76252349.73742579,70338111.74061899,60807818.60559546,79541452.91572674,81556620.26594369,83281582.38868822,118923161.01979455,152966614.36189952,126170484.61728404,86450914.18327694,114556012.32478501,139182530.62475428,94129522.97140738,94195631.41391692,80880190.24223712,129502776.74198022,
5,338.3417735629612,12.423441138888887,2.0,,,,,,,302202910.4187756,555013916.1790876,761606294.1162653,582452855.4943465,547580251.544437,348019860.7430541,881326110.5210713,603999082.6766267,350387383.4283082,720394545.0162122,950751914.83266,661941772.532088,759971738.2110971,808315883.9745659,252468073.31246933,829609355.6138874,1066023876.8058492,290108581.04713655,817247450.0445309,372387424.85880446,631165020.4781713,289193273.0706089,507796040.2084541,320921433.03009987,578098559.701815,466584570.3899824,459227263.44252855,402090392.7527509,794242144.4647287,600889684.9125366,157627162.37068406,407032542.20805496,518326379.1184343,581427704.6833223,575265618.9533206,472739864.1258559,
6,658.4736370510525,10.629616611111109,2.0,,,,,,,150006091.48036832,129102730.77183972,87316488.75666524,114677881.98967154,70298450.05768421,89284527.45780505,88061361.06538785,99056996.48175175,92376826.20581064,66762267.02960897,90667246.78871764,62828917.89619462,71177030.36199972,73167258.10557666,70653402.73650415,99428063.8005268,53473612.75512432,88931936.44030303,91006116.68288732,93200034.65882432,91268272.01165128,75551449.58669893,49770136.296138205,61358784.67135172,84874958.36819945,66036917.62323211,101867424.4383014,115841758.36711968,110484294.80269021,70253958.36359255,90970707.88983937,122354068.33789964,106935632.63073306,90954743.59111124,82332070.18158291,114454911.2185022,
8,702.4998864067925,10.614420000000004,2.0,,,,,,,82029752.21742779,77695361.5472994,41336023.70504473,60976957.65383989,54730875.10590899,51336530.17790565,49378123.19422752,66530105.20061416,48145245.90658321,42869295.64714303,56468393.30420392,47058845.22825126,38183601.50166779,42810782.27232905,40035028.30480199,58853668.29823542,34509688.487643585,52720498.32634943,45256137.75499071,52991236.74859508,56814345.0291521,46688093.16308125,27977628.16366173,36077469.09739778,51433093.54930873,38715464.58743709,65755002.29272601,68782656.74011812,54644744.3504324,42022355.86768285,58115718.81190367,60533230.45285327,61284220.33658086,40457885.19334064,45235541.86202081,73384122.60423777,
9,554.1762262980143,11.255989500000002,2.0,,,,,,,93085699.68970644,230716064.662794,181972551.47695747,265677322.15333584,276927152.9157023,351923989.7860135,620491464.3408673,318663248.0749164,175905691.1911309,181237250.68061364,301890747.7367166,290332264.02557087,149180873.09217283,134493208.01706,69346609.79152045,262054064.51297253,50469600.12100912,180970564.4736165,98002036.47160192,250338715.9733326,331055692.82330406,102940603.97320424,69746916.96317244,123458415.67952298,107892875.19397476,71918985.01656188,180742174.92875776,291325695.7633231,70697064.59855184,62558891.36552339,150845442.80875862,122678522.0702836,77335003.65789033,383478348.754328,104931684.94601206,201062980.71899736,
11,482.3686887953016,10.692871055555557,2.0,,,,,,,70281340.35743861,61117106.21626126,42088078.54749341,60763993.43515268,40042311.70245028,44638926.37978333,52868320.26983952,47311197.588245794,48383418.94012205,32333073.32361211,45144688.19415058,31529746.946279198,40291109.167126596,32946678.490538593,44070801.79180681,49760435.74393629,19762890.482807703,36131537.86104905,36278268.15887892,47629197.11017428,31358906.80141401,40424057.15304666,28977214.27612772,43659507.313658215,44415435.57723943,45581904.14832063,35951635.43632501,75290328.13589272,66048527.37218238,50392573.61515588,74232700.85323007,66878977.06437253,49473658.31847493,46063451.68854564,48594274.77099829,66073004.67890204,
12,192.13821454836972,7.9266002138888885,2.0,337.0,[M+H]+,,2.0,1102;1297,191.131,161514306.23514795,20518309238.704742,15134871262.044329,20982419075.63309,15084400518.854868,16582476520.753553,18250328305.361244,17353755240.38794,20918522729.989227,16721101214.545313,17435744503.967182,17303632660.00715,22509266701.082542,18819054176.14061,15474652345.343485,18562534569.042576,15726763319.894169,21416252701.664642,15832257117.994112,27481243129.341286,20409946476.560192,19035196498.460308,17430625611.309036,18894842061.888454,29443769478.93547,16513110586.934715,20218660077.99624,25066233224.82434,19115002857.755432,18271543511.41888,27487861209.10817,16226640046.507126,21360116152.101696,16288380820.978512,30590918243.820263,28747699653.883507,
