CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
4748	5697	2	0.9985	0.036
10309	10312	3	0.8825	0.001
10311	10312	3	0.8739	2.017
10309	10313	3	0.7793	12.001
10309	10311	3	0.7745	-2.016
2539	10311	3	1.0	-0.048
10312	10313	3	0.8556	11.999
10311	10313	3	0.9305	14.016
10092	11359	4	0.9459	-0.037
4398	6326	5	0.8736	-0.008
11544	12244	5	0.7618	-0.001
4398	5421	5	0.8872	-0.045
5421	6326	5	0.8319	0.036
4398	12244	5	0.7549	-14.015
5762	12244	5	0.8938	0.045
5421	12244	5	0.7121	-13.971
2009	6709	6	0.9529	-0.036
3768	9586	6	0.8907	-0.048
2511	6709	6	0.8916	-0.036
4898	6730	6	0.8912	0.000
5033	10077	6	0.8904	0.000
1703	6709	6	0.8814	0.000
3284	4898	6	0.8993	0.000
2009	4898	6	0.885	-0.036
1703	2511	6	0.9845	0.036
4898	11779	6	0.884	0.036
5033	9586	6	0.9025	-0.011
1428	6709	6	0.9611	0.000
3269	12223	6	0.8927	0.000
2067	10077	6	0.8918	0.000
2009	9911	6	0.9293	-0.036
1428	2067	6	0.8949	-14.016
1428	4898	6	0.8891	0.000
11779	12146	6	0.9048	-0.052
1428	9911	6	0.9618	0.000
3269	5033	6	0.8863	-0.036
1444	2009	6	0.9222	0.036
3284	6730	6	0.9225	0.000
4898	6709	6	0.8994	0.000
3284	6817	6	0.9277	-0.036
1428	2009	6	0.9578	0.036
4898	12146	6	0.9335	-0.015
1444	9911	6	0.9569	0.000
6730	6817	6	0.8918	-0.036
3367	10077	6	0.8837	0.000
6709	9911	6	0.9479	0.000
1428	1444	6	0.9591	0.000
1444	2067	6	0.8845	-14.016
1444	6709	6	0.9428	0.000
6817	12146	6	0.9206	0.021
3284	12146	6	0.9597	-0.015
4898	6817	6	0.9053	-0.036
6730	12146	6	0.9148	-0.015
6730	11779	6	0.8965	0.036
7233	8051	7	0.9113	-43.990
1028	1742	7	0.943	-176.104
1742	2537	7	0.9537	-44.026
1401	2537	7	0.9418	-88.053
1115	1192	7	0.9728	-44.026
5529	7372	7	0.9095	-88.016
1012	1089	7	0.9177	34.042
1069	1965	7	0.9024	-220.131
1069	9611	7	0.9475	0.021
1804	7691	7	0.9175	-0.015
1012	1401	7	0.9427	-176.104
5787	7372	7	0.9353	-43.990
5582	8051	7	0.9531	-0.000
1028	1060	7	0.9813	-44.026
1192	1965	7	0.9492	-88.052
5582	5787	7	0.9541	-0.037
990	8211	7	0.944	0.020
1133	1192	7	0.9215	-9.984
1133	2000	7	0.905	-18.010
1060	1089	7	0.9015	122.095
1301	8065	7	0.9237	0.021
1012	1115	7	0.9068	-98.037
1060	1742	7	0.9561	-132.078
1677	1680	7	0.9104	88.052
1301	1421	7	0.9126	44.026
1012	1742	7	0.9219	-220.131
1060	1677	7	0.9158	-18.011
1552	9611	7	0.9108	176.126
1421	7233	7	0.956	-0.016
1301	5787	7	0.9097	-0.016
1115	1965	7	0.9346	-132.078
7806	8051	7	0.9338	44.027
1048	9611	7	0.9271	44.047
5529	7233	7	0.9543	0.000
1401	1677	7	0.9114	70.041
1552	1965	7	0.9689	-44.026
1115	9611	7	0.9191	88.074
9611	11811	7	0.9369	-0.001
7372	7806	7	0.9394	-0.000
1048	1965	7	0.9219	-176.105
1089	9611	7	0.9009	-44.005
1192	1742	7	0.9111	-78.068
1048	1552	7	0.9561	-132.078
1192	11811	7	0.9133	132.099
1012	1680	7	0.9008	-18.011
1048	1115	7	0.9767	-44.026
1060	2537	7	0.9226	-176.104
1421	5529	7	0.9577	-0.016
1192	1401	7	0.9064	-34.042
