CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
31567	31572	1	0.8917	0.000
31572	31598	1	0.8668	-0.036
33399	33444	1	0.862	-0.015
35224	35226	1	0.8959	-0.000
31566	31570	1	0.9061	0.000
33440	35274	1	0.8726	-14.015
35226	35227	1	0.8741	-0.000
35227	35233	1	0.8741	-0.000
31567	33383	1	0.8975	-14.016
33438	33440	1	1.0	-0.000
31598	31599	1	0.8817	0.000
35227	35274	1	0.8766	-0.037
31567	31570	1	0.9041	0.000
33394	33399	1	0.8862	-0.022
31572	31599	1	0.8964	-0.036
33399	33440	1	0.8731	-0.015
33399	33461	1	0.9	-0.037
35224	35233	1	0.8959	-0.000
33394	33461	1	0.8638	-0.059
35226	35233	1	1.0	-0.000
33399	33438	1	0.8731	-0.015
35269	35274	1	0.8636	-0.000
33383	33440	1	0.9211	-0.037
31573	31599	1	0.8819	-0.036
35211	35228	1	0.8686	-0.037
35211	35269	1	0.8678	-0.073
35227	35228	1	0.9	0.000
33393	33399	1	0.8634	-0.022
33383	33393	1	0.8844	-0.000
31571	31599	1	0.8833	-0.036
31566	31567	1	0.953	0.000
35224	35263	1	0.8863	-0.037
31571	31572	1	0.8647	0.000
33438	35274	1	0.8726	-14.016
31571	31598	1	1.0	-0.036
33393	33394	1	0.8859	0.000
31570	31573	1	0.9176	-0.000
33383	33438	1	0.9211	-0.037
35228	35269	1	0.8813	-0.037
48153	48164	3	0.9794	-0.073
44763	46904	3	0.8243	-28.031
47961	48153	3	0.8332	-3.938
44763	47961	3	0.9191	-44.025
48153	48160	3	0.8622	-0.036
42048	46028	3	0.782	-44.024
42045	42048	3	0.961	-0.021
46904	47961	3	0.8437	-15.994
44763	46028	3	0.7818	-15.993
48160	49421	3	0.7983	-27.995
42045	46904	3	0.8073	-56.084
42048	46904	3	0.7995	-56.063
47961	49161	3	0.8179	-25.980
42045	47961	3	0.8032	-72.078
46029	47961	3	0.8771	-28.031
48159	48160	3	0.929	0.000
48159	48164	3	0.9567	-0.036
46028	47961	3	0.8263	-28.032
46028	46029	3	0.9538	-0.001
44763	49161	3	0.796	-70.005
42048	46029	3	0.8399	-44.025
44761	50430	3	0.7855	-106.099
47961	48505	3	0.8243	-10.021
46029	48153	3	0.8166	-31.970
43438	43441	3	0.999	-0.057
44763	46029	3	0.8444	-15.994
42045	46028	3	0.7946	-44.045
44763	46903	3	0.7971	-28.031
42048	47961	3	0.8083	-72.057
42048	44763	3	0.7949	-28.031
44763	50430	3	0.8127	-106.042
42047	42048	3	0.7844	-0.021
46029	46904	3	0.8128	-12.037
43438	44761	3	0.7956	-14.016
48160	48164	3	0.9017	-0.036
42045	46029	3	0.8341	-44.046
44761	44763	3	0.8399	-0.057
48153	48159	3	0.9393	-0.036
29361	29395	4	0.9033	-0.037
8	13	5	0.9196	0.000
10	19	5	0.9883	0.000
9	10	5	0.9477	0.000
9	13	5	0.9419	0.000
13	17	5	0.9148	0.000
9	19	5	0.9377	0.000
8	15	5	0.9152	0.000
8	10	5	0.9221	0.000
13	19	5	0.9903	0.000
10	17	5	0.9203	0.000
8	19	5	0.9139	0.000
9	15	5	0.94	0.000
17	19	5	0.901	0.000
9	17	5	0.9711	0.000
15	17	5	0.9186	0.000
13	15	5	0.9809	0.000
8	17	5	0.9612	0.000
8	9	5	0.9796	0.000
10	15	5	0.9873	0.000
15	19	5	0.9774	0.000
10	13	5	0.9934	0.000
14126	14132	6	0.9114	0.000
14125	14126	6	0.9388	0.000
14125	14132	6	0.9656	0.000
4939	4940	7	0.9581	0.000
4935	4939	7	0.8459	0.000
4936	4939	7	0.848	0.000
4935	4936	7	0.9402	0.000
4934	4935	7	0.823	0.000
4927	4935	7	0.8463	0.000
16161	16250	8	0.9667	-0.064
16206	16212	8	0.7847	-0.000
16206	16209	8	0.8774	-0.000
16206	16250	8	0.7915	-0.016
13636	16208	8	0.8637	-14.016
13624	13681	8	0.8888	-0.036
16206	18795	8	0.8132	-14.016
16187	16210	8	0.8516	-0.021
13637	16208	8	0.8443	-14.015
16206	16211	8	0.8195	-0.000
16161	16209	8	0.8819	-0.049
13624	13735	8	0.9365	-0.073
13637	13684	8	0.9044	-0.015
16212	16250	8	0.907	-0.016
16208	16212	8	0.7647	-0.000
16210	16211	8	0.9503	-0.000
12976	18793	8	0.7947	-32.026
13637	18795	8	0.8208	-28.031
13684	16250	8	0.8754	-14.016
16208	16210	8	0.7781	-0.000
16211	16250	8	0.9377	-0.016
16157	16209	8	0.8379	-0.058
16157	18717	8	0.7967	-14.016
18717	18794	8	0.8559	-0.057
12975	18793	8	0.7912	-32.026
13636	16212	8	0.9253	-14.016
13684	24213	8	0.7989	-58.006
13636	16209	8	0.9048	-14.016
13636	18793	8	0.8263	-28.031
13637	18794	8	0.8299	-28.031
16211	18795	8	0.8376	-14.016
13681	24213	8	0.802	-58.006
16187	16211	8	0.9034	-0.021
16187	16209	8	0.8443	-0.021
16212	18795	8	0.8513	-14.016
16161	16212	8	0.913	-0.049
12932	12976	8	0.8073	-0.036
12976	20891	8	0.8585	-43.990
16209	16211	8	0.9346	-0.000
12975	18794	8	0.7753	-32.026
