,InChIKey
0,InChIKey=LZFOPEXOUVTGJS-ONEGZZNKSA-N
1,InChIKey=LOAUVZALPPNFOQ-UHFFFAOYSA-N
2,InChIKey=JMFCQRKXGIHOAN-UHFFFAOYSA-N
3,InChIKey=OFVBLKINTLPEGH-UHFFFAOYSA-N
4,InChIKey=CEIZFXOZIQNICU-UHFFFAOYSA-N
5,InChIKey=WTOYNNBCKUYIKC-JMSVASOKSA-N
6,InChIKey=QSLMDECMDJKHMQ-UHFFFAOYSA-N
7,InChIKey=VEZIKIAGFYZTCI-UHFFFAOYSA-N
8,InChIKey=JYGXADMDTFJGBT-VWUMJDOOSA-N
9,InChIKey=CBIUADIJQPJQEZ-UHFFFAOYSA-N
10,InChIKey=ROIHYOJMCBKEER-UHFFFAOYSA-N
11,InChIKey=FLIACVVOZYBSBS-UHFFFAOYSA-N
12,InChIKey=CUKXSBOAIJILRY-UHFFFAOYSA-N
13,InChIKey=SDRDMLFVFFTPAW-UHFFFAOYSA-N
14,InChIKey=YKIOHMXLFWMWKD-JJUYGIQRSA-N
15,InChIKey=DPUOLQHDNGRHBS-UHFFFAOYSA-N
16,InChIKey=HDVAWXXJVMJBAR-UHFFFAOYSA-N
17,InChIKey=MVORZMQFXBLMHM-UHFFFAOYSA-N
18,InChIKey=NHXJEEIAJJWMNC-UHFFFAOYSA-N
19,InChIKey=NATWUQFQFMZVMT-UHFFFAOYSA-N
20,InChIKey=VKEQBMCRQDSRET-UHFFFAOYSA-N
21,InChIKey=ASWBNKHCZGQVJV-HSZRJFAPSA-N
22,InChIKey=XTQIBFVBYWIHIP-UHFFFAOYSA-N
23,InChIKey=DNXHEGUUPJUMQT-CBZIJGRNSA-N
24,InChIKey=MJDBAPUVKYHXJW-UHFFFAOYSA-N
25,InChIKey=MZHUXOCCLPGHKA-UHFFFAOYSA-N
26,InChIKey=HFCPFJNSBPQJDP-UHFFFAOYSA-N
27,InChIKey=VRHVOUYZPKSINF-UHFFFAOYSA-N
28,InChIKey=RHCPKKNRWFXMAT-UHFFFAOYSA-N
29,InChIKey=DOOTYTYQINUNNV-UHFFFAOYSA-N
30,InChIKey=VEBVPUXQAPLADL-UHFFFAOYSA-N
31,InChIKey=IJEHYEVNWOYGMS-WGUBEYSISA-N
32,InChIKey=YAMUFBLWGFFICM-PTGWMXDISA-N
33,InChIKey=WYUXCFIIQXQQBX-UHFFFAOYSA-N
34,InChIKey=LQDFDEBMWZCIKY-UHFFFAOYSA-N
35,InChIKey=ZYMGRJXIRUWDLX-UHFFFAOYSA-N
36,InChIKey=RHGKLRLOHDJJDR-UHFFFAOYSA-N
37,InChIKey=BPXVHIRIPLPOPT-UHFFFAOYSA-N
38,InChIKey=WWNNZCOKKKDOPX-UHFFFAOYSA-N
39,InChIKey=YCRHZEHWEYAHCO-UHFFFAOYSA-N
40,InChIKey=QGQSRQPXXMTJCM-UHFFFAOYSA-N
41,InChIKey=VWFVMRLYMAHHNE-UHFFFAOYSA-N
42,InChIKey=XXEPPPIWZFICOJ-UHFFFAOYSA-N
43,InChIKey=KOHIRBRYDXPAMZ-UHFFFAOYSA-N
44,InChIKey=WFRLANWAASSSFV-UHFFFAOYSA-N
45,InChIKey=UGTZHPSKYRIGRJ-UHFFFAOYSA-N
46,InChIKey=FIFRJJLOOYYYOZ-UHFFFAOYSA-N
47,InChIKey=YXTROGRGRSPWKL-UHFFFAOYSA-N
48,InChIKey=UFEHYRPBLFGEJW-UHFFFAOYSA-N
49,InChIKey=MBMBGCFOFBJSGT-UHFFFAOYSA-N
50,InChIKey=MWAYJIAKVUBKKP-UHFFFAOYSA-N
51,InChIKey=LUZSWWYKKLTDHU-ZJHFMPGASA-N
52,InChIKey=FZPXKEPZZOEPGX-UHFFFAOYSA-N
53,InChIKey=YVYMBNSKXOXSKW-HXUWFJFHSA-N
54,InChIKey=NXJCRELRQHZBQA-UHFFFAOYSA-N
55,InChIKey=MYEVEFULPUKTSZ-UHFFFAOYSA-N
56,InChIKey=UVCJGUGAGLDPAA-UHFFFAOYSA-N
