,SMILES
0,COC1=CC(=CC(=C1O)OC)/C=C/CO
1,OC(=O)C1=NC2=CC=CC=C2C=C1
2,CCN(CC)C(C)C(C1=CC=CC=C1)O
3,C1=CC=C(C=C1)CC(CC(=O)O)N
4,CCC(C)C1C(=C(C(=O)N1)C(=O)C)O
5,C[C@@H]1CC(=O)C=C2CC[C@H](C[C@@]12C)C(C)=C
6,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24
7,COC1=CC=C(C=C1)C=CC(=O)OC
8,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
9,CCC#CCC(C)C(C=CC1CCC(=O)N1CCCCCCC(=O)O)O
10,CCC(C(C(C1C)C2CC3)OC1=O)C1C2N3CCCC1
11,CCCCCCCCCCCCCCCC(=O)OC
12,CC(NCC(O)COC1=CC=C(CCO)C=C1)C
13,CC1=CC=C(C=C1)NC(C)(C)C(=O)O
14,CC/C=C\C/C=C\C/C=C\CC1C(O1)C/C=C\CCCC(=O)O
15,CCCCCCCCC=CCCCCCCCCCCCC(=O)O
16,C1CCN2CCCC(C2C1)CO
17,C1=C(NC=N1)CC(C(=O)NC(CCCCN)C(=O)O)NC(=O)CN
18,CC(C)OC(=O)CCCC=CCC1C(CC(C1C=CC(C2CC3=CC=CC=C3C2)O)F)O
19,CCNS(=O)(=O)C1=C(C)C=CC=C1
20,CC(C(=O)C1=CC2=C(C=C1)OCO2)NC
21,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O
22,C(CCC(=O)CCC(=O)O)CCC(=O)O
23,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CCC2=O
24,CCc1ccc(-c2cc(-c3cc(OC)c(OC)c(OC)c3)nc(O)c2C#N)cc1
25,CCCCCCCC(C)OC(=O)C1=CC=CC=C1C(=O)OC(C)CCCCCCC
26,CC(CC(=O)O)CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
27,CC12CCC(=O)CC1CCC3C2C(=O)CC4(C3CCC4=O)C
28,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(=O)CC4C3(CCC(C4)O)C)O)C
29,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC
30,CC1=CC23C(=O)C(C=C(CO)C(O)C2(O)C1O)C1C(CC3C)C1(C)C
31,C[C@@H]1CCC(=O)[C@H](C)[C@@]1(C)CC\C(C)=C\CC2=C(O)C(C=O)=C(C)C(Cl)=C2O
32,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O
33,COc1c(C)c2c(c(OC)c1OC)COC2=O
34,Cn1c(=O)c2nc(I)[nH]c2n(C)c1=O
35,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(F)(F)F
36,C(CC(C(=O)O)N)CNC(=O)N
37,OCCN1C(=O)N(CCO)C(=O)N(CCO)C1=O
38,C[N+]1=CC=CC(=C1)C(=O)[O-]
39,CCCCCC=CCC=CCCCCCCCC(=O)NCC(=O)O
40,CCS(=O)(=O)OC1=CC2=C(C=C1)OCC2(C)C
41,O=C(NC(CC(C)C)C(O)=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC
42,CCN(CC)C(C)C(=O)C1=CC=CC=C1
43,C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O
44,CCCCCCC=CCCCCCCCC(=O)NCCO
45,C(CCN)CC(C(=O)NC(CCC(=O)O)C(=O)O)N
46,CC(=O)C1CCC(=O)N1CC2=CC=CC=C2
47,O=C(N1CCCCC1)c2ccccc2
48,CC(C)C\1(O)CCC2\C(=C1)C(=O)CC3C2(C)CCCC3(C)C(O)=O
49,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O
50,CSCCC(C(=O)NC(CC1=CN=CN1)C(=O)O)N
51,CCCCC/C=C\C=C\C(=O)CCCCCCCC(=O)O
52,CCCCN(CCCC)C1=CC=CC=C1
53,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O
54,COC1=CC(=C2C=CC(=O)OC2=C1)OC
55,CC1=CC(=O)NC2=C1C=CC(=C2)O
56,c1ccc(cc1)c2[nH]c3cc(ccc3n2)S(=O)(=O)O
57,C(CCC(F)(F)F)CC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O
58,C1CC(NC1)C(C2=CC=CC=C2)C3=CC=CC=C3
59,CC1=CC=C(C=C1)N(CCO)CCO
60,CCNC(=O)NCCCCC=CCCCCCCCCCC(=O)O
61,CC#CC1=CC(=NC(=N1)NC2=CC=CC=C2)C
62,OC(CC1C2=C(OC)C=3OCOC3C=C2CCN1C)C(C)C
63,CCCCCC=CCC=CCCCCCCCC(=O)OC(CO)CO
64,N#Cc1cc2ccccc2oc1=O
65,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)=O
66,CN1CCCCC1C2=CN=CC=C2
67,COCCOCCOCCOCCO
68,O=C1OC=2C(OC)=C(OC)C(OC)=CC2C=C1
69,COC(=O)C(CCC(=O)N)NCC1=CC=CC=C1
70,CCC(=O)C1C(=O)CC(CC1=O)C(=O)O
71,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
72,CC(=O)CCC1=CC(=C(C=C1)O)OC
73,CC(C)CC(C)(C#CC(C)(CC(C)C)O)O
74,C[C@H]([C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)O)N)O
75,CC(C)C(=O)OCC1CCC[N+]2(C)CCCCC12
76,C1=CC=NC(=C1)NCC2=CC=C(C=C2)CNC3=CC=CC=N3
77,CCCCC(CC)COC(=O)C=Cc1ccc(OC)cc1
78,COC(=O)C1C(O)CCC2CN3CCC4=C(NC5=CC=CC=C45)C3CC12
79,CC1=C(C=CC(=C1)Cl)S(=O)(=O)NCC2C3CCC(C2C=CCCCC(=O)O)CC3
80,CC(=CCC1C(O1)(C)C2C(C(CCC23CO3)OC(=O)C=CC=CC=CC=CC(=O)O)OC)C
81,COC1=CC=C(C=C1)C2=CC(=O)C3=C(OC)C(OC)=C(OC)C(OC)=C3O2
82,CCCCCC(C(=O)C1=CC=C(C=C1)OC)N2CCCC2
83,CCCCNCC(C1=CC=C(C=C1)O)O
84,CCNC1=NC(OC)=NC(NC(C)CC)=N1
85,CC(C)C1=C(C2=C(C=C1)C3(CCC4=C(C3CC2)COC4=O)C)O
86,CC(C)CC(C(=O)O)NC(=O)C(CCC(=O)O)N
87,CC=CC=CCCC=CC=CC(=O)NCC(C)C
88,CC1CC(=O)CC2C1(C3CCC4(C(C3CC2)CCC4O)C)C
89,C1=CC=C(C=C1)CC(C(=O)NC(CC2=CN=CN2)C(=O)O)N
90,C1CCNC(C1)C(C2=CC=CC=C2)C3=CC=CC=C3
91,C1=C(NC=N1)CC(C(=O)O)NC(=O)C(CC(=O)N)N
92,CC(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)\C=C\C2(O)\C(=C/C(=O)CC2(C)CO)C
93,CC[C@H](C[C@H](C[C@]12C(OC)=O)C3)[C@H]2N3CCc2c1[nH]c1c2cccc1
94,CCCCC(CC)COC(=O)C1=CC(=C(C=C1)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC
95,CCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O
96,C1CCC(C(C1)N2CCC(CC2)N)O
97,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)CC3CC4=CC(=C(C=C34)OC)OC
98,COC(=O)C1(O)CC23CCCN4CCC5(C24)C2=CC=C4OCOC4=C2NC15CC3
99,CC12CCC3C(C1CCC2=O)CCC4C3(CC5=C(C4)NN=C5)C
100,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C
101,CCC=CCC(C=CC=CCC=CCC=CCC=CCCC(=O)O)O
102,CC(C)CC(C(=O)O)NC(=O)C(C(C)C)NC(=O)C(C(C)O)N
103,N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(O)=O
104,C[N+]1(C2CCC1CC(C2)OC(=O)C(C3=CC=CC=C3)O)C
105,CC1CC2=C(C(=CC=C2)O)C(=O)O1
106,CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
107,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C)C(C)=O
108,C1CCC(CC1)NC(=O)NCCCCCCCCCCCC(=O)O
109,C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O)N
110,CCN(CC)C(=O)c(c1)cccc1
111,CC12CCC3C4CCC(CC4CCC3C1CCC2=O)O
112,CCC=C(C)C(C#C)OC(=O)C1C(C1(C)C)C=C(C)C
113,CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C
