filename	ATTRIBUTE_SampleID	ATTRIBUTE_SampleName	ATTRIBUTE_PPL_LOT_Number	ATTRIBUTE_PPL_Box_Number	ATTRIBUTE_Experiment	ATTRIBUTE_SampleType	ATTRIBUTE_SampleVolume	ATTRIBUTE_Contact
KB_2020_01.mzML					Kbay			
KB_2020_03.mzML					Kbay			
KB_2020_04.mzML					Kbay			
KB_2020_05.mzML					Kbay			
KB_2020_06.mzML					Kbay			
KB_2020_07.mzML					Kbay			
KB_2020_08.mzML					Kbay			
KB_2020_100.mzML					Kbay			
KB_2020_101.mzML					Kbay			
KB_2020_102.mzML					Kbay			
KB_2020_103.mzML					Kbay			
KB_2020_104.mzML					Kbay			
KB_2020_105.mzML					Kbay			
KB_2020_106.mzML					Kbay			
KB_2020_107.mzML					Kbay			
KB_2020_108.mzML					Kbay			
KB_2020_109.mzML					Kbay			
KB_2020_11.mzML					Kbay			
KB_2020_110.mzML					Kbay			
KB_2020_111.mzML					Kbay			
KB_2020_112.mzML					Kbay			
KB_2020_113.mzML					Kbay			
KB_2020_114.mzML					Kbay			
KB_2020_115.mzML					Kbay			
KB_2020_117.mzML					Kbay			
KB_2020_118.mzML					Kbay			
KB_2020_119.mzML					Kbay			
KB_2020_12.mzML					Kbay			
KB_2020_120.mzML					Kbay			
KB_2020_121.mzML					Kbay			
KB_2020_122.mzML					Kbay			
KB_2020_123.mzML					Kbay			
KB_2020_124.mzML					Kbay			
KB_2020_125.mzML					Kbay			
KB_2020_126.mzML					Kbay			
KB_2020_127.mzML					Kbay			
KB_2020_128.mzML					Kbay			
KB_2020_129.mzML					Kbay			
KB_2020_13.mzML					Kbay			
KB_2020_130.mzML					Kbay			
KB_2020_131.mzML					Kbay			
KB_2020_132.mzML					Kbay			
KB_2020_133.mzML					Kbay			
KB_2020_134.mzML					Kbay			
KB_2020_135.mzML					Kbay			
KB_2020_136.mzML					Kbay			
KB_2020_137.mzML					Kbay			
KB_2020_138.mzML					Kbay			
KB_2020_139.mzML					Kbay			
KB_2020_14.mzML					Kbay			
KB_2020_140.mzML					Kbay			
KB_2020_141.mzML					Kbay			
KB_2020_142.mzML					Kbay			
KB_2020_143.mzML					Kbay			
KB_2020_144.mzML					Kbay			
KB_2020_145.mzML					Kbay			
KB_2020_146.mzML					Kbay			
KB_2020_147.mzML					Kbay			
KB_2020_148.mzML					Kbay			
KB_2020_149.mzML					Kbay			
KB_2020_150.mzML					Kbay			
KB_2020_151.mzML					Kbay			
KB_2020_152.mzML					Kbay			
KB_2020_153.mzML					Kbay			
KB_2020_154.mzML					Kbay			
KB_2020_155.mzML					Kbay			
KB_2020_156.mzML					Kbay			
KB_2020_157.mzML					Kbay			
KB_2020_158.mzML					Kbay			
KB_2020_159.mzML					Kbay			
KB_2020_16.mzML					Kbay			
KB_2020_160.mzML					Kbay			
KB_2020_161.mzML					Kbay			
KB_2020_162.mzML					Kbay			
KB_2020_163.mzML					Kbay			
KB_2020_164.mzML					Kbay			
KB_2020_165.mzML					Kbay			
KB_2020_166.mzML					Kbay			
KB_2020_167.mzML					Kbay			
KB_2020_168.mzML					Kbay			
KB_2020_169.mzML					Kbay			
KB_2020_17.mzML					Kbay			
KB_2020_170.mzML					Kbay			
KB_2020_171.mzML					Kbay			
KB_2020_172.mzML					Kbay			
KB_2020_173.mzML					Kbay			
KB_2020_174.mzML					Kbay			
KB_2020_175.mzML					Kbay			
KB_2020_176.mzML					Kbay			
KB_2020_177.mzML					Kbay			
KB_2020_178.mzML					Kbay			
KB_2020_179.mzML					Kbay			
KB_2020_18.mzML					Kbay			
KB_2020_180.mzML					Kbay			
KB_2020_181.mzML					Kbay			
KB_2020_182.mzML					Kbay			
KB_2020_183.mzML					Kbay			
KB_2020_184.mzML					Kbay			
KB_2020_185.mzML					Kbay			
KB_2020_186.mzML					Kbay			
KB_2020_187.mzML					Kbay			
KB_2020_188.mzML					Kbay			
KB_2020_189.mzML					Kbay			
KB_2020_19.mzML					Kbay			
KB_2020_190.mzML					Kbay			
KB_2020_191.mzML					Kbay			
KB_2020_192.mzML					Kbay			
KB_2020_193.mzML					Kbay			
KB_2020_194.mzML					Kbay			
KB_2020_195.mzML					Kbay			
KB_2020_196.mzML					Kbay			
KB_2020_197.mzML					Kbay			
KB_2020_198.mzML					Kbay			
KB_2020_199.mzML					Kbay			
KB_2020_20.mzML					Kbay			
KB_2020_200.mzML					Kbay			
KB_2020_201.mzML					Kbay			
KB_2020_202.mzML					Kbay			
KB_2020_203.mzML					Kbay			
KB_2020_204.mzML					Kbay			
KB_2020_205.mzML					Kbay			
KB_2020_206.mzML					Kbay			
KB_2020_207.mzML					Kbay			
KB_2020_208.mzML					Kbay			
KB_2020_209.mzML					Kbay			
KB_2020_21.mzML					Kbay			
KB_2020_210.mzML					Kbay			
KB_2020_211.mzML					Kbay			
KB_2020_212.mzML					Kbay			
KB_2020_213.mzML					Kbay			
KB_2020_214.mzML					Kbay			
KB_2020_215.mzML					Kbay			
KB_2020_217.mzML					Kbay			
KB_2020_219.mzML					Kbay			
KB_2020_22.mzML					Kbay			
KB_2020_220.mzML					Kbay			
KB_2020_221.mzML					Kbay			
KB_2020_222.mzML					Kbay			
KB_2020_223.mzML					Kbay			
KB_2020_224.mzML					Kbay			
KB_2020_225.mzML					Kbay			
KB_2020_226.mzML					Kbay			
KB_2020_227.mzML					Kbay			
KB_2020_228.mzML					Kbay			
KB_2020_23.mzML					Kbay			
KB_2020_230.mzML					Kbay			
KB_2020_231.mzML					Kbay			
KB_2020_232.mzML					Kbay			
KB_2020_233.mzML					Kbay			
KB_2020_234.mzML					Kbay			
KB_2020_235.mzML					Kbay			
KB_2020_236.mzML					Kbay			
KB_2020_237.mzML					Kbay			
KB_2020_239.mzML					Kbay			
KB_2020_24.mzML					Kbay			
KB_2020_240.mzML					Kbay			
KB_2020_241.mzML					Kbay			
KB_2020_242.mzML					Kbay			
KB_2020_243.mzML					Kbay			
