CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
69317	309247	1	1.0	-0.000
35253	69317	1	0.9976	-26.015
35253	309247	1	0.9976	-26.016
60605	161859	2	0.9244	-0.000
40839	170367	2	0.9373	-76.033
41438	185471	2	0.9197	-76.031
61210	161859	2	0.854	-0.000
40839	81697	2	0.8497	49.032
170367	185471	2	0.842	55.007
53928	161859	2	0.9758	0.000
60605	61210	2	0.892	0.000
53928	81697	2	0.9126	0.000
60605	81697	2	0.922	-0.000
60605	79043	2	0.865	-0.000
81697	161859	2	0.9266	0.000
53928	60605	2	0.9173	0.000
35392	71239	3	0.8701	14.016
37163	57370	3	0.937	14.016
34266	35392	3	0.9996	0.073
71239	89941	3	0.9202	-14.016
35392	89941	3	0.9443	-0.000
42192	78540	3	0.9975	-0.073
42192	197707	3	0.9994	0.000
36099	71239	3	0.9581	0.000
34198	127049	3	0.9807	0.073
36099	89941	3	0.9649	-14.016
70982	197707	3	0.9939	0.073
35392	36099	3	0.9159	14.016
57370	75892	3	0.9389	-14.016
37163	80471	3	0.9393	-14.016
34198	34266	3	0.9153	-14.015
89941	197707	3	0.8618	140.047
70982	80471	3	0.9804	-14.016
37163	42192	3	0.9449	0.073
39116	78540	3	0.9573	14.016
57370	70982	3	0.9356	-14.016
39116	70982	3	0.9591	14.016
37163	197707	3	0.9407	0.073
37163	70982	3	0.9515	0.000
34266	89941	3	0.9468	0.073
36099	127049	3	0.9894	0.000
37163	75892	3	0.9383	0.000
35722	89941	3	0.9639	0.000
34266	35722	3	0.9282	0.073
42192	70982	3	0.9962	-0.073
71239	127049	3	0.9704	0.000
37163	78540	3	0.9509	0.000
34198	71239	3	0.9461	0.073
37163	39116	3	0.9177	-14.016
35392	35722	3	0.9215	-0.000
89941	127049	3	0.9577	14.016
34198	36099	3	0.9898	0.073
57370	78540	3	0.9344	-14.016
78540	197707	3	0.9955	0.073
35722	127049	3	0.9316	14.016
70982	78540	3	0.9998	0.000
39116	80471	3	0.9797	0.000
35392	127049	3	0.9109	14.016
35722	36099	3	0.9361	14.016
78540	80471	3	0.9784	-14.016
35722	71239	3	0.8847	14.016
45374	58680	4	0.9984	-0.073
39120	58680	4	0.9961	-0.084
39120	41515	4	0.9987	0.000
39120	45374	4	0.9989	-0.011
41515	80067	4	0.9979	-0.084
41515	45374	4	0.9993	-0.011
41515	58680	4	0.9958	-0.084
39120	80067	4	0.9975	-0.084
45374	80067	4	0.9965	-0.073
58680	80067	4	0.9922	0.000
76792	80920	5	0.9696	0.036
42678	221298	5	0.8678	0.072
52863	221298	5	0.9219	-1.943
41202	52863	5	0.9374	2.015
52863	77057	5	0.9383	-1.979
81892	212993	5	0.9988	-0.073
42678	159949	5	0.8757	2.041
52192	52863	5	0.9997	0.000
52863	212993	5	0.9388	-2.016
52863	81892	5	0.9386	-1.943
159949	212993	5	0.8575	-2.041
41202	80920	5	0.9691	0.072
41202	159949	5	0.8659	2.041
76792	221298	5	0.9281	0.036
42678	212993	5	0.9984	0.000
76792	212993	5	0.9355	-0.036
52192	221298	5	0.9221	-1.943
41202	52192	5	0.9386	2.015
81892	159949	5	0.8644	1.968
76792	77057	5	0.9426	0.000
41202	76792	5	0.9407	0.036
76792	159949	5	0.9189	2.005
