SpectrumID	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	UpdateWorkflowName	LibraryQualityString	#Scan#	SpectrumFile	LibraryName	MQScore	Organism	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	LibMZ	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	tags	MoleculeExplorerDatasets	MoleculeExplorerFiles	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway
CCMSLIB00006690645	N-cyclohexyl-2-[4-oxo-2-(3,4,5-trimethoxyphenyl)chromen-6-yloxy]acetamide	LC-ESI	Orbitrap	commercial	Trent Northen	JGI:197328	M+Na	490.184	0.0	1	N/A	N/A	COc1cc(-c2cc(=O)c3cc(OCC(O)=NC4CCCCC4)ccc3o2)cc(OC)c1OC	InChI=1S/C26H29NO7/c1-30-23-11-16(12-24(31-2)26(23)32-3)22-14-20(28)19-13-18(9-10-21(19)34-22)33-15-25(29)27-17-7-5-4-6-8-17/h9-14,17H,4-8,15H2,1-3H3,(H,27,29)	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	838	spectra_filtered/specs_ms.mgf	lib-00009.mgf	0.995395	BERKELEY-LAB	78385000.0	576.0980000000001	338475.0	4	165.915	490.184	324.269	1	spectra_filtered/specs_ms.mgf838	1		0	0	VMPZSBSETDXPSI-UHFFFAOYSA-N	VMPZSBSETDXPSI	Phenylpropanoids and polyketides	Flavonoids	O-methylated flavonoids	Flavonoids	Flavones	Shikimates and Phenylpropanoids
CCMSLIB00006690645	N-cyclohexyl-2-[4-oxo-2-(3,4,5-trimethoxyphenyl)chromen-6-yloxy]acetamide	LC-ESI	Orbitrap	commercial	Trent Northen	JGI:197328	M+Na	490.184	0.0	1	N/A	N/A	COc1cc(-c2cc(=O)c3cc(OCC(O)=NC4CCCCC4)ccc3o2)cc(OC)c1OC	InChI=1S/C26H29NO7/c1-30-23-11-16(12-24(31-2)26(23)32-3)22-14-20(28)19-13-18(9-10-21(19)34-22)33-15-25(29)27-17-7-5-4-6-8-17/h9-14,17H,4-8,15H2,1-3H3,(H,27,29)	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	8927	spectra_filtered/specs_ms.mgf	lib-00009.mgf	0.993434	BERKELEY-LAB	47399200.0	594.673	338475.0	4	165.915	490.184	324.269	1	spectra_filtered/specs_ms.mgf8927	1		0	0	VMPZSBSETDXPSI-UHFFFAOYSA-N	VMPZSBSETDXPSI	Phenylpropanoids and polyketides	Flavonoids	O-methylated flavonoids	Flavonoids	Flavones	Shikimates and Phenylpropanoids
CCMSLIB00005733635	Massbank:EQ303102 Xylometazoline|2-(4-tert-butyl-2,6-dimethyl-benzyl)-2-imidazoline	ESI	Hybrid FT	Isolated	Massbank	Massbank	M+H	245.201	0.0	1	526-36-3	N/A	CC1=CC(=CC(=C1CC2=NCCN2)C)C(C)(C)C	1S/C16H24N2/c1-11-8-13(16(3,4)5)9-12(2)14(11)10-15-17-6-7-18-15/h8-9H,6-7,10H2,1-5H3,(H,17,18)	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	1045	spectra_filtered/specs_ms.mgf	lib-00039.mgf	0.992684	MASSBANK	32365500.0	473.274	102041.0	4	25.0206	245.201	270.222	1	spectra_filtered/specs_ms.mgf1045	1		0	0	HUCJFAOMUPXHDK-UHFFFAOYSA-N	HUCJFAOMUPXHDK	Benzenoids	Benzene and substituted derivatives	Phenylpropanes			
CCMSLIB00006690645	N-cyclohexyl-2-[4-oxo-2-(3,4,5-trimethoxyphenyl)chromen-6-yloxy]acetamide	LC-ESI	Orbitrap	commercial	Trent Northen	JGI:197328	M+Na	490.184	0.0	1	N/A	N/A	COc1cc(-c2cc(=O)c3cc(OCC(O)=NC4CCCCC4)ccc3o2)cc(OC)c1OC	InChI=1S/C26H29NO7/c1-30-23-11-16(12-24(31-2)26(23)32-3)22-14-20(28)19-13-18(9-10-21(19)34-22)33-15-25(29)27-17-7-5-4-6-8-17/h9-14,17H,4-8,15H2,1-3H3,(H,27,29)	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	5997	spectra_filtered/specs_ms.mgf	lib-00009.mgf	0.9923049999999999	BERKELEY-LAB	53633000.0	559.592	391548.0	4	191.93099999999998	490.184	298.253	1	spectra_filtered/specs_ms.mgf5997	1		0	0	VMPZSBSETDXPSI-UHFFFAOYSA-N	VMPZSBSETDXPSI	Phenylpropanoids and polyketides	Flavonoids	O-methylated flavonoids	Flavonoids	Flavones	Shikimates and Phenylpropanoids
CCMSLIB00006690645	N-cyclohexyl-2-[4-oxo-2-(3,4,5-trimethoxyphenyl)chromen-6-yloxy]acetamide	LC-ESI	Orbitrap	commercial	Trent Northen	JGI:197328	M+Na	490.184	0.0	1	N/A	N/A	COc1cc(-c2cc(=O)c3cc(OCC(O)=NC4CCCCC4)ccc3o2)cc(OC)c1OC	InChI=1S/C26H29NO7/c1-30-23-11-16(12-24(31-2)26(23)32-3)22-14-20(28)19-13-18(9-10-21(19)34-22)33-15-25(29)27-17-7-5-4-6-8-17/h9-14,17H,4-8,15H2,1-3H3,(H,27,29)	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	7750	spectra_filtered/specs_ms.mgf	lib-00009.mgf	0.991345	BERKELEY-LAB	93212000.0	586.266	334363.0	4	163.899	490.184	326.284	1	spectra_filtered/specs_ms.mgf7750	1		0	0	VMPZSBSETDXPSI-UHFFFAOYSA-N	VMPZSBSETDXPSI	Phenylpropanoids and polyketides	Flavonoids	O-methylated flavonoids	Flavonoids	Flavones	Shikimates and Phenylpropanoids
CCMSLIB00006691938	N-{2-[N-benzylcarbamoyl]phenyl}(3,4,5-trimethoxyphenyl)carboxamide	LC-ESI	Orbitrap	commercial	Trent Northen	JGI:198621	M+Na	443.158	0.0	1	N/A	N/A	COc1cc(C(O)=Nc2ccccc2C(O)=NCc2ccccc2)cc(OC)c1OC	InChI=1S/C24H24N2O5/c1-29-20-13-17(14-21(30-2)22(20)31-3)23(27)26-19-12-8-7-11-18(19)24(28)25-15-16-9-5-4-6-10-16/h4-14H,15H2,1-3H3,(H,25,28)(H,26,27)	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	831	spectra_filtered/specs_ms.mgf	lib-00009.mgf	0.990926	BERKELEY-LAB	86231000.0	605.52	173397.0	4	76.8421	443.158	366.316	1	spectra_filtered/specs_ms.mgf831	1		0	0	QWRKJDKSNXUZOY-UHFFFAOYSA-N	QWRKJDKSNXUZOY	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Flavonoids		Shikimates and Phenylpropanoids
CCMSLIB00003134553	Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14	ESI	Ion Trap	Isolated	Data from Pieter Dorrestein	Data deposited by daniel	M+H	482.36	481.353	1	52691620	N/A	CCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O	InChI=1S/C24H52NO6P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-29-22-24(26)23-31-32(27,28)30-21-19-25(2,3)4/h24,26H,5-23H2,1-4H3/t24-/m1/s1	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	5852	spectra_filtered/specs_ms.mgf	lib-00015.mgf	0.990633	GNPS-NIST14-MATCHES	140009000.0	606.5319999999999	4175.7	14	2.01419	482.36	480.346	1	spectra_filtered/specs_ms.mgf5852	1		35	2444	VLBPIWYTPAXCFJ-XMMPIXPASA-N	VLBPIWYTPAXCFJ	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	N/A	N/A	N/A
CCMSLIB00005760437	Massbank:LU033301 AM580|4-{[(5,5,8,8-Tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)carbonyl]amino}benzoic acid|4-[(5,5,8,8-tetramethyl-6,7-dihydronaphthalene-2-carbonyl)amino]benzoic acid	ESI	Hybrid FT	Isolated	Massbank	Massbank	M+H	352.191	0.0	1	102613-10-5	N/A	CC1(C)CCC(C)(C)C2=C1C=CC(=C2)C(=O)NC1=CC=C(C=C1)C(O)=O	1S/C22H25NO3/c1-21(2)11-12-22(3,4)18-13-15(7-10-17(18)21)19(24)23-16-8-5-14(6-9-16)20(25)26/h5-10,13H,11-12H2,1-4H3,(H,23,24)(H,25,26)	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	8629	spectra_filtered/specs_ms.mgf	lib-00039.mgf	0.990502	MASSBANK	26454800.0	580.98	119078.0	4	41.9381	352.191	310.253	1	spectra_filtered/specs_ms.mgf8629	1		0	0	SZWKGOZKRMMLAJ-UHFFFAOYSA-N	SZWKGOZKRMMLAJ	Benzenoids	Benzene and substituted derivatives	Anilides			Terpenoids
CCMSLIB00005760437	Massbank:LU033301 AM580|4-{[(5,5,8,8-Tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)carbonyl]amino}benzoic acid|4-[(5,5,8,8-tetramethyl-6,7-dihydronaphthalene-2-carbonyl)amino]benzoic acid	ESI	Hybrid FT	Isolated	Massbank	Massbank	M+H	352.191	0.0	1	102613-10-5	N/A	CC1(C)CCC(C)(C)C2=C1C=CC(=C2)C(=O)NC1=CC=C(C=C1)C(O)=O	1S/C22H25NO3/c1-21(2)11-12-22(3,4)18-13-15(7-10-17(18)21)19(24)23-16-8-5-14(6-9-16)20(25)26/h5-10,13H,11-12H2,1-4H3,(H,23,24)(H,25,26)	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	1068	spectra_filtered/specs_ms.mgf	lib-00039.mgf	0.9903850000000001	MASSBANK	27466500.0	522.697	158873.0	4	55.9536	352.191	296.237	1	spectra_filtered/specs_ms.mgf1068	1		0	0	SZWKGOZKRMMLAJ-UHFFFAOYSA-N	SZWKGOZKRMMLAJ	Benzenoids	Benzene and substituted derivatives	Anilides			Terpenoids
CCMSLIB00005765832	Massbank:LU091001 Leucomalachite green|4-[[4-(dimethylamino)phenyl]-phenylmethyl]-N,N-dimethylaniline	ESI	Hybrid FT	Isolated	Massbank	Massbank	M+H	331.217	0.0	1	129-73-7	N/A	CN(C)C1=CC=C(C=C1)C(C1=CC=CC=C1)C1=CC=C(C=C1)N(C)C	1S/C23H26N2/c1-24(2)21-14-10-19(11-15-21)23(18-8-6-5-7-9-18)20-12-16-22(17-13-20)25(3)4/h5-17,23H,1-4H3	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	934	spectra_filtered/specs_ms.mgf	lib-00039.mgf	0.990315	MASSBANK	49748200.0	518.693	141840.0	4	46.9797	331.217	284.237	1	spectra_filtered/specs_ms.mgf934	1		0	0	WZKXBGJNNCGHIC-UHFFFAOYSA-N	WZKXBGJNNCGHIC	N/A	N/A	N/A			
CCMSLIB00005765832	Massbank:LU091001 Leucomalachite green|4-[[4-(dimethylamino)phenyl]-phenylmethyl]-N,N-dimethylaniline	ESI	Hybrid FT	Isolated	Massbank	Massbank	M+H	331.217	0.0	1	129-73-7	N/A	CN(C)C1=CC=C(C=C1)C(C1=CC=CC=C1)C1=CC=C(C=C1)N(C)C	1S/C23H26N2/c1-24(2)21-14-10-19(11-15-21)23(18-8-6-5-7-9-18)20-12-16-22(17-13-20)25(3)4/h5-17,23H,1-4H3	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	8665	spectra_filtered/specs_ms.mgf	lib-00039.mgf	0.990152	MASSBANK	22400900.0	529.815	141840.0	4	46.9797	331.217	284.237	1	spectra_filtered/specs_ms.mgf8665	1		0	0	WZKXBGJNNCGHIC-UHFFFAOYSA-N	WZKXBGJNNCGHIC	N/A	N/A	N/A			
CCMSLIB00004680136	Loliolide	LC-ESI	Orbitrap	Crude	Lihini Aluwihare	Daniel Petras	M+H	197.117	0.0	1	 	 	CC1(CC(CC2(C1=CC(=O)O2)C)O)C	 	 	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	2414	spectra_filtered/specs_ms.mgf	lib-00035.mgf	0.989923	GNPS-LIBRARY	26031400.0	302.072	1.00633	64	0.00019836400000000003	197.117	197.11700000000002	1	spectra_filtered/specs_ms.mgf2414	1		25	1085	XEVQXKKKAVVSMW-UHFFFAOYSA-N	XEVQXKKKAVVSMW	N/A	N/A	N/A	Apocarotenoids	Apocarotenoids (β-)	Terpenoids
