VisualizationID	SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	P-Value	PeptideMass	SpectrumMass	Retention	Adduct	Charge	SMILES	FDR
spectra-00000_PSM_0_0DJLYMEACW	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	1445	1505	8370	Sporidesmolide_V	17	1.1e-35	666.457	396.802	323.517	M+2H	2	N1(C(=O)C(NC(=O)C(OC(=O)C(NC(=O)C(NC(=O)C(OC(=O)C1CC(C)C)C(C)C)C(CC)C)CC(C)C)CC(C)C)C(C)C)C	0.00
spectra-00000_PSM_1_L4CPW9M398	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	6773	7400	8836	Xenobovid_A	15	3.8e-31	765.5	784.53	615.071	M+H	1	C1(=O)[C@H]([C@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](N1)C)CC(C)C)CC(C)C)CC(C)C)CC(C)C)C)C)NC(=O)CCC	0.00
spectra-00000_PSM_7_GZTVQ40XB4	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	1463	1523	7807	Sansalvamide_A_N9-Me	11	9.1e-27	600.389	566.428	289.596	M+H	1	CC(C)CC1C(=O)OC(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(Cc2ccccc2)C(=O)N1	0.00
spectra-00000_PSM_3_H6EW32IWEB	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	1485	1545	8370	Sporidesmolide_V	12	3.5e-26	666.457	679.512	309.381	M+H	1	N1(C(=O)C(NC(=O)C(OC(=O)C(NC(=O)C(NC(=O)C(OC(=O)C1CC(C)C)C(C)C)C(CC)C)CC(C)C)CC(C)C)C(C)C)C	0.00
spectra-00000_PSM_8_FFKJPFQTQJ	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	8806	10108	6109	Isariins_Isariin_G1	11	3.0e-23	609.41	652.476	435.147	M+H	1	CCCCCCCC1CC(=O)NCC(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C(C)C)C(=O)O1	0.00
spectra-00000_PSM_21_IMTVSEQ5Q5	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	4098	4364	8556	PHB;_sPHB;_Poly-(hydroxybutyric_acid),_m	9	3.8e-22	878.378	810.375	581.156	M+H	1	C(=O)(CC(OC(=O)CC(OC(=O)CC(OC(=O)CC(O)C)C)C)C)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)O)C)C)C)C)C)C	0.00
spectra-00000_PSM_23_QBVVKSJMSE	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	4469	4762	8456	OHB;_cPHB;_Oligo-(hydroxybutyric_acid),	8	4.1e-20	792.342	752.37	589.577	M+H	1	C(=O)(CC(OC(=O)CC(OC(=O)CC(OC(=O)CC(O)C)C)C)C)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)O)C)C)C)C)C	0.00
spectra-00000_PSM_5_D73MOT65J9	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	2024	2112	7322	B_12489_B_12489A	12	1.5e-19	1098.64	592.372	335.574	M+2H	2	CC=C1C(=O)NC(CC(C)C)C(=O)NC(CN)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(=O)O)C(=O)OC(CCCC(C)C)CC(=O)NC(CN)C(=O)NC(Cc2ccccc2)C(=O)NC(CCN)C(=O)N1	0.00
spectra-00000_PSM_24_KTCLWAW7MI	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	2734	2877	8456	OHB;_cPHB;_Oligo-(hydroxybutyric_acid),	8	9.2e-19	792.342	724.339	565.536	M+H	1	C(=O)(CC(OC(=O)CC(OC(=O)CC(OC(=O)CC(O)C)C)C)C)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)O)C)C)C)C)C	0.00
spectra-00000_PSM_22_H97MYU9NM9	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	2728	2869	8330	Orbuticin,_proposed_structure_I	8	1.1e-18	646.226	643.257	535.343	M+H	1	C1(=O)c2c(cc(cc2O)O)CC(OC(=O)c2c(cc(cc2O)O)CC(OC(=O)CC(OC(=O)CC(OC(=O)CC(O1)C)C)C)C)C	0.00
