cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
1	107	76	Organic compounds	0.881578947368421	Lipids and lipid-like molecules	0.39108187134502925	Steroids and steroid derivatives	0.15932017543859647		0.11920426065162903	Triterpenoids	0.06721491228070177	Aromatic heteropolycyclic compounds	0.2163116123642439
2	107	76	Organic compounds	0.881578947368421	Lipids and lipid-like molecules	0.39108187134502925	Steroids and steroid derivatives	0.15932017543859647		0.11920426065162903	Triterpenoids	0.06721491228070177	Aromatic heteropolycyclic compounds	0.2163116123642439
4	107	76	Organic compounds	0.881578947368421	Lipids and lipid-like molecules	0.39108187134502925	Steroids and steroid derivatives	0.15932017543859647		0.11920426065162903	Triterpenoids	0.06721491228070177	Aromatic heteropolycyclic compounds	0.2163116123642439
5	107	76	Organic compounds	0.881578947368421	Lipids and lipid-like molecules	0.39108187134502925	Steroids and steroid derivatives	0.15932017543859647		0.11920426065162903	Triterpenoids	0.06721491228070177	Aromatic heteropolycyclic compounds	0.2163116123642439
10	107	76	Organic compounds	0.881578947368421	Lipids and lipid-like molecules	0.39108187134502925	Steroids and steroid derivatives	0.15932017543859647		0.11920426065162903	Triterpenoids	0.06721491228070177	Aromatic heteropolycyclic compounds	0.2163116123642439
13	107	76	Organic compounds	0.881578947368421	Lipids and lipid-like molecules	0.39108187134502925	Steroids and steroid derivatives	0.15932017543859647		0.11920426065162903	Triterpenoids	0.06721491228070177	Aromatic heteropolycyclic compounds	0.2163116123642439
14	107	76	Organic compounds	0.881578947368421	Lipids and lipid-like molecules	0.39108187134502925	Steroids and steroid derivatives	0.15932017543859647		0.11920426065162903	Triterpenoids	0.06721491228070177	Aromatic heteropolycyclic compounds	0.2163116123642439
31	107	76	Organic compounds	0.881578947368421	Lipids and lipid-like molecules	0.39108187134502925	Steroids and steroid derivatives	0.15932017543859647		0.11920426065162903	Triterpenoids	0.06721491228070177	Aromatic heteropolycyclic compounds	0.2163116123642439
55	107	76	Organic compounds	0.881578947368421	Lipids and lipid-like molecules	0.39108187134502925	Steroids and steroid derivatives	0.15932017543859647		0.11920426065162903	Triterpenoids	0.06721491228070177	Aromatic heteropolycyclic compounds	0.2163116123642439
128	107	76	Organic compounds	0.881578947368421	Lipids and lipid-like molecules	0.39108187134502925	Steroids and steroid derivatives	0.15932017543859647		0.11920426065162903	Triterpenoids	0.06721491228070177	Aromatic heteropolycyclic compounds	0.2163116123642439
