,InChIKey
0,InChIKey=FJZYILFHGFSVMC-KBPBESRZSA-N
1,InChIKey=WKFARDJTXMZADP-NTEUORMPSA-N
2,InChIKey=HUDWACAATGSXNV-GGJMMHKRSA-N
3,InChIKey=HPQCIRWCBBADDQ-NXHRZFHOSA-N
4,InChIKey=OLVDZXLYEJAWNY-NSGGIEJNSA-N
5,InChIKey=SLTNOYPJAFPNDM-WYAFITDCSA-O
6,InChIKey=JVNRAWAXQAGKBK-HLIGCJFYSA-N
7,InChIKey=PZGTZQIYRXDXGV-RNHFSVANSA-N
8,InChIKey=KYFAZVQWWHPBEX-UHFFFAOYSA-N
9,InChIKey=QYOZODNWEZVAND-MSOLQXFVSA-O
10,InChIKey=RLGSXXMFPPOROB-JOYMZIHVSA-N
11,InChIKey=TZTWGGYPSZSNBQ-VEPOBDBYSA-N
12,InChIKey=VPNXFZWWAAFRSP-LLVKDONJSA-N
13,InChIKey=HFWMLSNVDWMIEV-GCWZKKBRSA-N
14,InChIKey=LZROFPPUPTYTGF-CYBMUJFWSA-N
15,InChIKey=WIIMVXRNTVGXEQ-LCENJUANSA-O
16,InChIKey=OCTZTNYFALPGHW-LSDHHAIUSA-N
17,InChIKey=HKGCCVNQPQNCLC-UHFFFAOYSA-O
18,InChIKey=UXDJXBGZQXHXPG-ZFWWWQNUSA-O
19,InChIKey=PPHGBHQHCPBKFR-FFCVWOAGSA-N
20,InChIKey=UFPQIRYSPUYQHK-WAQVJNLQSA-N
21,InChIKey=WJFHBZYDHHWPRW-UHFFFAOYSA-N
22,InChIKey=VHQZIMAMLQIPDR-CEXUERNISA-N
23,InChIKey=OAVTYOIOESAJKW-RUZDIDTESA-O
24,InChIKey=VKBNJRWDIJNRML-BRERNLBNSA-N
25,InChIKey=JUJONHLZOUOXSH-UJNYVCHMSA-M
26,InChIKey=OLZYNLSKRKFUJC-GPZVIVARSA-N
27,InChIKey=HZFQAIPMRCBXFO-WXOXAHCZSA-O
28,InChIKey=CGHVUSLIWOGTID-GXTWGEPZSA-N
29,InChIKey=CVKHCZRTWQQZHF-CUBWWMDSSA-N
30,InChIKey=LSIMCDXVDGMBPG-SFHVURJKSA-N
31,InChIKey=XUIBJKJBLJUMMA-LTIDMASMSA-N
32,InChIKey=NJVADEFPOCMONF-VLIAUNLRSA-N
33,InChIKey=LEWGEDTVGDPLGM-RZGXBDKHSA-N
34,InChIKey=MBPJQJFEJPGNLN-XDWYGDIXSA-N
35,InChIKey=CKUCUKKMHITAIF-WGLCNKTJSA-N
36,InChIKey=YKUHIMLLSZRAJY-UHFFFAOYSA-N
37,InChIKey=QOZGAPIDZXXDRL-IWNMBENQSA-N
38,InChIKey=HXKJTQQHPPEFCK-ZUSJUXBOSA-N
39,InChIKey=FDUJUSPEIBLQCP-IERDGZPVSA-O
40,InChIKey=YOWABXYMBGIQEY-ISFSCYEMSA-N
41,InChIKey=OQSSEBVUBPPISU-UHFFFAOYSA-O
42,InChIKey=TUIXIWSZFWDKQR-YQDGDYDPSA-N
43,InChIKey=AKJIPZYHXYQVJT-UHFFFAOYSA-N
44,InChIKey=HKNCSOHIKKTKEH-UERPJVIHSA-N
45,InChIKey=KMSQYTBBXIHDHE-GOEBONIOSA-N
46,InChIKey=OWXQUCUELXYNCU-OGFXRUNTSA-N
47,InChIKey=AYUFSIRZXDWSDR-UHFFFAOYSA-N
48,InChIKey=AMSIYSNHXHLWOA-AREMUKBSSA-N
49,InChIKey=MJRRVXXKDXXMHS-ZFHRQQEKSA-N
50,InChIKey=WMVRWIQWDMOQTG-UHFFFAOYSA-N
51,InChIKey=HJBYUXZWKCKZLP-UHFFFAOYSA-N
52,InChIKey=WDHCWAPTWWINPB-UHFFFAOYSA-N
53,InChIKey=IAOGCOUDTZVSLT-UHFFFAOYSA-N
54,InChIKey=ICDVYWFSZIRFRZ-WUHRBBMRSA-O
55,InChIKey=ZRKYZPSEADYXLE-HYPDOXGUSA-N
56,InChIKey=PHOJGANKLGTDAA-SEIRJHJZSA-N
57,InChIKey=JPLPLHNAGFAWNX-JEJCSOMWSA-N
58,InChIKey=HDLIFVHZADXCSA-BCNIOPEESA-N
59,InChIKey=KUWUFIMFEHTJGO-LOXVXLSQSA-N
60,InChIKey=ZAPIKGUBFZHNMQ-AQDIXCGQSA-N
61,InChIKey=ITZHGZMZQUJODL-MMDKRFMXSA-N
62,InChIKey=GLYSMURNOJSQAI-IUCAKERBSA-N
63,InChIKey=ZKAAVBQKARRBFN-CIKJAVNGSA-N
64,InChIKey=FCWUARFDJBCDGC-AFBXNBTOSA-N
65,InChIKey=ZXYBGRINNXNOOM-LAQVDHFBSA-N
66,InChIKey=MODKMHXGCGKTLE-UHFFFAOYSA-N
67,InChIKey=NPDOSCKIOTXANY-LLVKDONJSA-M
68,InChIKey=AORAAVFCUMFJME-GPHNJDIKSA-N
69,InChIKey=VDCREDRRGMYFQC-CALCHBBNSA-O
70,InChIKey=BFMXLCHQFKGVTA-DHIUTWEWSA-O
71,InChIKey=AJTVLLMGTHJMEF-GFCCVEGCSA-N
72,InChIKey=ZDXGFIXMPOUDFF-XLIONFOSSA-N
73,InChIKey=RSPRZEXBOZVSMQ-IEJQXLEPSA-O
74,InChIKey=VTJMSIIXXKNIDJ-UHFFFAOYSA-N
75,InChIKey=WQIVCNLLAVUHIE-BCDXTJNWSA-O
76,InChIKey=FPZUWICWECAIKT-QTJGBDASSA-O
77,InChIKey=JHHXPQAUADQJBQ-UHFFFAOYSA-N
78,InChIKey=QRBNRTRUCFBIJF-UHFFFAOYSA-N
79,InChIKey=KVHDVVNHKWIXAJ-UHFFFAOYSA-O
80,InChIKey=MYTRQYCYPXKAQI-UHFFFAOYSA-N
81,InChIKey=VQGXXBKYIKGJKX-JJZARTCQSA-O
82,InChIKey=JNXIZNROIJXPTQ-KICYQDNLSA-N
83,InChIKey=JKRBTBYSIOEIRE-UHFFFAOYSA-N
84,InChIKey=OGRAMAAKQPETEE-OTUKTJHOSA-N
85,InChIKey=UFETWOZBNWDOMC-GOSISDBHSA-O
86,InChIKey=SNAHHWCKTZHBIF-UHFFFAOYSA-N
87,InChIKey=UXAONLIRDJFJAK-WMFBPPSZSA-N
88,InChIKey=SXYMMDGPXYVCER-WGNLCONDSA-O
89,InChIKey=XONXNDGKBLFFPC-UHFFFAOYSA-O
90,InChIKey=NOCWBZZHYPKCKG-UHFFFAOYSA-N
91,InChIKey=OAVANBAUUXSKIH-VENBEGNGSA-N
92,InChIKey=JNYYISNOBJFYBA-UHFFFAOYSA-N
93,InChIKey=PCORINJSUKFHJH-JSAOQESESA-N
94,InChIKey=VKAOERDMNZUNBK-IUGPZQAISA-N
95,InChIKey=HLACYKWDKMDHMU-YHUNYKRISA-N
96,InChIKey=ZMUCKSSGTPFNAI-QTVXIADOSA-N
97,InChIKey=GQJPOQVLNQVDDL-UHFFFAOYSA-N
