,SMILES
0,CC[C@H]1CN(CC[C@H]1CC(=O)OC)C(=O)Nc1cccc(c1)OC
1,Cc1c2c(c(c(c1OC)C/C=C(\C)/CCC(=O)NC1CCCC1)OC)C(=O)OC2
2,C[C@@H]1CN[C@@H](C)COc2ccc(cc2C(=O)N(C)C[C@@H]1OC)NC(=O)c1ccc(cc1)Oc1ccccc1
3,[C@@]123c4c(cc(c(c4)OC)O)CCN2CCC1=C[C@H]([C@@H](C3)OC)O
4,[C@]123C(=CC(=O)C(=C2C=C)C)[C@@]([C@H](C[C@@H]1O3)C(=C)C)(CCC(=O)OC)C
5,CC1(C[C@@H](CCO1)[C@@H](CC/[NH+]=C/c1ccc(cc1)N(C)C)c1ccccc1OC)C
6,CC(=NC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]1[C@H](C[C@H]([C@@H]([C@H]1O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)N)O)N)N)N)O)O)O
7,C[C@@H]1CN([C@@H](C)CO)C(=O)CCCn2c(cnn2)CO[C@H]1CN(C)C(=O)Oc1ccc2ccccc2c1
8,CCOc1ccc(cc1OCC)c1c2cc(c3ccccc3c2n2c1c1cc(c(cc1CC2)OCC)OCC)OC
9,C[C@H](Cc1ccccc1)[NH2+]CCC(=O)N[C@@H](C)Cc1ccccc1
10,CC(=N[C@@H]1CC[C@@H](CN)O[C@@H]1O[C@@H]1[C@H](C[C@H]([C@@H]([C@H]1O)O[C@@H]1[C@@H]([C@H]([C@](C)(CO1)O)NC)O)N)N)O
11,CCCCC\C=C/C\C=C/[C@@H](O)CCCCCCC(=O)OO
12,Cc1c2ccc(cc2oc(=O)c1CCC(=O)NC[C@H](CO)O)OC
13,CCC\C=C\CCC(=O)C(C)C(=O)N1CCC[C@@H]1CO
14,C1=C([C@@H](CC(=O)C(=C(C)C)C1)C)CCC(=C)C
15,c1c(cc(c(c1O)O)O)c1c(cc2c(cc(cc2[o+]1)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O)O
16,COc1cc(ccc1O)C[C@@H]1[C@@H](Cc2ccc3c(c2)OCO3)COC1=O
17,CC(=O)c1cccc(c1)NC(=O)COc1coc(cc1=O)C[N@@H+]1CCc2cc(c(cc2C1)OC)OC
18,CC(C)c1nc(on1)[C@@H]1C[C@@H](C[N@H+]1C)NC(=O)COc1ccccc1
19,CC(C)C[C@@H](C(=O)NCCc1ccc(c(c1)OC)OC)NC(=O)[C@@H]1C(S[C@H]2N1C(=O)c1c2cccc1)(C)C
20,CCCCC/C=C\C/C=C\C=C\C=C\[C@H]1[C@H](CCCC(=O)O)O1
21,OCC1OC(C(O)C(O)C1O)N1C=C(C=O)C2=CC=CC=C12
22,[H][C@@]12NC(C)(C)C(=O)N1C1=CC=CC=C1[C@@]2(O)C[C@H]1N2C(=O)C3=C(C=CC=C3)N=C2[C@H](NC1=O)C(C)C
23,CC1(C[C@](CCO1)(CC[NH2+]Cc1ccc(cc1)N(C)C)c1ccccc1OC)C
24,[C@@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O[C@H](Cc1ccccc1)[C@H](O)C
25,C[C@H](CC(=O)C[C@H](C)C(=O)[O-])[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)[C@H]1[C@H]2[C@@H](C[C@H]2[C@H]1CCC(=O)C2(C)C)O)C)C)O
26,CC(=CC(CC(=O)SCCN=C(CCN=C(C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)(O)O)O)O)O)O)C
27,CC1([C@@H]2CC[C@](O1)(C[C@H]2[NH3+])[C@H]1CCC[C@H](C1)Cc1ccccc1)C
28,CC1=C2C(=O)O[C@H]([C@@]2(CCC1=O)C)c1ccoc1
29,CCN(CC)C(=O)C[C@@H]1c2c(sc(n2)NC(=O)COC)C[C@H]2[C@]1(CC[C@H]([C@@]2(C)CO)O)C
30,COCCNc1c(cccn1)c1nc(on1)[C@@H]1CCCN1Cc1ccc(cc1)[N+](=O)[O-]
