"","Mo_2019_320","Mo_2019_321","Mo_2019_322","Mo_2019_323","Mo_2019_324_B","Mo_2019_325","Mo_2019_326","Mo_2019_327","Mo_2019_328","Mo_2019_329","Mo_2019_330","Mo_2019_331","Mo_2019_332","Mo_2019_333","Mo_2019_334","Mo_2019_335","Mo_2019_336","Mo_2019_337","Mo_2019_338","Mo_2019_339","Mo_2019_340","Mo_2019_341","Mo_2019_342","Mo_2019_343","Mo_2019_344","Mo_2019_345","Mo_2019_346","Mo_2019_347","Mo_2019_348","Mo_2019_349","Mo_2019_350","Mo_2019_351","Mo_2019_352","Mo_2019_353","Mo_2019_543"
"44_152.1282_2.347_4081_N/A_NA_no matches_no matches_no matches_no matches","2.541822e+03","2.169048e+03","2.267923e+03","0.000000e+00","0.000000e+00","0.000000e+00","2.219772e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.434190e+03","0.000000e+00","2.222488e+03","0.000000e+00","1.165285e+04","2.160667e+04","2.298680e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.702443e+03","0.000000e+00","0.000000e+00","1.566857e+04","1.348746e+04","2.892719e+04"
"72_154.1591_4.6735_-1_1-Heptanone, 1-(4-methoxyphenyl)-2-(1-pyrrolidinyl)-_1-Heptanone, 1-(4-methoxyphenyl)-2-(1-pyrrolidinyl)-_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Carbonyl compounds","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"114_155.1543_1.4726_-1_(1R,5S)-9-Methyl-9-azabicyclo[3.3.1]nonan-3-amine_(1R,5S)-9-Methyl-9-azabicyclo[3.3.1]nonan-3-amine_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.620094e+03","7.813002e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.191938e+05","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"115_155.1544_3.2393_-1_(1R,5S)-9-Methyl-9-azabicyclo[3.3.1]nonan-3-amine_(1R,5S)-9-Methyl-9-azabicyclo[3.3.1]nonan-3-amine_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.168410e+04","3.155640e+03","0.000000e+00","2.679433e+03","3.504332e+03","3.948863e+03","6.997796e+03","0.000000e+00","3.099137e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.278071e+03","0.000000e+00","4.728174e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.871171e+03"
"119_156.077_0.5763_-1_N-.alpha.-(tert-Butoxycarbonyl)-L-histidine_N-.alpha.-(tert-Butoxycarbonyl)-L-histidine_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","0.000000e+00","0.000000e+00","0.000000e+00","5.041542e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.155143e+03","0.000000e+00","0.000000e+00"
"130_156.1384_8.6343_8483_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"134_156.1384_3.7034_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","2.522343e+03","5.567399e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.777711e+03","0.000000e+00","2.076880e+03","0.000000e+00","0.000000e+00","2.469660e+03","0.000000e+00","0.000000e+00","4.042696e+03","0.000000e+00","2.157560e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"136_156.1384_0.9504_3850_N-Methyl-DL-homatropine cation_N-Methyl-DL-homatropine cation_Organic compounds_Alkaloids and derivatives_Tropane alkaloids_NA","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.350384e+03","2.487439e+03","2.654790e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.375735e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.247082e+03","2.512823e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"138_156.1515_2.5082_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"139_156.1515_2.8353_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.933951e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.076310e+03","2.669209e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.127182e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
