"","PLANC_aquaria","Sample_NR","Temp","origin","Treatment","Sample.Type","Timepoint.x","Hours","Bottle_NR","Notes","sym_total","sym_total..no.outliers.","SA","SA_no_outliers","sym.SA.normalized.no.outliers","sym.SA.normalized","Aquaria_timepoint_heat","Aquaria","Timepoint.y","Heat","Coral_Health","abcDOM_Treatment","Coral_Health_Heat","Timepoint_Heat","sym.group1","log10.sym.SA.normalized.no.outliers","sym.group1.1","sym.group2","sym.group3","bleaching_trajectory","Collection_Bleaching_Level1","Bleaching_Susceptability"
"1","","ABC_081","Hot","control","Hot Water Control","PPL","Tend",36,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","","ABC_162","Ambient","control","Water Control","FCM","T8",8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","","ABC_043","Hot","control","Hot Water Control","DOC","T0",0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","","ABC_044","Hot","control","Hot Water Control","DOC","T0",0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","","ABC_045","Hot","control","Hot Water Control","DOC","T0",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","","ABC_126","Ambient","control","Water Control","FCM","T0",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","","ABC_007","Hot","control","Hot Water Control","Sterivex","T0",0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","","ABC_008","Hot","control","Hot Water Control","Sterivex","T0",0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","","ABC_009","Hot","control","Hot Water Control","Sterivex","T0",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","","ABC_090","Ambient","control","Water Control","PPL","Tend",36,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","","ABC_171","Hot","control","Hot Water Control","FCM","T12",12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
