Sample_Name_Unique,Sample_Name,PCR_setting,Experiment,Replicate
PCR_POS_1,PCR_POS_1,Standard,,I
A1_a_T00,A1_a_T00,Standard,ROBO,I
A1_a_T00_v1,A1_a_T00,Standard,ROBO,II
A1_a_T36,A1_a_T36,Standard,ROBO,I
A1_a_T36_v1,A1_a_T36,Standard,ROBO,II
A1_c_T00,A1_c_T00,Standard,ROBO,I
A1_c_T00_v1,A1_c_T00,Standard,ROBO,II
A1_c_T36,A1_c_T36,Standard,ROBO,I
A1_c_T36_v1,A1_c_T36,Standard,ROBO,II
A1_w_T00,A1_w_T00,Standard,ROBO,I
A1_w_T00_v1,A1_w_T00,Standard,ROBO,II
A1_w_T36,A1_w_T36,Standard,ROBO,I
A1_w_T36_v1,A1_w_T36,Standard,ROBO,II
A1_x_T00,A1_x_T00,Standard,ROBO,I
A1_x_T00_v1,A1_x_T00,Standard,ROBO,II
A1_x_T-48,A1_x_T-48,Standard,ROBO,I
A1_x_T-48_v1,A1_x_T-48,Standard,ROBO,II
A2_a_T00,A2_a_T00,Standard,ROBO,I
A2_a_T00_v1,A2_a_T00,Standard,ROBO,II
A2_a_T36,A2_a_T36,Standard,ROBO,I
A2_a_T36_v1,A2_a_T36,Standard,ROBO,II
A2_c_T00,A2_c_T00,Standard,ROBO,I
A2_c_T00_v1,A2_c_T00,Standard,ROBO,II
A2_c_T36,A2_c_T36,Standard,ROBO,I
A2_c_T36_v1,A2_c_T36,Standard,ROBO,II
A2_w_T00,A2_w_T00,Standard,ROBO,I
A2_w_T00_v1,A2_w_T00,Standard,ROBO,II
A2_w_T36,A2_w_T36,Standard,ROBO,I
A2_w_T36_v1,A2_w_T36,Standard,ROBO,II
A2_x_T00,A2_x_T00,Standard,ROBO,I
A2_x_T00_v1,A2_x_T00,Standard,ROBO,II
A2_x_T-48,A2_x_T-48,Standard,ROBO,I
A2_x_T-48_v1,A2_x_T-48,Standard,ROBO,II
A3_a_T00,A3_a_T00,Standard,ROBO,I
A3_a_T00_v1,A3_a_T00,Standard,ROBO,II
A3_a_T36,A3_a_T36,Standard,ROBO,I
A3_a_T36_v1,A3_a_T36,Standard,ROBO,II
A3_c_T00,A3_c_T00,Standard,ROBO,I
A3_c_T00_v1,A3_c_T00,Standard,ROBO,II
A3_c_T36,A3_c_T36,Standard,ROBO,I
A3_c_T36_v1,A3_c_T36,Standard,ROBO,II
A3_w_T00,A3_w_T00,Standard,ROBO,I
A3_w_T00_v1,A3_w_T00,Standard,ROBO,II
A3_w_T36,A3_w_T36,Standard,ROBO,I
A3_w_T36_v1,A3_w_T36,Standard,ROBO,II
A3_x_T00,A3_x_T00,Standard,ROBO,I
A3_x_T00_v1,A3_x_T00,Standard,ROBO,II
A3_x_T-48,A3_x_T-48,Standard,ROBO,I
A3_x_T-48_v1,A3_x_T-48,Standard,ROBO,II
ABC_001,ABC_001,Standard,ABC,I
ABC_001_v1,ABC_001,Standard,ABC,II
ABC_002,ABC_002,Standard,ABC,I
ABC_002_v1,ABC_002,Standard,ABC,II
ABC_003,ABC_003,Standard,ABC,I
ABC_003_v1,ABC_003,Standard,ABC,II
ABC_005,ABC_005,Standard,ABC,I
ABC_005_v1,ABC_005,Standard,ABC,II
ABC_006,ABC_006,Standard,ABC,I
ABC_006_v1,ABC_006,Standard,ABC,II
ABC_007,ABC_007,Standard,ABC,I
ABC_007_v1,ABC_007,Standard,ABC,II
ABC_008,ABC_008,Standard,ABC,I
ABC_008_v1,ABC_008,Standard,ABC,II
ABC_009,ABC_009,Standard,ABC,I
ABC_009_v1,ABC_009,Standard,ABC,II
ABC_010,ABC_010,Standard,ABC,I
ABC_010_v1,ABC_010,Standard,ABC,II
ABC_011,ABC_011,Standard,ABC,I
ABC_011_v1,ABC_011,Standard,ABC,II
ABC_012,ABC_012,Standard,ABC,I
ABC_012_v1,ABC_012,Standard,ABC,II
ABC_013,ABC_013,Standard,ABC,I
ABC_013_v1,ABC_013,Standard,ABC,II
ABC_014,ABC_014,Standard,ABC,I
ABC_014_v1,ABC_014,Standard,ABC,II
ABC_015,ABC_015,Standard,ABC,I
ABC_015_v1,ABC_015,Standard,ABC,II
ABC_016,ABC_016,Standard,ABC,I
ABC_016_v1,ABC_016,Standard,ABC,II
ABC_017,ABC_017,Standard,ABC,I
ABC_017_v1,ABC_017,Standard,ABC,II
ABC_018,ABC_018,Standard,ABC,I
ABC_018_v1,ABC_018,Standard,ABC,II
ABC_055,ABC_055,Standard,ABC,I
ABC_055_v1,ABC_055,Standard,ABC,II
ABC_056,ABC_056,Standard,ABC,I
ABC_056_v1,ABC_056,Standard,ABC,II
ABC_057,ABC_057,Standard,ABC,I
ABC_057_v1,ABC_057,Standard,ABC,II
ABC_059,ABC_059,Dil,ABC,I
ABC_059_v1,ABC_059,Standard,ABC,II
ABC_060,ABC_060,Dil,ABC,I
ABC_060_v1,ABC_060,Dil,ABC,II
ABC_061,ABC_061,Standard,ABC,I
ABC_061_v1,ABC_061,Standard,ABC,II
ABC_062,ABC_062,Standard,ABC,I
ABC_062_v1,ABC_062,Standard,ABC,II
ABC_063,ABC_063,Dil,ABC,I
ABC_063_v1,ABC_063,Standard,ABC,II
ABC_064,ABC_064,Standard,ABC,I
ABC_064_v1,ABC_064,Standard,ABC,II
ABC_065,ABC_065,Standard,ABC,I
ABC_065_v1,ABC_065,Standard,ABC,II
ABC_066,ABC_066,Standard,ABC,I
ABC_066_v1,ABC_066,Standard,ABC,II
ABC_067,ABC_067,Standard,ABC,I
ABC_067_v1,ABC_067,Standard,ABC,II
ABC_068,ABC_068,Standard,ABC,I
ABC_068_v1,ABC_068,Standard,ABC,II
ABC_069,ABC_069,Standard,ABC,I
ABC_069_v1,ABC_069,Standard,ABC,II
ABC_070,ABC_070,Standard,ABC,I
ABC_070_v1,ABC_070,Standard,ABC,II
ABC_071,ABC_071,Standard,ABC,I
ABC_071_v1,ABC_071,Standard,ABC,II
ABC_072,ABC_072,Dil,ABC,I
ABC_072_v1,ABC_072,Dil,ABC,II
ABC_MOC_B,ABC_MOC_B,Standard,ABC,I
ABC_MOC_B_v1,ABC_MOC_B,Standard,ABC,II
BACKREEF_T-48,BACKREEF_T-48,Standard,ROBO,I
BACKREEF_T-48_v1,BACKREEF_T-48,Standard,ROBO,II
BAK_02_DR,BAK_02_DR,Standard,ASRAMP,I
BAK_02_LR,BAK_02_LR,Standard,ASRAMP,I
BAK_02_WC,BAK_02_WC,Standard,ASRAMP,I
BAK_100_DR,BAK_100_DR,Standard,ASRAMP,I
BAK_100_LR,BAK_100_LR,Standard,ASRAMP,I
BAK_11_DR,BAK_11_DR,Standard,ASRAMP,I
BAK_11_LR,BAK_11_LR,Standard,ASRAMP,I
