Sample_Name_Unique,Sample_Name,PCR_setting,Experiment,Replicate
PCR_POS_1,PCR_POS_1,Standard,PCR_POS,I
ABC_001,ABC_001,Standard,ABC,I
ABC_001_v1,ABC_001,Standard,ABC,II
ABC_002,ABC_002,Standard,ABC,I
ABC_002_v1,ABC_002,Standard,ABC,II
ABC_003,ABC_003,Standard,ABC,I
ABC_003_v1,ABC_003,Standard,ABC,II
ABC_005,ABC_005,Standard,ABC,I
ABC_005_v1,ABC_005,Standard,ABC,II
ABC_006,ABC_006,Standard,ABC,I
ABC_006_v1,ABC_006,Standard,ABC,II
ABC_007,ABC_007,Standard,ABC,I
ABC_007_v1,ABC_007,Standard,ABC,II
ABC_008,ABC_008,Standard,ABC,I
ABC_008_v1,ABC_008,Standard,ABC,II
ABC_009,ABC_009,Standard,ABC,I
ABC_009_v1,ABC_009,Standard,ABC,II
ABC_010,ABC_010,Standard,ABC,I
ABC_010_v1,ABC_010,Standard,ABC,II
ABC_011,ABC_011,Standard,ABC,I
ABC_011_v1,ABC_011,Standard,ABC,II
ABC_012,ABC_012,Standard,ABC,I
ABC_012_v1,ABC_012,Standard,ABC,II
ABC_013,ABC_013,Standard,ABC,I
ABC_013_v1,ABC_013,Standard,ABC,II
ABC_014,ABC_014,Standard,ABC,I
ABC_014_v1,ABC_014,Standard,ABC,II
ABC_015,ABC_015,Standard,ABC,I
ABC_015_v1,ABC_015,Standard,ABC,II
ABC_016,ABC_016,Standard,ABC,I
ABC_016_v1,ABC_016,Standard,ABC,II
ABC_017,ABC_017,Standard,ABC,I
ABC_017_v1,ABC_017,Standard,ABC,II
ABC_018,ABC_018,Standard,ABC,I
ABC_018_v1,ABC_018,Standard,ABC,II
ABC_055,ABC_055,Standard,ABC,I
ABC_055_v1,ABC_055,Standard,ABC,II
ABC_056,ABC_056,Standard,ABC,I
ABC_056_v1,ABC_056,Standard,ABC,II
ABC_057,ABC_057,Standard,ABC,I
ABC_057_v1,ABC_057,Standard,ABC,II
ABC_059,ABC_059,Dil,ABC,I
ABC_059_v1,ABC_059,Standard,ABC,II
ABC_060,ABC_060,Dil,ABC,I
ABC_060_v1,ABC_060,Dil,ABC,II
ABC_061,ABC_061,Standard,ABC,I
ABC_061_v1,ABC_061,Standard,ABC,II
ABC_062,ABC_062,Standard,ABC,I
ABC_062_v1,ABC_062,Standard,ABC,II
ABC_063,ABC_063,Dil,ABC,I
ABC_063_v1,ABC_063,Standard,ABC,II
ABC_064,ABC_064,Standard,ABC,I
ABC_064_v1,ABC_064,Standard,ABC,II
ABC_065,ABC_065,Standard,ABC,I
ABC_065_v1,ABC_065,Standard,ABC,II
ABC_066,ABC_066,Standard,ABC,I
ABC_066_v1,ABC_066,Standard,ABC,II
ABC_067,ABC_067,Standard,ABC,I
ABC_067_v1,ABC_067,Standard,ABC,II
ABC_068,ABC_068,Standard,ABC,I
ABC_068_v1,ABC_068,Standard,ABC,II
ABC_069,ABC_069,Standard,ABC,I
ABC_069_v1,ABC_069,Standard,ABC,II
ABC_070,ABC_070,Standard,ABC,I
ABC_070_v1,ABC_070,Standard,ABC,II
ABC_071,ABC_071,Standard,ABC,I
ABC_071_v1,ABC_071,Standard,ABC,II
ABC_072,ABC_072,Dil,ABC,I
ABC_072_v1,ABC_072,Dil,ABC,II
ABC_MOC_B,ABC_MOC_B,Standard,ABC,I
ABC_MOC_B_v1,ABC_MOC_B,Standard,ABC,II
PCR_NEG_1,PCR_NEG_1,Standard,PCR_NEG,I
PCR_NEG_2,PCR_NEG_2,Standard,PCR_NEG,I
PCR_NEG_3,PCR_NEG_3,Standard,PCR_NEG,I
PCR_NEG_4,PCR_NEG_4,Standard,PCR_NEG,I
PCR_NEG_REDO,PCR_NEG_REDO,Standard,PCR_NEG,I
PCR_POS_2,PCR_POS_2,Standard,PCR_POS,I
PCR_POS_3,PCR_POS_3,Standard,PCR_POS,I
PCR_POS_4,PCR_POS_4,Standard,PCR_POS,I
PCR_POS_REDO,PCR_POS_REDO,Standard,PCR_POS,I
