Tree#,Groups,WScore
1,A1_a_T00-A1_a_T00_v1,0.099055
1,A1_a_T00-A1_a_T36,0.301168
1,A1_a_T00_v1-A1_a_T36,0.333415
1,A1_a_T00-A1_a_T36_v1,0.258964
1,A1_a_T00_v1-A1_a_T36_v1,0.293228
1,A1_a_T36-A1_a_T36_v1,0.107142
1,A1_a_T00-A1_c_T00,0.115224
1,A1_a_T00_v1-A1_c_T00,0.132431
1,A1_a_T36-A1_c_T00,0.303502
1,A1_a_T36_v1-A1_c_T00,0.273794
1,A1_a_T00-A1_c_T00_v1,0.126102
1,A1_a_T00_v1-A1_c_T00_v1,0.139562
1,A1_a_T36-A1_c_T00_v1,0.287356
1,A1_a_T36_v1-A1_c_T00_v1,0.280235
1,A1_c_T00-A1_c_T00_v1,0.102095
1,A1_a_T00-A1_c_T36,0.289828
1,A1_a_T00_v1-A1_c_T36,0.324264
1,A1_a_T36-A1_c_T36,0.222885
1,A1_a_T36_v1-A1_c_T36,0.18833
1,A1_c_T00-A1_c_T36,0.295181
1,A1_c_T00_v1-A1_c_T36,0.299598
1,A1_a_T00-A1_c_T36_v1,0.298431
1,A1_a_T00_v1-A1_c_T36_v1,0.329024
1,A1_a_T36-A1_c_T36_v1,0.239627
1,A1_a_T36_v1-A1_c_T36_v1,0.200982
1,A1_c_T00-A1_c_T36_v1,0.307448
1,A1_c_T00_v1-A1_c_T36_v1,0.309746
1,A1_c_T36-A1_c_T36_v1,0.063387
1,A1_a_T00-A1_w_T00,0.129133
1,A1_a_T00_v1-A1_w_T00,0.140725
1,A1_a_T36-A1_w_T00,0.319106
1,A1_a_T36_v1-A1_w_T00,0.292682
1,A1_c_T00-A1_w_T00,0.108657
1,A1_c_T00_v1-A1_w_T00,0.129481
1,A1_c_T36-A1_w_T00,0.327867
1,A1_c_T36_v1-A1_w_T00,0.3386
1,A1_a_T00-A1_w_T00_v1,0.138352
1,A1_a_T00_v1-A1_w_T00_v1,0.162982
1,A1_a_T36-A1_w_T00_v1,0.305328
1,A1_a_T36_v1-A1_w_T00_v1,0.282103
1,A1_c_T00-A1_w_T00_v1,0.132055
1,A1_c_T00_v1-A1_w_T00_v1,0.139134
1,A1_c_T36-A1_w_T00_v1,0.329117
1,A1_c_T36_v1-A1_w_T00_v1,0.33844
1,A1_w_T00-A1_w_T00_v1,0.08736
1,A1_a_T00-A1_w_T36,0.250629
1,A1_a_T00_v1-A1_w_T36,0.280477
1,A1_a_T36-A1_w_T36,0.214831
1,A1_a_T36_v1-A1_w_T36,0.170847
1,A1_c_T00-A1_w_T36,0.270152
1,A1_c_T00_v1-A1_w_T36,0.279579
1,A1_c_T36-A1_w_T36,0.24221
1,A1_c_T36_v1-A1_w_T36,0.245343
1,A1_w_T00-A1_w_T36,0.28407
1,A1_w_T00_v1-A1_w_T36,0.282679
1,A1_a_T00-A1_w_T36_v1,0.291782
1,A1_a_T00_v1-A1_w_T36_v1,0.3151
1,A1_a_T36-A1_w_T36_v1,0.197499
1,A1_a_T36_v1-A1_w_T36_v1,0.174259
1,A1_c_T00-A1_w_T36_v1,0.292504
1,A1_c_T00_v1-A1_w_T36_v1,0.291856
1,A1_c_T36-A1_w_T36_v1,0.250106
1,A1_c_T36_v1-A1_w_T36_v1,0.25079
1,A1_w_T00-A1_w_T36_v1,0.301254
1,A1_w_T00_v1-A1_w_T36_v1,0.294708
1,A1_w_T36-A1_w_T36_v1,0.090949
1,A1_a_T00-A1_x_T00,0.202984
1,A1_a_T00_v1-A1_x_T00,0.169212
1,A1_a_T36-A1_x_T00,0.414251
1,A1_a_T36_v1-A1_x_T00,0.378983
1,A1_c_T00-A1_x_T00,0.204993
1,A1_c_T00_v1-A1_x_T00,0.228369
1,A1_c_T36-A1_x_T00,0.416667
1,A1_c_T36_v1-A1_x_T00,0.416838
1,A1_w_T00-A1_x_T00,0.205117
1,A1_w_T00_v1-A1_x_T00,0.225437
1,A1_w_T36-A1_x_T00,0.379426
1,A1_w_T36_v1-A1_x_T00,0.410017
1,A1_a_T00-A1_x_T00_v1,0.190008
1,A1_a_T00_v1-A1_x_T00_v1,0.158286
1,A1_a_T36-A1_x_T00_v1,0.398143
1,A1_a_T36_v1-A1_x_T00_v1,0.369415
1,A1_c_T00-A1_x_T00_v1,0.184801
1,A1_c_T00_v1-A1_x_T00_v1,0.204765
1,A1_c_T36-A1_x_T00_v1,0.412689
1,A1_c_T36_v1-A1_x_T00_v1,0.412732
1,A1_w_T00-A1_x_T00_v1,0.184408
1,A1_w_T00_v1-A1_x_T00_v1,0.207437
1,A1_w_T36-A1_x_T00_v1,0.371238
1,A1_w_T36_v1-A1_x_T00_v1,0.398158
1,A1_x_T00-A1_x_T00_v1,0.09181
1,A1_a_T00-A1_x_T_48,0.485463
1,A1_a_T00_v1-A1_x_T_48,0.463452
1,A1_a_T36-A1_x_T_48,0.573989
1,A1_a_T36_v1-A1_x_T_48,0.573026
1,A1_c_T00-A1_x_T_48,0.46642
1,A1_c_T00_v1-A1_x_T_48,0.470569
1,A1_c_T36-A1_x_T_48,0.587728
1,A1_c_T36_v1-A1_x_T_48,0.593989
1,A1_w_T00-A1_x_T_48,0.474186
1,A1_w_T00_v1-A1_x_T_48,0.49528
1,A1_w_T36-A1_x_T_48,0.565811
1,A1_w_T36_v1-A1_x_T_48,0.57515
1,A1_x_T00-A1_x_T_48,0.394262
1,A1_x_T00_v1-A1_x_T_48,0.403262
1,A1_a_T00-A1_x_T_48_v1,0.430446
1,A1_a_T00_v1-A1_x_T_48_v1,0.407758
1,A1_a_T36-A1_x_T_48_v1,0.540387
