label,group,nseqs,sobs,chao,chao_lci,chao_hci,shannon,shannon_lci,shannon_hci,shannoneven
0,A1_a_T00,12000,607,735.054348,691.992688,799.933255,4.468353,4.434308,4.502398,0.697251
0,A1_a_T36,12000,413,445.016393,429.910991,473.614391,4.289674,4.258561,4.320787,0.712163
0,A1_c_T00,12000,598,712.767442,672.826494,774.028102,4.476756,4.443227,4.510285,0.700194
0,A1_c_T36,12000,429,468.223881,450.684273,499.950627,4.302418,4.270829,4.334008,0.709799
0,A1_w_T00,12000,604,739.594059,695.359844,805.245406,4.153499,4.116448,4.190549,0.648622
0,A1_w_T36,12000,470,546.232877,516.662718,594.541641,4.163685,4.129808,4.197562,0.676721
0,A1_x_T00,12000,928,1094.118644,1047.825793,1158.296026,4.885034,4.847133,4.922935,0.714915
0,A1_x_T_48,12000,527,610.375,579.122933,660.365301,3.367564,3.318853,3.416275,0.537331
0,A2_a_T00,12000,502,582.101266,551.774674,630.90517,4.098027,4.063055,4.132999,0.658995
0,A2_a_T36,12000,310,346.263158,328.270215,381.975978,3.91359,3.883495,3.943686,0.682218
0,A2_c_T00,12000,522,608.024096,576.195402,658.545628,4.209625,4.175742,4.243507,0.672715
0,A2_c_T36,12000,324,352.826087,338.371866,381.817356,3.851419,3.82045,3.882389,0.66625
0,A2_w_T00,12000,425,465.04,447.516609,496.200845,3.860254,3.825733,3.894775,0.637838
0,A2_w_T36,12000,331,362.571429,346.780601,394.163316,3.897229,3.86635,3.928107,0.671691
0,A2_x_T00,12000,802,986.136646,934.900432,1057.125614,4.364546,4.324692,4.4044,0.652681
0,A2_x_T_48,12000,409,459.696203,438.709434,495.508041,3.007328,2.962016,3.052641,0.500078
0,A3_a_T00,12000,574,667.43038,633.066793,721.785844,4.378612,4.344143,4.413082,0.68926
0,A3_a_T36,12000,322,356.027778,338.81693,390.852618,3.936432,3.905201,3.967662,0.681686
0,A3_c_T00,12000,573,627.059406,605.845227,661.975466,4.470315,4.43565,4.504981,0.703888
0,A3_c_T36,12000,410,465.017857,441.235654,506.907354,4.218812,4.187271,4.250353,0.701247
0,A3_w_T00,12000,580,675.825243,642.518226,726.876803,4.080541,4.042765,4.118317,0.641289
0,A3_w_T36,12000,388,481.396226,444.168473,543.298063,3.811458,3.777331,3.845585,0.639399
0,A3_x_T00,12000,877,1051.496599,1001.449359,1121.670308,4.865774,4.82883,4.902718,0.718036
0,A3_x_T_48,12000,591,676.682692,646.278727,723.809205,3.584083,3.535858,3.632309,0.561609
0,ABC_001,12000,316,343,329.642536,369.435811,3.734957,3.702469,3.767445,0.64891
0,ABC_002,12000,258,295.6,276.324905,335.149651,3.575049,3.543677,3.606421,0.64381
0,ABC_003,12000,295,321.727273,308.055408,349.716566,3.624679,3.592242,3.657116,0.637365
0,ABC_005,12000,319,371.133333,347.487549,414.406049,3.656378,3.622986,3.689769,0.634216
0,ABC_006,12000,350,417.038462,388.672114,466.211783,3.65776,3.623916,3.691605,0.624411
0,ABC_007,12000,289,338.763158,315.326322,383.064485,3.596912,3.564659,3.629165,0.634776
0,ABC_008,12000,329,393.772727,365.324729,444.500001,3.660754,3.62814,3.693367,0.631594
0,ABC_009,12000,284,332.487179,309.659012,375.624983,3.542885,3.511288,3.574482,0.627173
0,ABC_010,12000,228,261,243.736221,297.203401,3.201205,3.16939,3.23302,0.589612
0,ABC_011,12000,223,233.483871,226.918948,251.046188,3.44842,3.418465,3.478375,0.637749
0,ABC_012,12000,357,423.72549,395.3655,473.049341,3.777605,3.743941,3.811268,0.642697
0,ABC_013,12000,300,339.790698,320.741778,376.333841,3.64317,3.611374,3.674965,0.638729
0,ABC_014,12000,250,278.488372,264.031534,307.840242,3.300827,3.269392,3.332262,0.597818
0,ABC_015,12000,202,235.681818,217.224739,276.51457,3.238834,3.208224,3.269443,0.610149
0,ABC_016,12000,293,330.243243,311.766443,366.911672,3.67159,3.640244,3.702936,0.646387
0,ABC_017,12000,308,368.638298,342.040778,416.017601,3.572997,3.540747,3.605247,0.623549
0,ABC_018,12000,286,344.65,318.000867,393.491542,3.482262,3.450947,3.513578,0.615677
0,ABC_055,12000,139,167,146.292306,246.51057,3.732316,3.706546,3.758085,0.756376
0,ABC_055_v1,12000,208,213.454545,209.576057,226.877528,3.556573,3.524314,3.588832,0.666332
0,ABC_056,12000,250,270.517241,258.890001,297.351758,3.501106,3.467152,3.53506,0.634091
0,ABC_057,12000,312,340.488372,326.031534,369.840242,3.884926,3.853354,3.916498,0.676463
0,ABC_059,12000,163,167.230769,164.008149,180.754723,3.42506,3.39469,3.45543,0.672404
0,ABC_059_v1,12000,94,94,94,0,2.915997,2.883796,2.948198,0.641824
0,ABC_060,12000,266,315.043478,289.727375,367.37079,3.456196,3.421033,3.491359,0.619002
0,ABC_061,12000,305,341.029412,322.81009,377.886689,3.99047,3.961058,4.019883,0.697597
0,ABC_062,12000,313,372.166667,345.561885,420.50896,3.980704,3.952575,4.008833,0.692754
0,ABC_063,12000,272,308.12,288.925586,349.081786,3.838886,3.807914,3.869857,0.684806
0,ABC_064,12000,171,183.157895,175.31224,205.277869,2.947466,2.91498,2.979951,0.573251
0,ABC_065,12000,216,241.833333,226.692145,278.41602,2.916491,2.877064,2.955917,0.542575
0,ABC_066,12000,202,207.913043,203.768982,221.765092,3.627176,3.59606,3.658291,0.683307
0,ABC_067,12000,272,288.578947,279.176089,310.302412,3.752285,3.720635,3.783934,0.669357
0,ABC_068,12000,313,339.756757,325.72636,369.255209,3.97,3.939241,4.000759,0.690891
0,ABC_069,12000,278,289.277778,282.405652,306.869343,3.744671,3.711575,3.777766,0.665409
0,ABC_070,12000,277,302.869565,288.247713,336.499598,4.164786,4.137616,4.191957,0.740536
0,ABC_071,12000,221,238.272727,226.893274,271.625021,3.825635,3.796804,3.854466,0.708692
0,ABC_072,12000,170,187.1,175.687443,221.413259,3.488036,3.460214,3.515857,0.679161
0,ABC_MOC_B,12000,353,454.333333,413.083752,523.902184,3.691035,3.658684,3.723385,0.629175
0,BACKREEF_T_48,12000,374,485.978261,441.301484,560.312844,3.508769,3.469284,3.548253,0.592272
0,BAKER_OS,12000,214,217,214.697063,226.911312,3.390999,3.359532,3.422466,0.631945
