OTU,ESV
Otu00001,esv_1
Otu00002,esv_2
Otu00003,esv_3
Otu00004,esv_4
Otu00005,esv_5
Otu00006,esv_6
Otu00007,esv_7
Otu00008,esv_8
Otu00009,esv_9
Otu00010,esv_10
Otu00011,esv_11
Otu00012,esv_12
Otu00013,esv_13
Otu00014,esv_14
Otu00015,esv_15
Otu00016,esv_16
Otu00017,esv_17
Otu00018,esv_18
Otu00019,esv_19
Otu00020,esv_20
Otu00021,esv_21
Otu00022,esv_22
Otu00023,esv_23
Otu00024,esv_24
Otu00025,esv_25
Otu00026,esv_26
Otu00027,esv_27
Otu00028,esv_28
Otu00029,esv_29
Otu00030,esv_30
Otu00031,esv_31
Otu00032,esv_32
Otu00033,esv_33
Otu00034,esv_34
Otu00035,esv_35
Otu00036,esv_36
Otu00037,esv_37
Otu00038,esv_38
Otu00039,esv_39
Otu00040,esv_40
Otu00041,esv_41
Otu00042,esv_42
Otu00043,esv_43
Otu00044,esv_44
Otu00045,esv_45
Otu00046,esv_46
Otu00047,esv_47
Otu00048,esv_48
Otu00049,esv_49
Otu00050,esv_50
Otu00051,esv_51
Otu00052,esv_52
Otu00053,esv_53
Otu00054,esv_54
Otu00055,esv_55
Otu00056,esv_56
Otu00057,esv_57
Otu00058,esv_58
Otu00059,esv_59
Otu00060,esv_60
Otu00061,esv_61
Otu00062,esv_62
Otu00063,esv_63
Otu00064,esv_64
Otu00065,esv_65
Otu00066,esv_66
Otu00067,esv_67
Otu00068,esv_68
Otu00069,esv_69
Otu00070,esv_70
Otu00071,esv_71
Otu00072,esv_72
Otu00073,esv_73
Otu00074,esv_74
Otu00075,esv_75
Otu00076,esv_76
Otu00077,esv_77
Otu00078,esv_78
Otu00079,esv_79
Otu00080,esv_80
Otu00081,esv_81
Otu00082,esv_82
Otu00083,esv_83
Otu00084,esv_84
Otu00085,esv_85
Otu00086,esv_86
Otu00087,esv_87
Otu00088,esv_88
Otu00089,esv_89
Otu00090,esv_90
Otu00092,esv_92
Otu00093,esv_93
Otu00094,esv_94
Otu00095,esv_95
Otu00096,esv_96
Otu00097,esv_97
Otu00098,esv_98
Otu00099,esv_99
Otu00100,esv_100
Otu00101,esv_101
Otu00102,esv_102
Otu00103,esv_103
Otu00104,esv_104
Otu00105,esv_105
Otu00106,esv_106
Otu00107,esv_107
Otu00108,esv_108
Otu00109,esv_109
Otu00110,esv_110
Otu00111,esv_111
Otu00112,esv_112
Otu00113,esv_113
Otu00114,esv_114
Otu00115,esv_115
Otu00116,esv_116
Otu00117,esv_117
Otu00118,esv_118
Otu00119,esv_119
Otu00120,esv_120
Otu00121,esv_121
Otu00122,esv_122
Otu00123,esv_123
Otu00124,esv_124
Otu00125,esv_125
Otu00126,esv_126
Otu00127,esv_127
Otu00128,esv_128
Otu00129,esv_129
Otu00130,esv_130
Otu00131,esv_131
Otu00133,esv_133
Otu00134,esv_134
Otu00135,esv_135
Otu00136,esv_136
Otu00137,esv_137
Otu00138,esv_138
Otu00139,esv_139
Otu00140,esv_140
Otu00141,esv_141
Otu00142,esv_142
Otu00143,esv_143
Otu00144,esv_144
Otu00145,esv_145
Otu00146,esv_146
Otu00147,esv_147
Otu00148,esv_148
Otu00149,esv_149
Otu00150,esv_150
Otu00151,esv_151
Otu00152,esv_152
Otu00153,esv_154
Otu00154,esv_153
Otu00155,esv_155
Otu00156,esv_156
Otu00157,esv_157
Otu00158,esv_158
Otu00159,esv_159
Otu00160,esv_160
Otu00161,esv_161
Otu00162,esv_162
Otu00163,esv_163
Otu00164,esv_164
Otu00165,esv_165
Otu00166,esv_166
Otu00167,esv_167
Otu00168,esv_168
Otu00169,esv_169
Otu00170,esv_170
Otu00171,esv_171
Otu00172,esv_172
Otu00173,esv_173
Otu00174,esv_174
Otu00175,esv_175
Otu00176,esv_176
Otu00177,esv_177
Otu00178,esv_179
Otu00179,esv_180
Otu00180,esv_181
Otu00181,esv_182
Otu00182,esv_183
Otu00183,esv_184
Otu00184,esv_185
Otu00185,esv_186
Otu00186,esv_187
Otu00187,esv_188
Otu00188,esv_189
Otu00189,esv_190
Otu00190,esv_191
Otu00191,esv_192
Otu00192,esv_193
Otu00193,esv_194
Otu00194,esv_195
Otu00195,esv_196
Otu00196,esv_197
Otu00198,esv_199
Otu00199,esv_200
Otu00200,esv_201
Otu00201,esv_202
Otu00202,esv_203
Otu00203,esv_204
Otu00204,esv_206
Otu00205,esv_207
Otu00206,esv_208
Otu00208,esv_210
Otu00209,esv_211
Otu00211,esv_213
