,0-RawData,1-FilterAndTrim,2-ErrorModel,3.1-Dereplication,3.2-Denoising,4-ESV,5-MultipleSequenceAlignment,6-ChimeraRemoval,7-PreClassification,8-Clustering_100,9-TaxaFilter_100,10-MultipletonsFilter_100,10-MultipletonsFilter_100,11-Subsampling_100,12-Lulu_100
A1_a_T00,114736,107109,107109,107109 (43986 uniques),102740 (1111 uniques),95508 (977 uniques),95420 (912 uniques),92233 (828 uniques),92233 (828 uniques),92233 (828 uniques),91762 (802 uniques),91742 (792 uniques),91742,12000 (664 uniques),12000 (607 uniques)
A1_a_T36,106198,97842,97842,97842 (40235 uniques),94510 (822 uniques),87704 (802 uniques),87621 (739 uniques),83376 (628 uniques),83376 (628 uniques),83376 (628 uniques),80719 (569 uniques),80702 (560 uniques),80702,12000 (479 uniques),12000 (413 uniques)
A1_c_T00,116289,106182,106182,106182 (44413 uniques),101717 (1058 uniques),94519 (935 uniques),94474 (880 uniques),91926 (817 uniques),91926 (817 uniques),91926 (817 uniques),91528 (790 uniques),91499 (775 uniques),91499,12000 (646 uniques),12000 (598 uniques)
A1_c_T36,123839,114162,114162,114162 (46125 uniques),110821 (883 uniques),102741 (874 uniques),102649 (797 uniques),97077 (684 uniques),97077 (684 uniques),97077 (684 uniques),92626 (618 uniques),92608 (609 uniques),92608,12000 (502 uniques),12000 (429 uniques)
A1_w_T00,168943,144930,144930,144930 (59066 uniques),139679 (1262 uniques),128751 (1142 uniques),128675 (1074 uniques),122185 (936 uniques),122185 (936 uniques),122185 (936 uniques),121577 (899 uniques),121533 (877 uniques),121533,12000 (677 uniques),12000 (604 uniques)
A1_w_T36,156302,145294,145294,145294 (56015 uniques),141040 (1059 uniques),131492 (1031 uniques),131405 (941 uniques),124267 (783 uniques),124267 (783 uniques),124267 (783 uniques),120112 (703 uniques),120086 (688 uniques),120086,12000 (545 uniques),12000 (470 uniques)
A1_x_T00,171917,160321,160321,160321 (69939 uniques),153378 (1852 uniques),140652 (1669 uniques),140473 (1546 uniques),136048 (1429 uniques),136048 (1429 uniques),136048 (1429 uniques),134615 (1363 uniques),134561 (1335 uniques),134561,12000 (1023 uniques),12000 (928 uniques)
A1_x_T_48,109258,101029,101029,101029 (36643 uniques),97029 (923 uniques),90110 (849 uniques),90076 (776 uniques),88488 (739 uniques),88488 (739 uniques),88488 (739 uniques),88135 (709 uniques),88104 (692 uniques),88104,12000 (589 uniques),12000 (527 uniques)
A2_a_T00,119298,111076,111076,111076 (44414 uniques),107020 (965 uniques),99933 (864 uniques),99876 (801 uniques),96253 (724 uniques),96253 (724 uniques),96253 (724 uniques),95779 (697 uniques),95759 (687 uniques),95759,12000 (555 uniques),12000 (502 uniques)
A2_a_T36,97251,90013,90013,90013 (32794 uniques),87379 (616 uniques),82880 (591 uniques),82848 (548 uniques),79771 (473 uniques),79771 (473 uniques),79771 (473 uniques),77618 (421 uniques),77606 (415 uniques),77606,12000 (346 uniques),12000 (310 uniques)
