ID1,ID2,EdgeType,Score,Annotation
3,574,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
6,6076,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
7,787,MS1 annotation,3.000,[2M+H]+ [M+H]+ dm/z=191.1310
7,909,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
8,5058,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0375
9,722,MS1 annotation,3.000,[M-H2O+H]+ [M+H]+ dm/z=18.0106
9,7317,MS1 annotation,3.000,[2M+Na]+ [M+H]+ dm/z=248.1501
18,766,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
18,548,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0271
21,271,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
21,435,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
27,472,MS1 annotation,5.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0478
27,444,MS1 annotation,5.000,[M+H]+ [M+NH4]+ dm/z=17.0266
27,494,MS1 annotation,5.000,[M-H2O+NH4]+ [M+NH4]+ dm/z=18.0106
27,401,MS1 annotation,5.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
30,684,MS1 annotation,4.000,[M+K]+ [M+NH4]+ dm/z=20.9293
30,122,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
30,365,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0266
30,3204,MS1 annotation,2.000,[M+H]+ [2M+NH4]+ dm/z=217.1318
32,239,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0268
34,462,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
36,2803,MS1 annotation,5.000,[M+2H]2+ [M+H]+ dm/z=226.1682
36,763,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9819
36,10474,MS1 annotation,5.000,[M-H2O+H]+ [M+H]+ dm/z=18.0112
36,507,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0266
40,1972,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
40,659,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
43,343,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
45,78,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0267
45,777,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
49,1693,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
49,1403,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
60,3552,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
60,2301,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
71,222,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
72,1853,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
74,256,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
74,593,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9825
76,2069,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
76,1588,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0264
78,777,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9826
