"","PLANC_aquaria_name","X","Bottle","Treatment","T24_Concentration","T0_Concentration","T24_Cells","T0_Cells","lnT24_Cells","lnT0_Cells","Specific.Growth.Rate"
"1","PB1_T7H",NA,1,"Bleached
+
Thermal Stress",2199.37,167.29,2199370,167290,14.60368151,12.02748411,0.107341558
"2","PB2_T7H",NA,2,"Bleached
+
Thermal Stress",2129.42,163.1,2129420,163100,14.5713602,12.00211879,0.107051725
"3","PB3_T7H",NA,3,"Bleached
+
Thermal Stress",2116.62,174.86,2116620,174860,14.56533103,12.07174093,0.103899588
"4","HE2_T7H",NA,5,"Thermal Stress",3950.33,332.55,3950330,332550,15.18930968,12.7145455,0.103115174
"5","HE3_T7H",NA,6,"Thermal Stress",2369.8,159.96,2369800,159960,14.67831612,11.98267906,0.112318211
"6","",NA,7,"HotWaterControl",736.49,125.59,736490,125590,13.50965094,11.74077791,0.073703043
"7","",NA,8,"HotWaterControl",733.22,119.71,733220,119710,13.50520107,11.69282743,0.075515568
"8","",NA,9,"HotWaterControl",611.88,134.71,611880,134710,13.32429146,11.8108796,0.063058828
"9","BL1_T7C",NA,10,"Bleached",1276.04,118.98,1276040,118980,14.05927209,11.68671069,0.098856725
"10","BL2_T7C",NA,11,"Bleached",1508.14,140.94,1508140,140940,14.22638766,11.85608955,0.098762421
"11","BL3_T7C",NA,12,"Bleached",2533.58,174.02,2533580,174020,14.74514388,12.06692551,0.111592432
"12","HE1_T7C",NA,13,"Control",1827.12,148.72,1827120,148720,14.41825151,11.90982062,0.104517954
"13","HE2_T7C",NA,14,"Control",1367.45,145.06,1367450,145060,14.12845825,11.88490273,0.09348148
"14","HE3_T7C",NA,15,"Control",1491.38,207.84,1491380,207840,14.21521242,12.24452383,0.082112025
"15","",NA,16,"Water Control",922.16,131.18,922160,131180,13.73447402,11.7843257,0.08125618
"16","",NA,17,"Water Control",894.52,129.94,894520,129940,13.70404254,11.77482808,0.080383936
"17","",NA,18,"Water Control",1802.28,139.06,1802280,139060,14.40456309,11.84266077,0.10674593
