Sample Name,Temp,Bleaching_Status,Stress_status,Treatment,Sample_Type,Timepoint_char,Timepoint,Bottle_NR,Notes,PLANC_aquaria,Experiment
ABC_001,Hot,Bleached,Thermal Stress,Bleached + Heated,Sterivex,T0,0,1,,PB1_T7H,
ABC_002,Hot,Bleached,Thermal Stress,Bleached + Heated,Sterivex,T0,0,2,,PB2_T7H,
ABC_003,Hot,Bleached,Thermal Stress,Bleached + Heated,Sterivex,T0,0,3,,PB3_T7H,
ABC_004,Hot,Non Bleached,Thermal Stress,Heated,Sterivex,T0,0,4,Not taken,HE1_T7H,ABCDOM
ABC_005,Hot,Non Bleached,Thermal Stress,Heated,Sterivex,T0,0,5,,HE2_T7H,ABCDOM
ABC_006,Hot,Non Bleached,Thermal Stress,Heated,Sterivex,T0,0,6,,HE3_T7H,ABCDOM
ABC_007,Hot,NA,Thermal Stress,Negative Control + Heated,Sterivex,T0,0,7,,,ABCDOM
ABC_008,Hot,NA,Thermal Stress,Negative Control + Heated,Sterivex,T0,0,8,,,ABCDOM
ABC_009,Hot,NA,Thermal Stress,Negative Control + Heated,Sterivex,T0,0,9,,,ABCDOM
ABC_010,Ambient,Bleached,Ambient,Bleached,Sterivex,T0,0,10,,BL1_T7C,ABCDOM
ABC_011,Ambient,Bleached,Ambient,Bleached,Sterivex,T0,0,11,,BL2_T7C,ABCDOM
ABC_012,Ambient,Bleached,Ambient,Bleached,Sterivex,T0,0,12,,BL3_T7C,ABCDOM
ABC_013,Ambient,Non Bleached,Ambient,Control,Sterivex,T0,0,13,,HE1_T7C,ABCDOM
ABC_014,Ambient,Non Bleached,Ambient,Control,Sterivex,T0,0,14,,HE2_T7C,ABCDOM
ABC_015,Ambient,Non Bleached,Ambient,Control,Sterivex,T0,0,15,,HE3_T7C,ABCDOM
ABC_016,Ambient,NA,Ambient,Negative Control,Sterivex,T0,0,16,,,ABCDOM
ABC_017,Ambient,NA,Ambient,Negative Control,Sterivex,T0,0,17,,,ABCDOM
ABC_018,Ambient,NA,Ambient,Negative Control,Sterivex,T0,0,18,,,ABCDOM
ABC_019,Hot,Bleached,Thermal Stress,Bleached + Heated,PPL,T0,0,1,,PB1_T7H,ABCDOM
ABC_020,Hot,Bleached,Thermal Stress,Bleached + Heated,PPL,T0,0,2,,PB2_T7H,ABCDOM
ABC_021,Hot,Bleached,Thermal Stress,Bleached + Heated,PPL,T0,0,3,,PB3_T7H,ABCDOM
ABC_022,Hot,Non Bleached,Thermal Stress,Heated,PPL,T0,0,4,Not taken,HE1_T7H,ABCDOM
