Code,Length,Width,Height,Shape,Vol,SA,Notes,Aquaria,Timepoint_Heat,Genotype,Timepoint,Heat,Aquaria_Timepoint_Heat,Outlier,Outlier1,Collection_Bleaching_Level,Collection_Bleaching_Level1
PC_BL1_T0C_A,,0.8,1.9,cylinder,11,11.56106097,,BL1,T0C,A,T0,C,BL1_T0C,,,BL,BL
PC_BL1_T0C_B,,0.9,2.5,cylinder,10,16.68185699,epiphytic algae. maybe,BL1,T0C,B,T0,C,BL1_T0C,,,BL,BL
PC_BL1_T0C_C,,1.4,1.8,cylinder,10,21.99114858,,BL1,T0C,C,T0,C,BL1_T0C,,,BL,BL
PC_BL1_T0C_D,1,2.2,2.4,box,10.5,17.56,one tip overgrown with algae — avoided,BL1,T0C,D,T0,C,BL1_T0C,,,BL,BL
PC_BL1_T0C_E,1,1.4,1.5,BOX,10,8.6,,BL1,T0C,E,T0,C,BL1_T0C,,,BL,BL
PC_BL1_T0C_F,,1.1,1.2,cylinder,15,12.09513172,,BL1,T0C,F,T0,C,BL1_T0C,,,BL,BL
PC_BL1_T7C_A,,0.7,3.1,cylinder,10,15.17389252,"dead, epiphytic algae",BL1,T7C,A,T7,C,BL1_T7C,Y,,BL,BL
PC_BL1_T7C_B,,0.9,5.1,cylinder,10,31.38451061,epiphytic algae. Some,BL1,T7C,B,T7,C,BL1_T7C,,,BL,BL
PC_BL1_T7C_C,,1.6,3.6,dome,12,19.80230356,,BL1,T7C,C,T7,C,BL1_T7C,,,BL,BL
PC_BL1_T7C_D,0.9,1.8,2,box-y triangle,10,3.604086692,,BL1,T7C,D,T7,C,BL1_T7C,,,BL,BL
PC_BL1_T7C_E,1.2,1.4,1.8,box,11,11.04,,BL1,T7C,E,T7,C,BL1_T7C,,,BL,BL
PC_BL1_T7C_F,,1.4,1.7,dome,14,9.686096192,,BL1,T7C,F,T7,C,BL1_T7C,,,BL,BL
PC_BL1_T7H_A,,1,2.7,cylinder,10,20.10619298,,BL1,T7H,A,T7,H,BL1_T7H,,,BL,BL
PC_BL1_T7H_B,,1,3,cylinder,10,21.99114858,"dead, epiphytic algae",BL1,T7H,B,T7,H,BL1_T7H,,,BL,BL
PC_BL1_T7H_C,,1.2,2.7,cylinder,10,24.88141382,,BL1,T7H,C,T7,H,BL1_T7H,,,BL,BL
PC_BL1_T7H_D,1.5,2.2,2.8,box,10,24.02,,BL1,T7H,D,T7,H,BL1_T7H,,,BL,BL
PC_BL1_T7H_E,1.8,1.6,0.8,box,10,8.32,lost most of blastate,BL1,T7H,E,T7,H,BL1_T7H,Y,Y,BL,BL
PC_BL1_T7H_F,1,1.2,3.2,box,10,15.28,,BL1,T7H,F,T7,H,BL1_T7H,,,BL,BL
PC_BL2_T0C_A,,1,1.4,cylinder,10,11.93805208,epiphytic algae. Some,BL2,T0C,A,T0,C,BL2_T0C,Y,,BL,BL
PC_BL2_T0C_B,,1.1,3.1,cylinder,10,25.22698901,,BL2,T0C,B,T0,C,BL2_T0C,,,BL,BL
PC_BL2_T0C_C,1.2,2.6,2.5,box-y triangle,10.5,7.683551249,,BL2,T0C,C,T0,C,BL2_T0C,,,BL,BL
