row ID,row m/z,row retention time,row identity (main ID),row identity (all IDs),row identity (main ID + details),row comment,row number of detected peaks,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Mo_2019_542.mzML Peak area,Mo_2019_343.mzML Peak area,Mo_2019_339.mzML Peak area,Mo_2019_342.mzML Peak area,Mo_2019_338.mzML Peak area,Mo_2019_349.mzML Peak area,Mo_2019_348.mzML Peak area,Mo_2019_346.mzML Peak area,Mo_2019_344.mzML Peak area,Mo_2019_345.mzML Peak area,Mo_2019_347.mzML Peak area,Mo_2019_337.mzML Peak area,Mo_2019_325.mzML Peak area,Mo_2019_328.mzML Peak area,Mo_2019_334.mzML Peak area,Mo_2019_341.mzML Peak area,Mo_2019_332.mzML Peak area,Mo_2019_327.mzML Peak area,Mo_2019_333.mzML Peak area,Mo_2019_335.mzML Peak area,Mo_2019_340.mzML Peak area,Mo_2019_329.mzML Peak area,Mo_2019_331.mzML Peak area,Mo_2019_324.mzML Peak area,Mo_2019_336.mzML Peak area,Mo_2019_321.mzML Peak area,Mo_2019_330.mzML Peak area,Mo_2019_326.mzML Peak area,Mo_2019_320.mzML Peak area,Mo_2019_322.mzML Peak area,Mo_2019_543.mzML Peak area,Mo_2019_351.mzML Peak area,Mo_2019_323.mzML Peak area,Mo_2019_350.mzML Peak area,Mo_2019_352.mzML Peak area,Mo_2019_353.mzML Peak area,
1,247.16662809583875,13.072058861111111,,,,,36,,,,,,,,4.0164633111254704E8,2.022428619509993E8,2.02092236632141E8,1.3910841796868107E8,1.1502737023759532E8,1.582631752308931E8,1.5731805746146086E8,2.0433352698209006E8,1.8675130232614043E8,1.7586543386869407E8,2.7182899317529416E8,9.970018900321227E7,2.2093319179270554E8,1.4743510091286793E8,2.244922270751349E8,1.8300481649943545E8,2.1010985528108406E8,2.0530835032218957E8,1.9889846829045773E8,1.8106831312142798E8,1.8654948577408856E8,2.133147811860593E8,1.4312501857658952E8,1.8221600257719204E8,2.259277528395874E8,8.670471867708659E7,2.0980860282085806E8,2.4943933401105052E8,1.5136798992373922E8,2.4801411281112042E8,2.771264764886078E8,7.742504380006528E7,1.4403611882914928E8,1.631366311468679E8,2.5470905227480277E8,1.9194254586232665E8,
2,570.4209376743862,10.661644685714286,,,,,35,,,,,,,,2.0938913176699588E8,1.601560711774281E8,1.0455420922696829E8,1.4599347923513067E8,1.0138552798442009E8,9.219593088052525E7,1.3183085661765282E8,1.15386243465986E8,0,7.749471456963725E7,9.107231209664354E7,8.58498338967742E7,1.0125938357560605E8,1.0730625960047759E8,8.796801190861823E7,1.4238979265763944E8,5.110668458157269E7,9.500523933113307E7,9.677956861298883E7,1.2002347898915914E8,1.1089268168412162E8,9.035118460065648E7,7.777386536157945E7,1.0120259900842685E8,8.554399271879815E7,1.1424433039717382E8,1.4370432176727578E8,1.613782301613319E8,1.7111694760538486E8,1.0868821319290105E8,1.1243139373483106E8,1.722542851712404E8,1.3069295515700284E8,1.1204589186471786E8,1.0342523019702946E8,1.3896798746211714E8,
3,614.4472851223416,10.645664194444443,,,,,36,,,,,,,,2.0319149274126256E8,1.5497993559741023E8,1.1561210355718872E8,1.3817176858220926E8,9.847669164099717E7,1.0921991761362343E8,1.075812946898525E8,1.1494465581206521E8,1.1534522562819615E8,7.984954015610333E7,1.0629973827780274E8,9.443719341494891E7,9.429804049811848E7,1.0309850657844937E8,9.203434133447099E7,1.423130559307695E8,7.134771384905565E7,9.33914971908769E7,1.1319450988458866E8,9.761386775518404E7,1.1651147220199794E8,8.304915592275304E7,7.723941070085105E7,9.420614302117792E7,9.353827181837901E7,9.651708472489102E7,1.2000270177299055E8,1.6619512303091043E8,1.5042924367366502E8,1.0266458485452881E8,1.248359630662039E8,1.6796047910779834E8,1.3159925520650457E8,1.1783517498349957E8,1.0214021304799224E8,1.8467524784226346E8,
4,526.3947152031792,10.678474277777775,,,,,36,,,,,,,,1.484818256929936E8,1.1826871551312278E8,8.53101315493319E7,1.2041436050993374E8,8.121049765373948E7,7.218972068627696E7,1.0632922551420574E8,9.981685744465055E7,8.254892967538244E7,6.3368208663783886E7,8.081165172633655E7,5.8506089151036344E7,7.524084393828094E7,7.024949093939622E7,7.648593903339668E7,9.400427681495026E7,4.956043591210501E7,7.445234543624027E7,6.539084593642879E7,9.313216062238276E7,7.62523497374258E7,7.033811174061899E7,6.0807818605595455E7,7.954145291572674E7,8.155662026594369E7,8.328158238868822E7,1.1892316101979457E8,1.529666143618995E8,1.2617048461728403E8,8.645091418327694E7,1.14556012324785E8,1.3918253062475428E8,9.412952297140738E7,9.419563141391693E7,8.088019024223712E7,1.2950277674198022E8,
5,338.3417735629612,12.423441138888888,,,,,36,,,,,,,,3.0220291041877556E8,5.550139161790876E8,7.616062941162654E8,5.824528554943465E8,5.47580251544437E8,3.4801986074305415E8,8.813261105210712E8,6.039990826766266E8,3.503873834283082E8,7.203945450162122E8,9.5075191483266E8,6.61941772532088E8,7.599717382110971E8,8.083158839745659E8,2.524680733124693E8,8.296093556138874E8,1.0660238768058491E9,2.9010858104713655E8,8.172474500445309E8,3.723874248588045E8,6.311650204781713E8,2.891932730706089E8,5.0779604020845413E8,3.2092143303009987E8,5.78098559701815E8,4.6658457038998234E8,4.5922726344252855E8,4.0209039275275093E8,7.942421444647288E8,6.008896849125366E8,1.5762716237068406E8,4.07032542208055E8,5.1832637911843425E8,5.814277046833222E8,5.752656189533206E8,4.7273986412585586E8,
6,658.4736370510525,10.629616611111109,,,,,36,,,,,,,,1.5000609148036832E8,1.2910273077183972E8,8.731648875666524E7,1.1467788198967154E8,7.029845005768421E7,8.928452745780505E7,8.806136106538785E7,9.905699648175177E7,9.237682620581064E7,6.6762267029608965E7,9.066724678871764E7,6.282891789619462E7,7.117703036199972E7,7.316725810557666E7,7.065340273650415E7,9.942806380052681E7,5.3473612755124316E7,8.893193644030303E7,9.100611668288732E7,9.320003465882432E7,9.126827201165128E7,7.555144958669893E7,4.97701362961382E7,6.1358784671351716E7,8.487495836819945E7,6.603691762323211E7,1.0186742443830141E8,1.1584175836711967E8,1.104842948026902E8,7.025395836359255E7,9.097070788983937E7,1.2235406833789963E8,1.0693563263073306E8,9.095474359111123E7,8.23320701815829E7,1.1445491121850221E8,
8,702.4998864067925,10.614420000000003,,,,,36,,,,,,,,8.202975221742779E7,7.76953615472994E7,4.133602370504473E7,6.097695765383989E7,5.473087510590899E7,5.133653017790565E7,4.9378123194227524E7,6.653010520061416E7,4.8145245906583205E7,4.286929564714303E7,5.646839330420392E7,4.7058845228251256E7,3.818360150166779E7,4.281078227232905E7,4.0035028304801986E7,5.885366829823542E7,3.4509688487643585E7,5.272049832634943E7,4.525613775499071E7,5.299123674859508E7,5.68143450291521E7,4.668809316308125E7,2.7977628163661726E7,3.607746909739778E7,5.143309354930873E7,3.871546458743709E7,6.575500229272601E7,6.878265674011812E7,5.4644744350432396E7,4.202235586768285E7,5.811571881190367E7,6.053323045285327E7,6.128422033658086E7,4.0457885193340644E7,4.5235541862020805E7,7.338412260423777E7,
9,554.1762262980143,11.255989500000002,,,,,36,,,,,,,,9.308569968970644E7,2.3071606466279396E8,1.8197255147695747E8,2.6567732215333584E8,2.769271529157023E8,3.519239897860135E8,6.204914643408673E8,3.1866324807491636E8,1.759056911911309E8,1.8123725068061364E8,3.018907477367166E8,2.9033226402557087E8,1.4918087309217283E8,1.3449320801706E8,6.934660979152045E7,2.6205406451297253E8,5.046960012100912E7,1.809705644736165E8,9.800203647160193E7,2.503387159733326E8,3.3105569282330406E8,1.0294060397320424E8,6.974691696317244E7,1.2345841567952298E8,1.0789287519397476E8,7.191898501656188E7,1.8074217492875776E8,2.913256957633231E8,7.069706459855184E7,6.255889136552339E7,1.5084544280875862E8,1.2267852207028359E8,7.733500365789033E7,3.8347834875432795E8,1.0493168494601206E8,2.0106298071899736E8,
11,482.36868879530164,10.692871055555557,,,,,36,,,,,,,,7.028134035743861E7,6.111710621626126E7,4.208807854749341E7,6.076399343515268E7,4.0042311702450275E7,4.4638926379783325E7,5.286832026983952E7,4.73111975882458E7,4.838341894012205E7,3.233307332361211E7,4.5144688194150575E7,3.15297469462792E7,4.02911091671266E7,3.2946678490538593E7,4.407080179180681E7,4.9760435743936285E7,1.9762890482807703E7,3.613153786104905E7,3.627826815887892E7,4.762919711017428E7,3.1358906801414013E7,4.042405715304666E7,2.897721427612772E7,4.3659507313658215E7,4.441543557723943E7,4.558190414832063E7,3.595163543632501E7,7.529032813589272E7,6.6048527372182384E7,5.0392573615155876E7,7.423270085323007E7,6.687897706437253E7,4.9473658318474926E7,4.606345168854564E7,4.8594274770998284E7,6.607300467890204E7,
12,192.13821642326587,7.926829681818183,,,,,33,,,,,,,,1.6151430623514795E8,2.051830923870474E10,1.5134871262044327E10,2.098241907563309E10,1.5084400518854868E10,1.6582476520753551E10,1.8250328305361244E10,1.735375524038794E10,2.0918522729989227E10,0,1.743574450396718E10,1.730363266000715E10,2.250926670108254E10,1.881905417614061E10,1.5474652345343483E10,1.8562534569042576E10,1.5726763319894167E10,2.1416252701664642E10,1.5832257117994114E10,2.7481243129341286E10,2.0409946476560192E10,1.9035196498460308E10,1.7430625611309036E10,1.8894842061888454E10,2.9443769478935467E10,1.6513110586934715E10,2.0218660077996235E10,2.506623322482434E10,1.9115002857755432E10,1.827154351141888E10,2.7487861209108166E10,0,2.1360116152101696E10,1.6288380820978514E10,3.059091824382026E10,0,
