Tube Name:,Plate,Well,Sample ID:,All Events ,include Events,Sym-FSC Events,Sym-SSC Events,All Events  Events/μL(V),include Events/μL(V),Sym-FSC Events/μL(V),Sym-SSC Events/μL(V),Notes,Run Volume,Run Speed (uL/min),Run Time (seconds),starting time gate (seconds),run time for data collection (seconds),volume for data collection (uL),events/event*ul-1,include events/events*uL-1,symFSC events/symFSC events*uL-1,Sym-FSC Events/μL(V)_corrected,Sym-FSC Events/μL(V),symFSC_diff_percentage,Sym-SSC Events/μL(V)_corrected,Sym-SSC Events/μL(V),symSSC_diff_percentage
01-Well-H8,1,H8,,477555,76114,169,146,26057.26,17236.83,9.22,7.97,,150,30,300,10,290,145,18.327138,4.415777147,18.329718,1.165517241,9.22,0.126411848,1.006896552,7.97,7.915410959
01-Well-H8(1),1,H8(1),,345426,201295,8202,7452,1972.83,3184.09,46.84,42.56,,150,30,300,10,290,145,175.0916197,63.21900449,175.1067464,56.56551724,46.84,1.207632734,51.39310345,42.56,0.828126677
02-Well-A1,2,A1,,3369,1409,251,206,22.46,20.82,1.67,1.37,,150,30,300,10,290,145,150,67.6753122,150.2994012,1.731034483,1.67,1.036547594,1.420689655,1.37,0.964320388
02-Well-A2,2,A2,,13698,6394,2424,1937,91.32,94.5,16.16,12.91,,150,30,300,10,290,145,150,67.66137566,150,16.71724138,16.16,1.034482759,13.35862069,12.91,0.96641714
02-Well-A3,2,A3,,19345,9097,631,582,128.95,134.45,4.21,3.88,,150,30,300,10,290,145,150.0193874,67.66084046,149.8812352,4.351724138,4.21,1.033663691,4.013793103,3.88,0.966666667
02-Well-A4,2,A4,,65006,30616,3181,2423,433.28,452.49,21.2,16.15,,150,30,300,10,290,145,150.0323117,67.66116378,150.0471698,21.93793103,21.2,1.034808068,16.71034483,16.15,0.966467189
02-Well-A5,2,A5,,76104,35731,263,219,507.33,528.09,1.75,1.46,,150,30,300,10,290,145,150.00887,67.66081539,150.2857143,1.813793103,1.75,1.036453202,1.510344828,1.46,0.966666667
02-Well-A6,2,A6,,27142,11240,463,448,180.9,166.12,3.09,2.99,,150,30,300,10,290,145,150.0386954,67.66193113,149.8381877,3.193103448,3.09,1.033366812,3.089655172,2.99,0.967745536
02-Well-A7,2,A7,,1715,976,41,18,11.43,14.42,0.27,0.12,,150,30,300,10,290,145,150.0437445,67.68377254,151.8518519,0.282758621,0.27,1.047254151,0.124137931,0.12,0.966666667
02-Well-A8,2,A8,,26486,12684,4647,3968,176.54,187.47,30.97,26.45,,150,30,300,10,290,145,150.0283222,67.65882541,150.048434,32.04827586,30.97,1.034816786,27.36551724,26.45,0.966544859
02-Well-A9,2,A9,,22759,10983,1184,1029,151.72,162.32,7.89,6.86,,150,30,300,10,290,145,150.0065911,67.6626417,150.0633714,8.165517241,7.89,1.034919802,7.096551724,6.86,0.966666667
02-Well-A10,2,A10,,9046,4172,272,224,60.29,61.67,1.81,1.49,,150,30,300,10,290,145,150.0414662,67.65039728,150.2762431,1.875862069,1.81,1.036387883,1.544827586,1.49,0.964508929
02-Well-A11,2,A11,,75925,35066,449,252,506.06,518.26,2.99,1.68,,150,30,300,10,290,145,150.0316168,67.66101957,150.1672241,3.096551724,2.99,1.035636028,1.737931034,1.68,0.966666667
02-Well-A12,2,A12,,80751,35379,1474,1258,538.3,522.89,9.83,8.39,,150,30,300,10,290,145,150.0111462,67.66050221,149.9491353,10.16551724,9.83,1.034131968,8.675862069,8.39,0.967050874
02-Well-B1,2,B1,,3650,1872,248,185,24.33,27.67,1.65,1.23,,150,30,300,10,290,145,150.0205508,67.65449946,150.3030303,1.710344828,1.65,1.036572623,1.275862069,1.23,0.964054054
02-Well-B2,2,B2,,5180,2675,428,287,34.53,39.54,2.85,1.91,,150,30,300,10,290,145,150.0144802,67.65300961,150.1754386,2.951724138,2.85,1.03569268,1.979310345,1.91,0.964982578
02-Well-B3,2,B3,,33428,23921,2041,1627,278.42,260.02,17,13.55,,120,60,120,10,110,110,120.0632138,91.99676948,120.0588235,18.55454545,17,1.09144385,14.79090909,13.55,0.916103258
02-Well-B4,2,B4,,89541,62005,7868,6869,745.9,674.13,65.54,57.22,Use Sym-SSC Sym-SSC Events/μL(V),120,60,120,10,110,110,120.0442419,91.97780843,120.0488251,71.52727273,65.54,1.091352956,62.44545455,57.22,0.916319697
02-Well-B5,2,B5,,108209,71498,2602,1123,901.13,777.03,21.67,9.35,,120,60,120,10,110,110,120.0814533,92.01446534,120.0738348,23.65454545,21.67,1.091580316,10.20909091,9.35,0.915850401
02-Well-B6,2,B6,,72802,48200,4122,3062,606.62,524.22,34.35,25.51,,120,60,120,10,110,110,120.0125284,91.94612949,120,37.47272727,34.35,1.090909091,27.83636364,25.51,0.916427172
02-Well-B7,2,B7,,111607,81238,17848,16415,930.06,883.66,148.73,136.79,,120,60,120,10,110,110,119.999785,91.9335491,120.0026894,162.2545455,148.73,1.09093354,149.2272727,136.79,0.916655498
02-Well-B8,2,B8,,16839,12317,2511,1966,140.28,133.93,20.92,16.38,,120,60,120,10,110,110,120.0384944,91.96595236,120.0286807,22.82727273,20.92,1.091169824,17.87272727,16.38,0.916480163
02-Well-B9,2,B9,,81030,55976,1146,967,675.23,608.86,9.55,8.06,,120,60,120,10,110,110,120.0035543,91.93574878,120,10.41818182,9.55,1.090909091,8.790909091,8.06,0.916856256
02-Well-B10,2,B10,,72011,51631,2746,2362,599.46,560.85,22.86,19.66,,120,60,120,10,110,110,120.1264471,92.05848266,120.1224847,24.96363636,22.86,1.092022588,21.47272727,19.66,0.915580017
02-Well-B11,2,B11,,106978,73627,3351,2535,891.26,800.62,27.92,21.12,Use Sym-SSC Sym-SSC Events/μL(V),120,60,120,10,110,110,120.0300698,91.96247908,120.02149,30.46363636,27.92,1.091104454,23.04545455,21.12,0.916449704
02-Well-B12,2,B12,,169236,118883,3811,3272,1409.9,1292.66,31.75,27.26,,120,60,120,10,110,110,120.034045,91.96772547,120.0314961,34.64545455,31.75,1.091195419,29.74545455,27.26,0.916442543
02-Well-C1,2,C1,,48051,34990,6985,6218,400.41,380.58,58.21,51.81,,120,60,120,10,110,110,120.0044954,91.93862,119.9965642,63.5,58.21,1.090877856,56.52727273,51.81,0.916548729
02-Well-C2,2,C2,,94073,69647,12474,11587,783.65,757.21,103.91,96.52,,120,60,120,10,110,110,120.0446628,91.97844719,120.0461938,113.4,103.91,1.091329035,105.3363636,96.52,0.916302753
02-Well-C3,2,C3,,160607,114758,9794,7494,1338.14,1247.97,81.6,62.44,Use Sym-SSC Sym-SSC Events/μL(V),120,60,120,10,110,110,120.0225686,91.95573612,120.0245098,89.03636364,81.6,1.091131907,68.12727273,62.44,0.916519883
02-Well-C4,2,C4,,88871,61759,3008,2751,740.58,671.77,25.07,22.92,,120,60,120,10,110,110,120.0018904,91.93473957,119.9840447,27.34545455,25.07,1.090764042,25.00909091,22.92,0.916466739
02-Well-C5,2,C5,,467,451,33,21,3.89,4.9,0.27,0.17,,120,60,120,10,110,110,120.0514139,92.04081633,122.2222222,0.3,0.27,1.111111111,0.190909091,0.17,0.89047619
02-Well-C6,2,C6,,69207,41775,2341,2037,576.72,454.4,19.51,16.97,,120,60,120,10,110,110,120.0010404,91.93441901,119.9897488,21.28181818,19.51,1.090815899,18.51818182,16.97,0.916396662
02-Well-C7,2,C7,,119235,88604,13884,12994,993.49,963.62,115.68,108.27,,120,60,120,10,110,110,120.0163062,91.94910857,120.0207469,126.2181818,115.68,1.091097699,118.1272727,108.27,0.916553794
