Well,Plate,Plate_Well,Sample
A1,2,02-Well-A1,PC_BL1_T0C_A
A2,2,02-Well-A2,PC_BL1_T0C_B
A3,2,02-Well-A3,PC_BL1_T0C_C
A4,2,02-Well-A4,PC_BL1_T0C_D
A5,2,02-Well-A5,PC_BL1_T0C_E
A6,2,02-Well-A6,PC_BL1_T0C_F
A7,2,02-Well-A7,PC_BL2_T0C_A
A8,2,02-Well-A8,PC_BL2_T0C_B
A9,2,02-Well-A9,PC_BL2_T0C_C
A10,2,02-Well-A10,PC_BL2_T0C_D
A11,2,02-Well-A11,PC_BL2_T0C_E
A12,2,02-Well-A12,PC_BL2_T0C_F
B1,2,02-Well-B1,PC_BL3_T0C_A
B2,2,02-Well-B2,PC_BL3_T0C_B
B3,2,02-Well-B3,PC_BL3_T0C_C
B4,2,02-Well-B4,PC_BL3_T0C_D
B5,2,02-Well-B5,PC_BL3_T0C_E
B6,2,02-Well-B6,PC_BL3_T0C_F
B7,2,02-Well-B7,PC_PB1_T0C_A
B8,2,02-Well-B8,PC_PB1_T0C_B
B9,2,02-Well-B9,PC_PB1_T0C_C
B10,2,02-Well-B10,PC_PB1_T0C_D
B11,2,02-Well-B11,PC_PB1_T0C_E
B12,2,02-Well-B12,PC_PB1_T0C_F
C1,2,02-Well-C1,PC_PB2_T0C_A
C2,2,02-Well-C2,PC_PB2_T0C_B
C3,2,02-Well-C3,PC_PB2_T0C_C
C4,2,02-Well-C4,PC_PB2_T0C_D
C6,2,02-Well-C6,PC_PB2_T0C_F
C7,2,02-Well-C7,PC_PB3_T0C_A
C8,2,02-Well-C8,PC_PB3_T0C_B
C9,2,02-Well-C9,PC_PB3_T0C_C
C10,2,02-Well-C10,PC_PB3_T0C_D
C11,2,02-Well-C11,PC_PB3_T0C_E
C12,2,02-Well-C12,PC_PB3_T0C_F
D1,2,02-Well-D1,PC_HE1_T0C_A
D2,2,02-Well-D2,PC_HE1_T0C_B
D3,2,02-Well-D3,PC_HE1_T0C_C
D4,2,02-Well-D4,PC_HE1_T0C_D
D5,2,02-Well-D5,PC_HE1_T0C_E
D6,2,02-Well-D6,PC_HE1_T0C_F
D7,2,02-Well-D7,PC_HE2_T0C_A
D8,2,02-Well-D8,PC_HE2_T0C_B
D9,2,02-Well-D9,PC_HE2_T0C_C
D10,2,02-Well-D10,PC_HE2_T0C_D
D11,2,02-Well-D11,PC_HE2_T0C_E
D12,2,02-Well-D12,PC_HE2_T0C_F
E1,2,02-Well-E1,PC_HE3_T0C_A
E2,2,02-Well-E2,PC_HE3_T0C_B
E3,2,02-Well-E3,PC_HE3_T0C_C
E4,2,02-Well-E4,PC_HE3_T0C_D
E5,2,02-Well-E5,PC_HE3_T0C_E
E6,2,02-Well-E6,PC_HE3_T0C_F
E7,2,02-Well-E7,PC_PB1_T7C_A
E8,2,02-Well-E8,PC_PB1_T7C_B
E9,2,02-Well-E9,PC_PB1_T7C_C
E10,2,02-Well-E10,PC_PB1_T7C_D
E11,2,02-Well-E11,PC_PB1_T7C_E
E12,2,02-Well-E12,PC_PB1_T7C_F
F1,2,02-Well-F1,PC_PB1_T7H_A
F2,2,02-Well-F2,PC_PB1_T7H_B
F3,2,02-Well-F3,PC_PB1_T7H_C
F4,2,02-Well-F4,PC_PB1_T7H_D
F5,2,02-Well-F5,PC_PB1_T7H_E
F6,2,02-Well-F6,PC_PB1_T7H_F
F7,2,02-Well-F7,PC_PB2_T7C_A
F8,2,02-Well-F8,PC_PB2_T7C_B
F9,2,02-Well-F9,PC_PB2_T7C_C
F10,2,02-Well-F10,PC_PB2_T7C_D
F11,2,02-Well-F11,PC_PB2_T7C_E
F12,2,02-Well-F12,PC_PB2_T7C_F
G1,2,02-Well-G1,PC_PB2_T7H_A
G2,2,02-Well-G2,PC_PB2_T7H_B
G3,2,02-Well-G3,PC_PB2_T7H_C
G4,2,02-Well-G4,PC_PB2_T7H_D
G5,2,02-Well-G5,PC_PB2_T7H_E
G6,2,02-Well-G6,PC_PB2_T7H_F
G7,2,02-Well-G7,PC_PB3_T7C_A
G8,2,02-Well-G8,PC_PB3_T7C_B
G9,2,02-Well-G9,PC_PB3_T7C_C
G10,2,02-Well-G10,PC_PB3_T7C_D
G11,2,02-Well-G11,PC_PB3_T7C_E
G12,2,02-Well-G12,PC_PB3_T7C_F
H1,2,02-Well-H1,PC_PB3_T7H_A
H2,2,02-Well-H2,PC_PB3_T7H_B
H3,2,02-Well-H3,PC_PB3_T7H_C
H4,2,02-Well-H4,PC_PB3_T7H_D
H5,2,02-Well-H5,PC_PB3_T7H_E
H6,2,02-Well-H6,PC_PB3_T7H_F
H7,2,02-Well-H7,PC_BL1_T7C_A
H8,2,02-Well-H8,PC_BL1_T7C_B
H9,2,02-Well-H9,PC_BL1_T7C_C
