Tree#,Groups,WScore
1,A1_a_T00-A1_a_T36,0.275776
1,A1_a_T00-A1_c_T00,0.113172
1,A1_a_T36-A1_c_T00,0.25758
1,A1_a_T00-A1_c_T36,0.314976
1,A1_a_T36-A1_c_T36,0.200296
1,A1_c_T00-A1_c_T36,0.295262
1,A1_a_T00-A1_w_T00,0.115119
1,A1_a_T36-A1_w_T00,0.280196
1,A1_c_T00-A1_w_T00,0.106732
1,A1_c_T36-A1_w_T00,0.330503
1,A1_a_T00-A1_w_T36,0.272807
1,A1_a_T36-A1_w_T36,0.136926
1,A1_c_T00-A1_w_T36,0.259094
1,A1_c_T36-A1_w_T36,0.235735
1,A1_w_T00-A1_w_T36,0.275723
1,A1_a_T00-A1_x_T00,0.174678
1,A1_a_T36-A1_x_T00,0.382919
1,A1_c_T00-A1_x_T00,0.202692
1,A1_c_T36-A1_x_T00,0.432901
1,A1_w_T00-A1_x_T00,0.204689
1,A1_w_T36-A1_x_T00,0.384082
1,A1_a_T00-A1_x_T_48,0.447603
1,A1_a_T36-A1_x_T_48,0.555084
1,A1_c_T00-A1_x_T_48,0.44531
1,A1_c_T36-A1_x_T_48,0.580876
1,A1_w_T00-A1_x_T_48,0.457152
1,A1_w_T36-A1_x_T_48,0.550742
1,A1_x_T00-A1_x_T_48,0.35539
1,A1_a_T00-A2_a_T00,0.154863
1,A1_a_T36-A2_a_T00,0.348032
1,A1_c_T00-A2_a_T00,0.206197
1,A1_c_T36-A2_a_T00,0.353321
1,A1_w_T00-A2_a_T00,0.195905
1,A1_w_T36-A2_a_T00,0.337344
1,A1_x_T00-A2_a_T00,0.178381
1,A1_x_T_48-A2_a_T00,0.388723
1,A1_a_T00-A2_a_T36,0.33146
1,A1_a_T36-A2_a_T36,0.113346
1,A1_c_T00-A2_a_T36,0.288815
1,A1_c_T36-A2_a_T36,0.247243
1,A1_w_T00-A2_a_T36,0.315677
1,A1_w_T36-A2_a_T36,0.176657
1,A1_x_T00-A2_a_T36,0.427896
1,A1_x_T_48-A2_a_T36,0.577046
1,A2_a_T00-A2_a_T36,0.393159
1,A1_a_T00-A2_c_T00,0.148163
1,A1_a_T36-A2_c_T00,0.313009
1,A1_c_T00-A2_c_T00,0.141892
1,A1_c_T36-A2_c_T00,0.345308
1,A1_w_T00-A2_c_T00,0.137317
1,A1_w_T36-A2_c_T00,0.314552
1,A1_x_T00-A2_c_T00,0.192647
1,A1_x_T_48-A2_c_T00,0.412294
1,A2_a_T00-A2_c_T00,0.120835
1,A2_a_T36-A2_c_T00,0.346296
1,A1_a_T00-A2_c_T36,0.387161
1,A1_a_T36-A2_c_T36,0.165469
1,A1_c_T00-A2_c_T36,0.332577
1,A1_c_T36-A2_c_T36,0.205759
1,A1_w_T00-A2_c_T36,0.36094
1,A1_w_T36-A2_c_T36,0.194057
1,A1_x_T00-A2_c_T36,0.484459
1,A1_x_T_48-A2_c_T36,0.615467
1,A2_a_T00-A2_c_T36,0.433914
1,A2_a_T36-A2_c_T36,0.135663
1,A2_c_T00-A2_c_T36,0.382454
1,A1_a_T00-A2_w_T00,0.176049
1,A1_a_T36-A2_w_T00,0.350902
1,A1_c_T00-A2_w_T00,0.166055
1,A1_c_T36-A2_w_T00,0.396979
1,A1_w_T00-A2_w_T00,0.129676
1,A1_w_T36-A2_w_T00,0.329475
1,A1_x_T00-A2_w_T00,0.201919
1,A1_x_T_48-A2_w_T00,0.422169
1,A2_a_T00-A2_w_T00,0.171912
1,A2_a_T36-A2_w_T00,0.351738
1,A2_c_T00-A2_w_T00,0.103444
1,A2_c_T36-A2_w_T00,0.40328
1,A1_a_T00-A2_w_T36,0.294416
1,A1_a_T36-A2_w_T36,0.140021
1,A1_c_T00-A2_w_T36,0.265779
1,A1_c_T36-A2_w_T36,0.263466
1,A1_w_T00-A2_w_T36,0.290869
1,A1_w_T36-A2_w_T36,0.130403
1,A1_x_T00-A2_w_T36,0.398681
1,A1_x_T_48-A2_w_T36,0.559014
1,A2_a_T00-A2_w_T36,0.358432
1,A2_a_T36-A2_w_T36,0.126204
1,A2_c_T00-A2_w_T36,0.311188
1,A2_c_T36-A2_w_T36,0.148141
1,A2_w_T00-A2_w_T36,0.312731
1,A1_a_T00-A2_x_T00,0.230962
1,A1_a_T36-A2_x_T00,0.428836
1,A1_c_T00-A2_x_T00,0.272388
1,A1_c_T36-A2_x_T00,0.474794
1,A1_w_T00-A2_x_T00,0.26386
1,A1_w_T36-A2_x_T00,0.422725
1,A1_x_T00-A2_x_T00,0.143929
1,A1_x_T_48-A2_x_T00,0.311912
1,A2_a_T00-A2_x_T00,0.178321
1,A2_a_T36-A2_x_T00,0.464464
1,A2_c_T00-A2_x_T00,0.202774
1,A2_c_T36-A2_x_T00,0.521509
1,A2_w_T00-A2_x_T00,0.226844
1,A2_w_T36-A2_x_T00,0.419571
1,A1_a_T00-A2_x_T_48,0.46467
1,A1_a_T36-A2_x_T_48,0.602214
1,A1_c_T00-A2_x_T_48,0.48903
1,A1_c_T36-A2_x_T_48,0.619203
1,A1_w_T00-A2_x_T_48,0.481595
1,A1_w_T36-A2_x_T_48,0.589197
1,A1_x_T00-A2_x_T_48,0.381454
1,A1_x_T_48-A2_x_T_48,0.101078
1,A2_a_T00-A2_x_T_48,0.402235
1,A2_a_T36-A2_x_T_48,0.629592
1,A2_c_T00-A2_x_T_48,0.430505
1,A2_c_T36-A2_x_T_48,0.672346
1,A2_w_T00-A2_x_T_48,0.449472
1,A2_w_T36-A2_x_T_48,0.603564
1,A2_x_T00-A2_x_T_48,0.319611
1,A1_a_T00-A3_a_T00,0.14839
1,A1_a_T36-A3_a_T00,0.274525
1,A1_c_T00-A3_a_T00,0.160113
1,A1_c_T36-A3_a_T00,0.33941
1,A1_w_T00-A3_a_T00,0.178969
1,A1_w_T36-A3_a_T00,0.300367
1,A1_x_T00-A3_a_T00,0.236389
1,A1_x_T_48-A3_a_T00,0.477612
1,A2_a_T00-A3_a_T00,0.21342
1,A2_a_T36-A3_a_T00,0.325949
1,A2_c_T00-A3_a_T00,0.184232
1,A2_c_T36-A3_a_T00,0.380989
