"","SampleID","Sample.Name","Concentration","Treatment.x","Bottle","Timepoint..h.","Temp","Origin_PlanC","Field_Treatment","Bleaching_Status","Bleaching_Susceptability","Stress_status","Treatment_old","Treatment.y","Sample_Type","Timepoint_char","Timepoint","Bottle_NR","Notes","PLANC_aquaria"
"1","ABC_109","A1",167.285714,"Dying",1,0,"Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","FCM","T0",0,1,"","PB1_T7H"
"2","ABC_110","A2",163.102041,"Dying",2,0,"Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","FCM","T0",0,2,"","PB2_T7H"
"3","ABC_111","A3",174.857143,"Dying",3,0,"Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","FCM","T0",0,3,"","PB3_T7H"
"4","ABC_113","A4",332.55102,"Bleaching",5,0,"Hot","Healthy","Bleaching","Non Bleached","Resistant","Thermal Stress","Heated","Non-bleached + Heated","FCM","T0",0,5,"","HE2_T7H"
"5","ABC_114","A5",159.959184,"Bleaching",6,0,"Hot","Healthy","Bleaching","Non Bleached","Resistant","Thermal Stress","Heated","Non-bleached + Heated","FCM","T0",0,6,"","HE3_T7H"
"6","ABC_115","A6",125.591837,"HotWaterControl",7,0,"Hot","control","Hot Water Control",NA,NA,"Thermal Stress","Heated Water Control","Heated Water Control","FCM","T0",0,7,"",""
"7","ABC_116","A7",119.714286,"HotWaterControl",8,0,"Hot","control","Hot Water Control",NA,NA,"Thermal Stress","Heated Water Control","Heated Water Control","FCM","T0",0,8,"",""
"8","ABC_117","A8",134.714286,"HotWaterControl",9,0,"Hot","control","Hot Water Control",NA,NA,"Thermal Stress","Heated Water Control","Heated Water Control","FCM","T0",0,9,"",""
"9","ABC_118","A9",118.98,"Recovering",10,0,"Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","FCM","T0",0,10,"","BL1_T7C"
"10","ABC_119","A10",140.938776,"Recovering",11,0,"Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","FCM","T0",0,11,"","BL2_T7C"
"11","ABC_120","A11",174.020408,"Recovering",12,0,"Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","FCM","T0",0,12,"","BL3_T7C"
"12","ABC_121","A12",148.72,"Coral Control",13,0,"Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","FCM","T0",0,13,"","HE1_T7C"
"13","ABC_122","B1",145.061224,"Coral Control",14,0,"Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","FCM","T0",0,14,"","HE2_T7C"
"14","ABC_123","B2",207.836735,"Coral Control",15,0,"Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","FCM","T0",0,15,"","HE3_T7C"
"15","ABC_124","B3",131.183673,"Water Control",16,0,"Ambient","control","Water Control",NA,NA,"Ambient","Ambient Water Control","Ambient Water Control","FCM","T0",0,16,"",""
"16","ABC_125","B4",129.938776,"Water Control",17,0,"Ambient","control","Water Control",NA,NA,"Ambient","Ambient Water Control","Ambient Water Control","FCM","T0",0,17,"",""
"17","ABC_126","B5",139.061224,"Water Control",18,0,"Ambient","control","Water Control",NA,NA,"Ambient","Ambient Water Control","Ambient Water Control","FCM","T0",0,18,"",""
"18","ABC_127","B6",139.72,"Dying",1,2,"Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","FCM","T2",2,1,"","PB1_T7H"
"19","ABC_128","B7",171.285714,"Dying",2,2,"Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","FCM","T2",2,2,"","PB2_T7H"
"20","ABC_129","B8",196.66,"Dying",3,2,"Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","FCM","T2",2,3,"","PB3_T7H"
"21","ABC_131","B9",177.77551,"Bleaching",5,2,"Hot","Healthy","Bleaching","Non Bleached","Resistant","Thermal Stress","Heated","Non-bleached + Heated","FCM","T2",2,5,"","HE2_T7H"
