Well,Plate,Plate_Well,Sample,Tube Name:,Sample ID:,All Events,include Events,Sym-FSC Events,Sym-SSC Events,All Events  Events/μL(V),include Events/μL(V),Sym-FSC Events/μL(V),Sym-SSC Events/μL(V),sym.con,sym.events,Notes.x,Length,Width,Height,Shape,Vol,SA,Notes.y,Aquaria,Timepoint_Heat,Genotype,Timepoint,Heat,Aquaria_Timepoint_Heat,Outlier,Outlier1,Collection_Bleaching_Level,Species_Bl,Collection_Bleaching_Level1,Species,sym.total,sym.SA,log10.sym.SA
A1,2,02-Well-A1,PC_BL1_T0C_A,02-Well-A1,NA,3369,1409,251,206,22.46,20.82,1.67,1.37,1.67,251,NA,NA,0.8,1.9,cylinder,11,11.56106097,NA,BL1,T0C,A,T0,C,BL1_T0C,NA,NA,BL,BL_Acropora pulchra,BL,Acropora pulchra,18369.999999999996,1588.9545127102635,3.2011114647582355
A2,2,02-Well-A2,PC_BL1_T0C_B,02-Well-A2,NA,13698,6394,2424,1937,91.32,94.5,16.16,12.91,16.16,2424,NA,NA,0.9,2.5,cylinder,10,16.68185699,epiphytic algae. maybe,BL1,T0C,B,T0,C,BL1_T0C,NA,NA,BL,BL_Acropora pulchra,BL,Acropora pulchra,161600,9687.170924488306,3.98619696267759
A3,2,02-Well-A3,PC_BL1_T0C_C,02-Well-A3,NA,19345,9097,631,582,128.95,134.45,4.21,3.88,4.21,631,NA,NA,1.4,1.8,cylinder,10,21.99114858,NA,BL1,T0C,C,T0,C,BL1_T0C,NA,NA,BL,BL_Pocillopora verrucosa,BL,Pocillopora verrucosa,42100,1914.4066007670071,3.2820341830310733
A4,2,02-Well-A4,PC_BL1_T0C_D,02-Well-A4,NA,65006,30616,3181,2423,433.28,452.49,21.2,16.15,21.2,3181,NA,1,2.2,2.4,box,10.5,17.56,one tip overgrown with algae — avoided,BL1,T0C,D,T0,C,BL1_T0C,NA,NA,BL,BL_Pocillopora verrucosa,BL,Pocillopora verrucosa,222600,12676.537585421413,4.103000648428606
A5,2,02-Well-A5,PC_BL1_T0C_E,02-Well-A5,NA,76104,35731,263,219,507.33,528.09,1.75,1.46,1.75,263,NA,1,1.4,1.5,BOX,10,8.6,NA,BL1,T0C,E,T0,C,BL1_T0C,NA,NA,BL,BL_Porites rus,BL,Porites rus,17500,2034.8837209302326,3.3085395974427265
A6,2,02-Well-A6,PC_BL1_T0C_F,02-Well-A6,NA,27142,11240,463,448,180.9,166.12,3.09,2.99,3.09,463,NA,NA,1.1,1.2,cylinder,15,12.09513172,NA,BL1,T0C,F,T0,C,BL1_T0C,NA,NA,BL,BL_Porites rus,BL,Porites rus,46349.99999999999,3832.120316917061,3.5834391361457705
A8,2,02-Well-A8,PC_BL2_T0C_B,02-Well-A8,NA,26486,12684,4647,3968,176.54,187.47,30.97,26.45,30.97,4647,NA,NA,1.1,3.1,cylinder,10,25.22698901,NA,BL2,T0C,B,T0,C,BL2_T0C,NA,NA,BL,BL_Acropora pulchra,BL,Acropora pulchra,309700,12276.534463832946,4.089075787355154
A9,2,02-Well-A9,PC_BL2_T0C_C,02-Well-A9,NA,22759,10983,1184,1029,151.72,162.32,7.89,6.86,7.89,1184,NA,1.2,2.6,2.5,box-y triangle,10.5,7.683551249,NA,BL2,T0C,C,T0,C,BL2_T0C,NA,NA,BL,BL_Pocillopora verrucosa,BL,Pocillopora verrucosa,82845,10782.123697135765,4.03270430993329
A10,2,02-Well-A10,PC_BL2_T0C_D,02-Well-A10,NA,9046,4172,272,224,60.29,61.67,1.81,1.49,1.81,272,NA,NA,1.2,2,cone,10,8.792868305,NA,BL2,T0C,D,T0,C,BL2_T0C,NA,NA,BL,BL_Pocillopora verrucosa,BL,Pocillopora verrucosa,18100,2058.48642014888,3.3135480062988387
A11,2,02-Well-A11,PC_BL2_T0C_E,02-Well-A11,NA,75925,35066,449,252,506.06,518.26,2.99,1.68,2.99,449,NA,NA,3.1,1.2,dome,10,32.37372741,NA,BL2,T0C,E,T0,C,BL2_T0C,NA,NA,BL,BL_Porites rus,BL,Porites rus,29900.000000000004,923.5884277806119,2.9654784827309455
