PLANC_aquaria,Timepoint_char_PlanC,Timepoint_PlanC,Temperature,Stress_status,Treatment,sum_sym_total_no_outliers1,sum_SA_no_outliers1,sym_SA_norm_no_outliers1,sum_sym_total_no_outliers,sum_SA_no_outliers,sym_SA_norm_no_outliers,notes
PB1_T7H,T7,7,Heated,Bleached,Bleached + Heated,4023655,170.1446111,23648.44219,4023655,170.1446111,23648.44219,
PB2_T7H,T7,7,Heated,Bleached,Bleached + Heated,5720085,133.9929001,42689.46337,5720085,133.9929001,42689.46337,
PB3_T7H,T7,7,Heated,Bleached,Bleached + Heated,7970300,140.7653897,56621.16246,7970300,140.7653897,56621.16246,
HE1_T7H,T7,7,Heated,Non-Bleached,Heated,2921300,126.2677439,23135.75828,2916000,100.2677439,29082.13437,
HE2_T7H,T7,7,Heated,Non-Bleached,Heated,12254100,110.7376261,110658.8649,12254100,110.7376261,110658.8649,
HE3_T7H,T7,7,Heated,Non-Bleached,Heated,14215345,200.6876984,70833.16572,14215345,200.6876984,70833.16572,
BL1_T7C,T7,7,Ambient,Bleached,Bleached,2562000,90.69088957,28249.8056,2558800,75.51699705,33883.76259,
BL2_T7C,T7,7,Ambient,Bleached,Bleached,2069800,65.82320882,31444.8359,2049000,30.22896405,67782.67348,
BL3_T7C,T7,7,Ambient,Bleached,Bleached,826045,93.56955321,8828.138766,712820,58.54831582,12174.90187,
HE1_T7C,T7,7,Ambient,Non-Bleached,Control,8019100,75.3544236,106418.4373,8019100,75.3544236,106418.4373,
HE2_T7C,T7,7,Ambient,Non-Bleached,Control,13294780,139.4142319,95361.71319,13273680,127.4742319,104128.3387,
HE3_T7C,T7,7,Ambient,Non-Bleached,Control,9616700,162.0466647,59345.25107,9616700,162.0466647,59345.25107,
BL1_T7H,T7,7,Heated,Bleached,Bleached + Heated,171900,106.2787554,1617.44461,171900,106.2787554,1617.44461,aquaria contained dead coral - excluded from downstram exudation
BL2_T7H,T7,7,Heated,Bleached,Bleached + Heated,669385,80.15252832,8351.389707,669385,80.15252832,8351.389707,aquaria contained dead coral - excluded from downstram exudation
BL3_T7H,T7,7,Heated,Bleached,Bleached + Heated,3055470,76.25609813,40068.5332,3055170,61.27070117,49863.47376,aquaria contained dead coral - excluded from downstram exudation
PB1_T7C,T7,7,Ambient,Bleached,Bleached,8665570,158.7211419,54596.19238,8665570,158.7211419,54596.19238,aquaria contained dead coral - excluded from downstram exudation
PB2_T7C,T7,7,Ambient,Bleached,Bleached,9450200,163.3142366,57865.13286,9450200,163.3142366,57865.13286,aquaria contained dead coral - excluded from downstram exudation
PB3_T7C,T7,7,Ambient,Bleached,Bleached,6489260,123.6956196,52461.51821,6361000,89.1381004,71361.17969,aquaria contained dead coral - excluded from downstram exudation
