File Name,Sample Name,Injection_Type,Temp,Bleaching_Status,Stress_status.x,Treatment.x,Sample_Type,Timepoint_char,Timepoint,Bottle_NR,Notes,PLANC_aquaria,Experiment,Sample notes,Sample ID,uMC,Stdev,Background_DOC,Control_Corrected_DOC,Control_Corrected_DOC_flux,Timepoint_char_PlanC,Timepoint_PlanC,Temperature,Stress_status.y,Treatment.y,sum_sym_total_no_outliers1,sum_SA_no_outliers1,sym_SA_norm_no_outliers1,sum_sym_total_no_outliers,sum_SA_no_outliers,sym_SA_norm_no_outliers,DOC_SA_Normalized,Control_Corrected_DOC_SA_Normalized,Control_Corrected_DOC_flux_SA_Normalized,Control_Corrected_DOC_flux_SA_Normalized_dm2
NA,ABC_038,NA,Hot,Bleached,Thermal Stress,Bleached + Heated,DOC,T0,0,2,NA,PB2_T7H,ABCDOM,Dying bottle 2 T0,MO19-ABC_38,89.2,1.5,100.03333333333333,-10.833333333333329,-3.095238095238094,T7,7,Heated,Bleached,Bleached + Heated,5720085,133.992900098,42689.463365718875,5720085,133.992900098,42689.463365718875,0.6657069138346936,-0.08085005493134355,-0.023100015694669587,-2.3100015694669587
NA,ABC_039,NA,Hot,Bleached,Thermal Stress,Bleached + Heated,DOC,T0,0,3,NA,PB3_T7H,ABCDOM,Dying bottle 3 T0,MO19-ABC_39,106,2.4,100.03333333333333,5.966666666666669,1.7047619047619054,T7,7,Heated,Bleached,Bleached + Heated,7970300,140.76538973,56621.16245539982,7970300,140.76538973,56621.16245539982,0.7530260116021205,0.0423873132316917,0.012110660923340486,1.2110660923340486
NA,ABC_041,NA,Hot,Non Bleached,Thermal Stress,Heated,DOC,T0,0,5,NA,HE2_T7H,ABCDOM,Bleaching bottle 5 T0,MO19-ABC_41,191.4,0.9,100.03333333333333,91.36666666666667,26.104761904761908,T7,7,Heated,Non-Bleached,Heated,12254100,110.737626069,110658.86487727793,12254100,110.737626069,110658.86487727793,1.7284098169193163,0.825073373071377,0.23573524944896485,23.573524944896484
NA,ABC_042,NA,Hot,Non Bleached,Thermal Stress,Heated,DOC,T0,0,6,NA,HE3_T7H,ABCDOM,Bleaching bottle 6 T0,MO19-ABC_42,120.2,0.9,100.03333333333333,20.16666666666667,5.761904761904764,T7,7,Heated,Non-Bleached,Heated,14215345,200.68769842,70833.16571925634,14215345,200.68769842,70833.16571925634,0.5989405476585066,0.10048780680349322,0.028710801943855207,2.8710801943855206
NA,ABC_043,NA,Hot,NA,Thermal Stress,Negative Control + Heated,DOC,T0,0,7,NA,NA,ABCDOM,Hot water control Bottle 7 T0,MO19-ABC_43,97,1,100.03333333333333,-3.0333333333333314,-0.8666666666666661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ABC_044,NA,Hot,NA,Thermal Stress,Negative Control + Heated,DOC,T0,0,8,NA,NA,ABCDOM,Hot water control Bottle 8 T0,MO19-ABC_44,106.7,1.1,100.03333333333333,6.666666666666671,1.9047619047619062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ABC_045,NA,Hot,NA,Thermal Stress,Negative Control + Heated,DOC,T0,0,9,NA,NA,ABCDOM,Hot water control Bottle 9 T0,MO19-ABC_45,96.4,1.7,100.03333333333333,-3.6333333333333258,-1.038095238095236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ABC_046,NA,Ambient,Bleached,Ambient,Bleached,DOC,T0,0,10,NA,BL1_T7C,ABCDOM,Recovering Bottle 10 T0,MO19-ABC_46,104.1,0.2,94.2,9.899999999999991,2.828571428571426,T7,7,Ambient,Bleached,Bleached,2562000,90.690889574,28249.805598273622,2558800,75.516997054,33883.7625941386,1.3784976106181914,0.13109631455446766,0.037456089872705045,3.7456089872705043
NA,ABC_047,NA,Ambient,Bleached,Ambient,Bleached,DOC,T0,0,11,NA,BL2_T7C,ABCDOM,Recovering Bottle 11 T0,MO19-ABC_47,114.1,1.4,94.2,19.89999999999999,5.685714285714283,T7,7,Ambient,Bleached,Bleached,2069800.0000000002,65.82320882100001,31444.835903224128,2049000.0000000002,30.228964051,67782.67348305698,3.7745256439320642,0.6583090299232958,0.1880882942637988,18.80882942637988
NA,ABC_049,NA,Ambient,Non Bleached,Ambient,Control,DOC,T0,0,13,NA,HE1_T7C,ABCDOM,Coral control Bottle 13 T0,MO19-ABC_49,109.5,0.4,94.2,15.299999999999997,4.371428571428571,T7,7,Ambient,Non-Bleached,Control,8019100,75.3544236,106418.43725814126,8019100,75.3544236,106418.43725814126,1.4531330049215583,0.20304050205753277,0.05801157201643794,5.801157201643794
