"","Sample","NMDS1","NMDS2","Sample_Name","PCR_setting","Experiment.x","Replicate","Temp","Bleaching_Status","Stress_status","Treatment","Sample_Type","Timepoint_char","Timepoint","Bottle_NR","Notes","PLANC_aquaria","Experiment.y","Treatment_Timepoint"
"1","ABC_001",-0.267060302556561,-0.00111100694517961,"ABC_001","Standard","ABC","I","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","T0",0,1,NA,"PB1_T7H",NA,"Bleached + Heated_0"
"2","ABC_002",-0.266257525013634,-0.00976694062077648,"ABC_002","Standard","ABC","I","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","T0",0,2,NA,"PB2_T7H",NA,"Bleached + Heated_0"
"3","ABC_003",-0.265403295149408,-0.0037152836458492,"ABC_003","Standard","ABC","I","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","T0",0,3,NA,"PB3_T7H",NA,"Bleached + Heated_0"
"4","ABC_005",-0.278043146661205,0.0242896799833826,"ABC_005","Standard","ABC","I","Hot","Non Bleached","Thermal Stress","Heated","Sterivex","T0",0,5,NA,"HE2_T7H","ABCDOM","Heated_0"
"5","ABC_006",-0.272264157478596,0.00470396095298578,"ABC_006","Standard","ABC","I","Hot","Non Bleached","Thermal Stress","Heated","Sterivex","T0",0,6,NA,"HE3_T7H","ABCDOM","Heated_0"
"6","ABC_007",-0.266357012416675,0.00816402427247878,"ABC_007","Standard","ABC","I","Hot",NA,"Thermal Stress","Negative Control + Heated","Sterivex","T0",0,7,NA,NA,"ABCDOM","Negative Control + Heated_0"
"7","ABC_008",-0.264164465989905,-0.0149049605097168,"ABC_008","Standard","ABC","I","Hot",NA,"Thermal Stress","Negative Control + Heated","Sterivex","T0",0,8,NA,NA,"ABCDOM","Negative Control + Heated_0"
"8","ABC_009",-0.281154023152866,-0.00219046998512474,"ABC_009","Standard","ABC","I","Hot",NA,"Thermal Stress","Negative Control + Heated","Sterivex","T0",0,9,NA,NA,"ABCDOM","Negative Control + Heated_0"
"9","ABC_010",-0.117142808246024,0.0404875461460519,"ABC_010","Standard","ABC","I","Ambient","Bleached","Ambient","Bleached","Sterivex","T0",0,10,NA,"BL1_T7C","ABCDOM","Bleached_0"
"10","ABC_011",-0.177204696576653,0.00981036726905537,"ABC_011","Standard","ABC","I","Ambient","Bleached","Ambient","Bleached","Sterivex","T0",0,11,NA,"BL2_T7C","ABCDOM","Bleached_0"
"11","ABC_012",-0.240292038919496,0.0453723784318942,"ABC_012","Standard","ABC","I","Ambient","Bleached","Ambient","Bleached","Sterivex","T0",0,12,NA,"BL3_T7C","ABCDOM","Bleached_0"
