"","rep(abund.nosub.asv$ASV, times = 3)","adjusted_pval","Treatment","l2fc","Mean_Abundance","significant","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","Genus_OTU","Family_Genus_OTU","Family_OTU","significant1","fontface","l2fcSE"
"2","Otu00002",0.00433675800633005,"Heated",1.29277138137765,17488.3333333333,"Y","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas_Otu00002","Alteromonadaceae_Alteromonas_Otu00002","Alteromonadaceae_Otu00002","Y","bold",0.353918953811491
"3","Otu00003",0.449602460923073,"Heated",-0.96866089687071,4727,"N","Otu00003","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","uncultured_Otu00003","Cryomorphaceae_uncultured_Otu00003","Cryomorphaceae_Otu00003","N","plain",0.621552066350181
"4","Otu00004",0.768111474504875,"Heated",-0.330047405597283,3420,"N","Otu00004","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","HIMB11","HIMB11_Otu00004","Rhodobacteraceae_HIMB11_Otu00004","Rhodobacteraceae_Otu00004","N","plain",0.415257310651203
"6","Otu00006",0.429529405587612,"Heated",1.03054915100251,1214,"N","Otu00006","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group","NS5_marine_group_Otu00006","Flavobacteriaceae_NS5_marine_group_Otu00006","Flavobacteriaceae_Otu00006","N","plain",0.645067552738244
"7","Otu00007",0.994640118470695,"Heated",-0.0133767355879973,81.3333333333333,"N","Otu00007","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Reinekea","Reinekea_Otu00007","Saccharospirillaceae_Reinekea_Otu00007","Saccharospirillaceae_Otu00007","N","plain",0.769965586747531
"8","Otu00008",0.0129392111070423,"Heated",-1.15038369952332,1453.33333333333,"Y","Otu00008","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60","OM60_Otu00008","Halieaceae_OM60_Otu00008","Halieaceae_Otu00008","Y","bold",0.352651662017329
"9","Otu00009",0.394042970793938,"Heated",-1.29396515118806,1653,"N","Otu00009","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","OM43_clade","OM43_clade_Otu00009","Methylophilaceae_OM43_clade_Otu00009","Methylophilaceae_Otu00009","Y","bold",0.733515677995329
"10","Otu00011",0.81361820285532,"Heated",-1.5093868224248,55.3333333333333,"N","Otu00011","Bacteria(100)","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia","Clade_Ia_Otu00011","Clade_I_Clade_Ia_Otu00011","Clade_I_Otu00011","N","plain",2.52106404320677
"11","Otu00012",0.815007118878175,"Heated",-0.340927853701016,751,"N","Otu00012","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobius","Thalassobius_Otu00012","Rhodobacteraceae_Thalassobius_Otu00012","Rhodobacteraceae_Otu00012","N","plain",0.613109566331869
"12","Otu00013",0.165532078400493,"Heated",1.84107508049741,233.666666666667,"N","Otu00013","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Olleya","Olleya_Otu00013","Flavobacteriaceae_Olleya_Otu00013","Flavobacteriaceae_Otu00013","N","plain",0.824022890510049
