"","OTU","Sample","abund","ESV.x","Doman.x","Phylum.x","Class.x","Order.x","Family","Genus.x","X","X.1","X.2","X.3","X.4","Sample_Name","Sample_Name_Unique","PCR_setting","Experiment.x","Replicate","Temp","Bleaching_Status","Stress_status","Treatment","Sample_Type","Timepoint_char","Timepoint","Bottle_NR","Notes","PLANC_aquaria","Experiment.y","Treatment_Timepoint","stress_status_v1","heated.p","heated.padj","bleached.p","bleached.padj","bleached.heated.p","bleached.heated.padj","heated.l2fc","bleached.l2fc","bleached.heated.l2fc","heated.l2fcSE","bleached.l2fcSE","bleached.heated.l2fcSE","heated.sig","bleached.sig","bleached.heated.sig","ESV.y","OTUNumber","Doman.y","Phylum.y","Class.y","Order.y","Family.y","Genus.y","DA_in","heated.enrich","bleached.enrich","bleached.heated.enrich","Mean Bleached + Ambient Abundance","Mean Bleached + Heated Abundance","Mean Non-bleached + Ambient Abundance","Mean Non-bleached + Heated Abundance","sig","sig.enrichment"
"1","Otu00001","ABC_057",0.00365269927551912,"esv_1","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","",NA,NA,NA,"","ABC_057","ABC_057","Standard","ABC","I","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,3,NA,"PB3_T7H","ABCDOM","Bleached + Heated_36","Stressed",0.0716481292754879,0.38103777841964,0.264363257484281,0.717557413171621,0.201281039534406,0.825283148090008,-0.876425539013841,-0.533274660957999,-0.543700748268036,0.486538855413898,0.477785786290069,0.425460792130882,"N","N","N","esv_1","Otu00001","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","NNN","depleted","depleted","depleted",591.666666666667,158,214.5,340.333333333333,"N",""
"2","Otu00001","ABC_056",0.00500824528186649,"esv_1","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","",NA,NA,NA,"","ABC_056","ABC_056","Standard","ABC","I","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,2,NA,"PB2_T7H","ABCDOM","Bleached + Heated_36","Stressed",0.0716481292754879,0.38103777841964,0.264363257484281,0.717557413171621,0.201281039534406,0.825283148090008,-0.876425539013841,-0.533274660957999,-0.543700748268036,0.486538855413898,0.477785786290069,0.425460792130882,"N","N","N","esv_1","Otu00001","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","NNN","depleted","depleted","depleted",591.666666666667,158,214.5,340.333333333333,"N",""
"3","Otu00001","ABC_060",0.00279869942791291,"esv_1","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","",NA,NA,NA,"","ABC_060","ABC_060","Dil","ABC","I","Hot","Non Bleached","Thermal Stress","Heated","Sterivex","Tend",36,6,NA,"HE3_T7H","ABCDOM","Heated_36","Stressed",0.0716481292754879,0.38103777841964,0.264363257484281,0.717557413171621,0.201281039534406,0.825283148090008,-0.876425539013841,-0.533274660957999,-0.543700748268036,0.486538855413898,0.477785786290069,0.425460792130882,"N","N","N","esv_1","Otu00001","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","NNN","depleted","depleted","depleted",591.666666666667,158,214.5,340.333333333333,"N",""
"4","Otu00001","ABC_059_v1",0.00348957094139107,"esv_1","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","",NA,NA,NA,"","ABC_059","ABC_059_v1","Standard","ABC","II","Hot","Non Bleached","Thermal Stress","Heated","Sterivex","Tend",36,5,NA,"HE2_T7H","ABCDOM","Heated_36","Stressed",0.0716481292754879,0.38103777841964,0.264363257484281,0.717557413171621,0.201281039534406,0.825283148090008,-0.876425539013841,-0.533274660957999,-0.543700748268036,0.486538855413898,0.477785786290069,0.425460792130882,"N","N","N","esv_1","Otu00001","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","NNN","depleted","depleted","depleted",591.666666666667,158,214.5,340.333333333333,"N",""
"5","Otu00001","ABC_055_v1",0.00364358420727946,"esv_1","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","",NA,NA,NA,"","ABC_055","ABC_055_v1","Standard","ABC","II","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,1,NA,"PB1_T7H","ABCDOM","Bleached + Heated_36","Stressed",0.0716481292754879,0.38103777841964,0.264363257484281,0.717557413171621,0.201281039534406,0.825283148090008,-0.876425539013841,-0.533274660957999,-0.543700748268036,0.486538855413898,0.477785786290069,0.425460792130882,"N","N","N","esv_1","Otu00001","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","NNN","depleted","depleted","depleted",591.666666666667,158,214.5,340.333333333333,"N",""
"6","Otu00001","ABC_066",0.00218841658941353,"esv_1","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","",NA,NA,NA,"","ABC_066","ABC_066","Standard","ABC","I","Ambient","Bleached","Ambient","Bleached","Sterivex","Tend",36,12,NA,"BL3_T7C","ABCDOM","Bleached_36","Stressed",0.0716481292754879,0.38103777841964,0.264363257484281,0.717557413171621,0.201281039534406,0.825283148090008,-0.876425539013841,-0.533274660957999,-0.543700748268036,0.486538855413898,0.477785786290069,0.425460792130882,"N","N","N","esv_1","Otu00001","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","NNN","depleted","depleted","depleted",591.666666666667,158,214.5,340.333333333333,"N",""
"7","Otu00001","ABC_069",0.00652661635733225,"esv_1","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","",NA,NA,NA,"","ABC_069","ABC_069","Standard","ABC","I","Ambient","Non Bleached","Ambient","Control","Sterivex","Tend",36,15,NA,"HE3_T7C","ABCDOM","Control_36","Ambient",0.0716481292754879,0.38103777841964,0.264363257484281,0.717557413171621,0.201281039534406,0.825283148090008,-0.876425539013841,-0.533274660957999,-0.543700748268036,0.486538855413898,0.477785786290069,0.425460792130882,"N","N","N","esv_1","Otu00001","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","NNN","depleted","depleted","depleted",591.666666666667,158,214.5,340.333333333333,"N",""
"8","Otu00001","ABC_067",0.00502780011097397,"esv_1","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","",NA,NA,NA,"","ABC_067","ABC_067","Standard","ABC","I","Ambient","Non Bleached","Ambient","Control","Sterivex","Tend",36,13,NA,"HE1_T7C","ABCDOM","Control_36","Ambient",0.0716481292754879,0.38103777841964,0.264363257484281,0.717557413171621,0.201281039534406,0.825283148090008,-0.876425539013841,-0.533274660957999,-0.543700748268036,0.486538855413898,0.477785786290069,0.425460792130882,"N","N","N","esv_1","Otu00001","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","NNN","depleted","depleted","depleted",591.666666666667,158,214.5,340.333333333333,"N",""
"9","Otu00001","ABC_065",0.0044115598346826,"esv_1","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","",NA,NA,NA,"","ABC_065","ABC_065","Standard","ABC","I","Ambient","Bleached","Ambient","Bleached","Sterivex","Tend",36,11,NA,"BL2_T7C","ABCDOM","Bleached_36","Stressed",0.0716481292754879,0.38103777841964,0.264363257484281,0.717557413171621,0.201281039534406,0.825283148090008,-0.876425539013841,-0.533274660957999,-0.543700748268036,0.486538855413898,0.477785786290069,0.425460792130882,"N","N","N","esv_1","Otu00001","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","NNN","depleted","depleted","depleted",591.666666666667,158,214.5,340.333333333333,"N",""
"10","Otu00001","ABC_068",0.00910316203842369,"esv_1","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","",NA,NA,NA,"","ABC_068","ABC_068","Standard","ABC","I","Ambient","Non Bleached","Ambient","Control","Sterivex","Tend",36,14,NA,"HE2_T7C","ABCDOM","Control_36","Ambient",0.0716481292754879,0.38103777841964,0.264363257484281,0.717557413171621,0.201281039534406,0.825283148090008,-0.876425539013841,-0.533274660957999,-0.543700748268036,0.486538855413898,0.477785786290069,0.425460792130882,"N","N","N","esv_1","Otu00001","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","NNN","depleted","depleted","depleted",591.666666666667,158,214.5,340.333333333333,"N",""
"11","Otu00002","ABC_057",0.174143736313197,"esv_2","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","",NA,NA,NA,"","ABC_057","ABC_057","Standard","ABC","I","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,3,NA,"PB3_T7H","ABCDOM","Bleached + Heated_36","Stressed",0.000259464154224875,0.00433675800633005,3.29485747688121e-05,0.000834697227476572,0.0142342061575142,0.120199963107898,1.29277138137765,1.46897061957481,0.775714565692639,0.353918953811491,0.353792608899645,0.316450537989095,"Y","Y","N","esv_2","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Non-bleached + Heated and Bleached + Ambient","enriched","enriched","enriched",12266.6666666667,14815.5,18450,17488.3333333333,"Y","enriched"
"12","Otu00002","ABC_065",0.391529805117409,"esv_2","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","",NA,NA,NA,"","ABC_065","ABC_065","Standard","ABC","I","Ambient","Bleached","Ambient","Bleached","Sterivex","Tend",36,11,NA,"BL2_T7C","ABCDOM","Bleached_36","Stressed",0.000259464154224875,0.00433675800633005,3.29485747688121e-05,0.000834697227476572,0.0142342061575142,0.120199963107898,1.29277138137765,1.46897061957481,0.775714565692639,0.353918953811491,0.353792608899645,0.316450537989095,"Y","Y","N","esv_2","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Non-bleached + Heated and Bleached + Ambient","enriched","enriched","enriched",12266.6666666667,14815.5,18450,17488.3333333333,"Y","enriched"
"13","Otu00002","ABC_055_v1",0.239069247378162,"esv_2","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","",NA,NA,NA,"","ABC_055","ABC_055_v1","Standard","ABC","II","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,1,NA,"PB1_T7H","ABCDOM","Bleached + Heated_36","Stressed",0.000259464154224875,0.00433675800633005,3.29485747688121e-05,0.000834697227476572,0.0142342061575142,0.120199963107898,1.29277138137765,1.46897061957481,0.775714565692639,0.353918953811491,0.353792608899645,0.316450537989095,"Y","Y","N","esv_2","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Non-bleached + Heated and Bleached + Ambient","enriched","enriched","enriched",12266.6666666667,14815.5,18450,17488.3333333333,"Y","enriched"
"14","Otu00002","ABC_068",0.139810020966155,"esv_2","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","",NA,NA,NA,"","ABC_068","ABC_068","Standard","ABC","I","Ambient","Non Bleached","Ambient","Control","Sterivex","Tend",36,14,NA,"HE2_T7C","ABCDOM","Control_36","Ambient",0.000259464154224875,0.00433675800633005,3.29485747688121e-05,0.000834697227476572,0.0142342061575142,0.120199963107898,1.29277138137765,1.46897061957481,0.775714565692639,0.353918953811491,0.353792608899645,0.316450537989095,"Y","Y","N","esv_2","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Non-bleached + Heated and Bleached + Ambient","enriched","enriched","enriched",12266.6666666667,14815.5,18450,17488.3333333333,"Y","enriched"
