"","ABC_055_v1","ABC_056","ABC_057","ABC_059_v1","ABC_060","ABC_065","ABC_066","ABC_067","ABC_068","ABC_069"
"Otu00001",189,410,422,44,272,285,144,444,851,480
"Otu00894",0,88,73,0,128,81,108,42,100,72
"Otu00101",249,303,486,64,632,157,1014,60,152,182
"Otu00897",30,108,127,0,129,141,87,89,149,131
"Otu00907",22,144,31,0,61,65,0,0,130,241
"Otu00109",168,120,564,0,346,84,25,607,96,586
"Otu00011",0,80,86,0,65,0,61,74,121,120
"Otu00110",203,166,444,18,237,78,80,783,311,279
"Otu00112",399,6297,5377,0,6777,301,73,470,3663,850
"Otu00988",36,31,39,0,56,36,0,37,58,56
"Otu01012",30,40,112,0,51,0,0,34,74,31
"Otu01023",21,54,65,0,47,0,0,48,54,32
"Otu01024",0,158,42,0,94,344,0,34,19,37
"Otu00117",630,255,1388,27,392,159,285,508,1954,296
"Otu01027",0,0,81,0,42,0,0,134,70,52
"Otu00012",489,470,1294,54,895,487,305,1248,587,754
"Otu01102",57,0,91,0,161,151,98,0,56,34
"Otu00013",141,101,459,115,178,95,45,168,152,119
"Otu01139",46,95,38,0,24,82,0,61,19,58
"Otu00131",67,0,101,38,0,0,116,0,0,0
"Otu01153",0,76,45,0,59,297,0,35,36,58
"Otu00133",0,0,90,0,0,0,110,54,0,86
"Otu01163",0,47,77,0,65,57,0,53,72,73
"Otu00134",185,206,357,0,235,110,103,661,649,311
"Otu00014",112,90,99,0,82,67,0,108,127,98
"Otu01224",52,46,40,35,71,47,255,0,0,0
"Otu01258",0,0,41,0,39,0,0,85,127,116
"Otu00146",89,444,448,32,1605,0,469,260,591,15
"Otu01263",0,0,81,44,58,0,55,0,25,0
"Otu00147",95,152,211,0,176,98,65,328,314,261
"Otu01285",37,61,53,0,59,190,0,41,53,49
"Otu01292",0,56,73,0,122,111,78,0,48,0
"Otu01296",64,0,67,45,46,50,193,0,0,0
"Otu01307",64,32,65,0,59,30,36,0,16,16
"Otu00016",0,0,0,0,0,0,0,93,86,72
"Otu00161",602,1198,1074,0,1313,1045,230,1455,819,696
"Otu00163",267,276,394,0,261,232,40,409,269,230
"Otu00167",115,0,378,43,203,0,340,341,135,190
"Otu01427",18,88,34,0,69,148,0,0,23,48
"Otu00017",42,75,83,0,64,49,23,93,98,106
"Otu01459",82,64,101,0,0,0,0,0,0,0
"Otu00018",348,380,351,18,244,176,78,446,611,285
"Otu00179",0,0,0,0,0,367,205,260,261,276
"Otu00181",623,376,1444,123,663,326,1757,360,675,444
