Treatment,Alteromonadaceae (Gammaproteobacteria),Bdellovibrionaceae,Cryomorphaceae (Bacteroidia),Enterobacteriaceae,Flavobacteriaceae (Bacteroidia),Halieaceae,Litoricolaceae,Methylophagaceae,Methylophilaceae,Nitrincolaceae,NS9_marine_group,Pseudoalteromonadaceae,Rhodobacteraceae
Ambient Water Control,0.2267915,0.0015835,0.007875,0,0.039043,0.0287915,0.003833,0.0067915,0.020417,0.111748,0.0422495,0.035792,0.380831
Heated Water Control,0.203806333,0.001722667,0.017110667,0.010722333,0.048277,0.023194333,0.002305333,0.045500333,0.002861,0.055971667,0.069250333,0.022222667,0.333888
Non-bleached + Ambient,0.283001,0.022333,0.129277667,0,0.044360333,0.038306,0.025444,0.005305667,0.022,0.027360667,0.047694667,0.033472333,0.212747333
Non-bleached + Heated,0.4661665,0.039083,0.056333,0,0.082708,0.012625,0.011625,0.0147495,0.0069165,0.037417,0.01125,0.070583,0.136707
Bleached + Ambient,0.425707,0.0027915,0.0720825,0,0.0362505,0.013,0.003583,0.006125,0.002792,0.0436245,0.0288325,0.1222505,0.166
Bleached + Heated,0.386278667,0.051250667,0.057972,0,0.044832667,0.019500333,0.011527667,0.004305333,0.020583333,0.01425,0.030028,0.081250333,0.194276333
MEAN,0.3319585,0.019794056,0.056775139,0.001787056,0.04924525,0.022569528,0.009719667,0.013796222,0.012594972,0.048395306,0.0382175,0.060928472,0.237408278
MEAN_water,0.215298917,0.001653083,0.012492833,0.005361167,0.04366,0.025992917,0.003069167,0.026145917,0.011639,0.083859833,0.055749917,0.029007333,0.3573595
MEAN_coral,0.390288292,0.028864542,0.078916292,0,0.052037875,0.020857833,0.013044917,0.007621375,0.013072958,0.030663042,0.029451292,0.076889042,0.177432667
MEAN_stressed_coral,0.426050722,0.031041722,0.062129167,0,0.054597056,0.015041778,0.008911889,0.008393278,0.010097278,0.031763833,0.023370167,0.091361278,0.165661111
