time_local,upper_watercolumn_temperature_sbe39_C_FOR01,middle_watercolumn_temperature_sbe39_C_FOR01,bottom_watercolumn_temperature_sbe39_C_FOR01,temperature_shallow_sbe37_C_FOR01,temperature_deeper_sbe37_C_FOR01,upper_watercolumn_temperature_sbe39_C_FOR4,middle_watercolumn_temperature_sbe39_C_FOR4,bottom_watercolumn_temperature_sbe39_C_FOR4,temperature_shallow_sbe37_C_FOR4,temperature_deeper_sbe37_C_FOR4,upper_watercolumn_temperature_sbe39_C_FOR5,middle_watercolumn_temperature_sbe39_C_FOR5,bottom_watercolumn_temperature_sbe39_C_FOR5,temperature_shallow_sbe37_C_FOR5,temperature_deeper_sbe37_C_FOR5,mean_temp,sd_temp
2018-01-01T00:00:00Z,NA,29.15,28.96,29.25,29.09,28.95,28.86,28.71,28.98,NA,29.11,29.06,28.93,NA,29,29.004166666666666,0.1419640372727818
2018-01-02T00:00:00Z,NA,29.26,29.16,29.32,29.22,29.01,28.97,28.88,29.03,NA,29.22,29.19,29.09,NA,29.15,29.125,0.1306974298975241
2018-01-03T00:00:00Z,NA,29.1,29.06,29.13,29.09,29,28.93,28.71,29.03,NA,29.03,29.01,28.94,NA,28.97,29,0.11037127426019025
2018-01-04T00:00:00Z,NA,29.02,29.03,29.01,29.03,28.79,28.74,28.63,28.8,NA,29.02,29.01,28.98,NA,29,28.921666666666667,0.14083086782851806
2018-01-05T00:00:00Z,NA,28.76,28.72,28.75,28.76,28.64,28.6,28.56,28.67,NA,28.84,28.84,28.87,NA,28.86,28.739166666666666,0.10422513510607115
2018-01-06T00:00:00Z,NA,28.64,28.59,28.67,28.62,28.74,28.7,28.69,28.75,NA,28.69,28.69,28.69,NA,28.7,28.680833333333332,0.045817490374772764
2018-01-07T00:00:00Z,NA,28.71,28.63,28.66,28.69,28.55,28.52,28.44,28.56,NA,28.7,28.69,28.65,NA,28.68,28.623333333333335,0.08595277068180399
2018-01-08T00:00:00Z,NA,28.51,28.43,28.62,28.48,28.52,28.51,28.45,28.52,NA,28.6,28.6,28.57,NA,28.6,28.534166666666668,0.06331139971074247
2018-01-09T00:00:00Z,NA,28.56,28.37,28.66,28.48,28.56,28.52,28.43,28.6,NA,28.59,28.58,28.54,NA,28.58,28.539166666666667,0.07948222595287702
2018-01-10T00:00:00Z,NA,28.8,28.68,28.86,28.76,28.66,28.58,28.42,28.71,NA,28.68,28.67,28.52,NA,28.64,28.665,0.119354323530631
2018-01-11T00:00:00Z,NA,28.88,28.68,28.99,28.82,28.65,28.57,28.41,28.7,NA,28.85,28.81,28.67,NA,28.75,28.731666666666666,0.15396772585857244
