File Name,Sample Name,Injection_Type,Bleaching_Status,Stress_status,Treatment,Sample_Type,Timepoint_char,Treatment_Time,Timepoint,Bottle_NR,Notes,PLANC_aquaria,Well,Gate Name,Concentration
NA,ABC_109,NA,Bleached,Thermal Stress,Bleached + Heated,FCM,T0,Bleached + Heated_T0,0,1,NA,PB1_T7H,A1,SYBR Polygon,167.285714
NA,ABC_110,NA,Bleached,Thermal Stress,Bleached + Heated,FCM,T0,Bleached + Heated_T0,0,2,NA,PB2_T7H,A2,SYBR Polygon,163.102041
NA,ABC_111,NA,Bleached,Thermal Stress,Bleached + Heated,FCM,T0,Bleached + Heated_T0,0,3,NA,PB3_T7H,A3,SYBR Polygon,174.857143
NA,ABC_113,NA,Non Bleached,Thermal Stress,Heated,FCM,T0,Heated_T0,0,5,NA,HE2_T7H,A4,SYBR Polygon,332.55102
NA,ABC_114,NA,Non Bleached,Thermal Stress,Heated,FCM,T0,Heated_T0,0,6,NA,HE3_T7H,A5,SYBR Polygon,159.959184
NA,ABC_115,NA,NA,Thermal Stress,Negative Control + Heated,FCM,T0,Negative Control + Heated_T0,0,7,NA,NA,A6,SYBR Polygon,125.591837
NA,ABC_116,NA,NA,Thermal Stress,Negative Control + Heated,FCM,T0,Negative Control + Heated_T0,0,8,NA,NA,A7,SYBR Polygon,119.714286
NA,ABC_117,NA,NA,Thermal Stress,Negative Control + Heated,FCM,T0,Negative Control + Heated_T0,0,9,NA,NA,A8,SYBR Polygon,134.714286
NA,ABC_118,NA,Bleached,Ambient,Bleached,FCM,T0,Bleached_T0,0,10,NA,BL1_T7C,A9,SYBR Polygon,118.98
NA,ABC_119,NA,Bleached,Ambient,Bleached,FCM,T0,Bleached_T0,0,11,NA,BL2_T7C,A10,SYBR Polygon,140.938776
NA,ABC_120,NA,Bleached,Ambient,Bleached,FCM,T0,Bleached_T0,0,12,NA,BL3_T7C,A11,SYBR Polygon,174.020408
NA,ABC_121,NA,Non Bleached,Ambient,Control,FCM,T0,Control_T0,0,13,NA,HE1_T7C,A12,SYBR Polygon,148.72
NA,ABC_122,NA,Non Bleached,Ambient,Control,FCM,T0,Control_T0,0,14,NA,HE2_T7C,B1,SYBR Polygon,145.061224
NA,ABC_123,NA,Non Bleached,Ambient,Control,FCM,T0,Control_T0,0,15,NA,HE3_T7C,B2,SYBR Polygon,207.836735
NA,ABC_124,NA,NA,Ambient,Negative Control,FCM,T0,Negative Control_T0,0,16,NA,NA,B3,SYBR Polygon,131.183673
NA,ABC_125,NA,NA,Ambient,Negative Control,FCM,T0,Negative Control_T0,0,17,NA,NA,B4,SYBR Polygon,129.938776
NA,ABC_126,NA,NA,Ambient,Negative Control,FCM,T0,Negative Control_T0,0,18,NA,NA,B5,SYBR Polygon,139.061224
NA,ABC_127,NA,Bleached,Thermal Stress,Bleached + Heated,FCM,T2,Bleached + Heated_T2,2,1,NA,PB1_T7H,B6,SYBR Polygon,139.72
NA,ABC_128,NA,Bleached,Thermal Stress,Bleached + Heated,FCM,T2,Bleached + Heated_T2,2,2,NA,PB2_T7H,B7,SYBR Polygon,171.285714
NA,ABC_129,NA,Bleached,Thermal Stress,Bleached + Heated,FCM,T2,Bleached + Heated_T2,2,3,NA,PB3_T7H,B8,SYBR Polygon,196.66
NA,ABC_131,NA,Non Bleached,Thermal Stress,Heated,FCM,T2,Heated_T2,2,5,NA,HE2_T7H,B9,SYBR Polygon,177.77551
NA,ABC_132,NA,Non Bleached,Thermal Stress,Heated,FCM,T2,Heated_T2,2,6,NA,HE3_T7H,B10,SYBR Polygon,179.795918
NA,ABC_133,NA,NA,Thermal Stress,Negative Control + Heated,FCM,T2,Negative Control + Heated_T2,2,7,NA,NA,B11,SYBR Polygon,132.469388
NA,ABC_134,NA,NA,Thermal Stress,Negative Control + Heated,FCM,T2,Negative Control + Heated_T2,2,8,NA,NA,B12,SYBR Polygon,143.18
NA,ABC_135,NA,NA,Thermal Stress,Negative Control + Heated,FCM,T2,Negative Control + Heated_T2,2,9,NA,NA,C1,SYBR Polygon,167.142857
NA,ABC_136,NA,Bleached,Ambient,Bleached,FCM,T2,Bleached_T2,2,10,NA,BL1_T7C,C2,SYBR Polygon,139.428571
NA,ABC_137,NA,Bleached,Ambient,Bleached,FCM,T2,Bleached_T2,2,11,NA,BL2_T7C,C3,SYBR Polygon,135.204082
NA,ABC_138,NA,Bleached,Ambient,Bleached,FCM,T2,Bleached_T2,2,12,NA,BL3_T7C,C4,SYBR Polygon,166.244898
NA,ABC_139,NA,Non Bleached,Ambient,Control,FCM,T2,Control_T2,2,13,NA,HE1_T7C,C5,SYBR Polygon,189.1
NA,ABC_140,NA,Non Bleached,Ambient,Control,FCM,T2,Control_T2,2,14,NA,HE2_T7C,C6,SYBR Polygon,169.04
NA,ABC_141,NA,Non Bleached,Ambient,Control,FCM,T2,Control_T2,2,15,NA,HE3_T7C,C7,SYBR Polygon,192.693878
NA,ABC_142,NA,NA,Ambient,Negative Control,FCM,T2,Negative Control_T2,2,16,NA,NA,C8,SYBR Polygon,144.408163
NA,ABC_143,NA,NA,Ambient,Negative Control,FCM,T2,Negative Control_T2,2,17,NA,NA,C9,SYBR Polygon,146.040816
NA,ABC_144,NA,NA,Ambient,Negative Control,FCM,T2,Negative Control_T2,2,18,NA,NA,C10,SYBR Polygon,145.367347
NA,ABC_145,NA,Bleached,Thermal Stress,Bleached + Heated,FCM,T8,Bleached + Heated_T8,8,1,NA,PB1_T7H,C11,SYBR Polygon,679.66
NA,ABC_146,NA,Bleached,Thermal Stress,Bleached + Heated,FCM,T8,Bleached + Heated_T8,8,2,NA,PB2_T7H,C12,SYBR Polygon,862.52
NA,ABC_147,NA,Bleached,Thermal Stress,Bleached + Heated,FCM,T8,Bleached + Heated_T8,8,3,NA,PB3_T7H,D1,SYBR Polygon,522.04
NA,ABC_149,NA,Non Bleached,Thermal Stress,Heated,FCM,T8,Heated_T8,8,5,NA,HE2_T7H,D2,SYBR Polygon,1602.74
NA,ABC_150,NA,Non Bleached,Thermal Stress,Heated,FCM,T8,Heated_T8,8,6,NA,HE3_T7H,D3,SYBR Polygon,618.877551
NA,ABC_151,NA,NA,Thermal Stress,Negative Control + Heated,FCM,T8,Negative Control + Heated_T8,8,7,NA,NA,D4,SYBR Polygon,296.897959
NA,ABC_152,NA,NA,Thermal Stress,Negative Control + Heated,FCM,T8,Negative Control + Heated_T8,8,8,NA,NA,D5,SYBR Polygon,312.469388
NA,ABC_153,NA,NA,Thermal Stress,Negative Control + Heated,FCM,T8,Negative Control + Heated_T8,8,9,NA,NA,D6,SYBR Polygon,254.78
NA,ABC_154,NA,Bleached,Ambient,Bleached,FCM,T8,Bleached_T8,8,10,NA,BL1_T7C,D7,SYBR Polygon,433.68
NA,ABC_155,NA,Bleached,Ambient,Bleached,FCM,T8,Bleached_T8,8,11,NA,BL2_T7C,D8,SYBR Polygon,589.326531
NA,ABC_156,NA,Bleached,Ambient,Bleached,FCM,T8,Bleached_T8,8,12,NA,BL3_T7C,D9,SYBR Polygon,1155.56
NA,ABC_157,NA,Non Bleached,Ambient,Control,FCM,T8,Control_T8,8,13,NA,HE1_T7C,D10,SYBR Polygon,498.04
NA,ABC_158,NA,Non Bleached,Ambient,Control,FCM,T8,Control_T8,8,14,NA,HE2_T7C,D11,SYBR Polygon,437.959184
NA,ABC_159,NA,Non Bleached,Ambient,Control,FCM,T8,Control_T8,8,15,NA,HE3_T7C,D12,SYBR Polygon,516.938776
NA,ABC_160,NA,NA,Ambient,Negative Control,FCM,T8,Negative Control_T8,8,16,NA,NA,E1,SYBR Polygon,287.489796
NA,ABC_161,NA,NA,Ambient,Negative Control,FCM,T8,Negative Control_T8,8,17,NA,NA,E2,SYBR Polygon,272.84
NA,ABC_162,NA,NA,Ambient,Negative Control,FCM,T8,Negative Control_T8,8,18,NA,NA,E3,SYBR Polygon,242.591837
NA,ABC_163,NA,Bleached,Thermal Stress,Bleached + Heated,FCM,T12,Bleached + Heated_T12,12,1,NA,PB1_T7H,E4,SYBR Polygon,1369.26
NA,ABC_164,NA,Bleached,Thermal Stress,Bleached + Heated,FCM,T12,Bleached + Heated_T12,12,2,NA,PB2_T7H,E5,SYBR Polygon,1723.755102
