Treatment,Timepoint,Timepoint_char,mean,sd,n,se
Bleached,0,T0,144.64639466666665,27.706884619795805,3,15.99657729364501
Bleached,2,T2,146.95918366666666,16.834953514577474,3,9.719664943436142
Bleached,8,T8,726.1888436666667,379.90282056251084,3,219.33699571766374
Bleached,12,T12,1386.7919729999999,389.834487570519,3,225.07104633823897
Bleached,16,T16,1553.9209523333332,335.96052262564666,3,193.96689817500447
Bleached,20,T20,1946.1364626666668,510.04236616722176,3,294.4730974047592
Bleached,24,T24,1772.5866666666666,669.1791557821666,3,386.35076572692043
Bleached,32,T32,1922.5055783333332,530.1122546013753,3,306.06045289482347
Bleached,36,Tend,1849.1080273333334,561.7075036332294,3,324.3019784284777
Bleached + Heated,0,T0,168.41496600000002,5.9583565953397715,3,3.4400587842471992
Bleached + Heated,2,T2,169.22190466666666,28.526047425524364,3,16.469521160042525
Bleached + Heated,8,T8,688.0733333333333,170.3958501059616,3,98.37808992747206
Bleached + Heated,12,T12,1577.807755,185.35318353570963,3,107.01371040949607
Bleached + Heated,16,T16,1936.4933333333333,104.6952345301989,3,60.44582183888134
Bleached + Heated,20,T20,2081.8,81.03499244153731,3,46.785574699900856
Bleached + Heated,24,T24,2148.4691156666668,44.54135678946177,3,25.71596433246692
Bleached + Heated,32,T32,2009.0819046666666,61.58519873868437,3,35.55623106987602
Bleached + Heated,36,Tend,1657.7066666666667,18.904415709916307,3,10.914469498992771
Control,0,T0,167.20598633333333,35.23478343008398,3,20.342811698197153
Control,2,T2,183.61129266666666,12.746408013748875,3,7.359142097938716
Control,8,T8,484.31265333333334,41.240441595620055,3,23.810180056730278
Control,12,T12,1085.912517,204.7679157948478,3,118.222811305554
Control,16,T16,1404.699728,251.91471641819956,3,145.44302933687575
Control,20,T20,1681.8695236666667,273.7171109146096,3,158.0306476683565
Control,24,T24,1561.9838096666667,237.83102821164582,3,137.3118081596392
Control,32,T32,1441.264898,286.2742868599107,3,165.2805365806376
Control,36,Tend,1271.2983673333333,372.270848994273,3,214.93067487829407
Heated,0,T0,246.255102,122.0408576130365,2,86.29591799999999
Heated,2,T2,178.78571399999998,1.4286441975635524,2,1.0102040000000017
Heated,8,T8,1110.8087755000001,695.6958094427038,2,491.9312245
Heated,12,T12,2187.7653065,787.096431978877,2,556.5612245000001
Heated,16,T16,2446.9806120000003,583.9561986763982,2,412.91938799999997
Heated,20,T20,3089.567551,1351.7229284608422,2,955.8124489999999
Heated,24,T24,3160.0612245,1117.603914325231,2,790.2653065000001
Heated,32,T32,3007.1400000000003,1280.1461166601257,2,905.1999999999999
Heated,36,Tend,2549.2799999999997,1224.3695337601307,2,865.7599999999999
Negative Control,0,T0,133.39455766666666,4.946794177561102,3,2.856032950040576
Negative Control,2,T2,145.27210866666667,0.8204826078012479,3,0.4737058544794567
Negative Control,8,T8,267.6405443333333,22.896122706992212,3,13.219082608280658
Negative Control,12,T12,728.02,359.10869719348204,3,207.33150299299268
Negative Control,16,T16,1022.5912926666666,509.3889931700654,3,294.09587232896973
Negative Control,20,T20,1222.552653,490.7737285360487,3,283.34834428148406
Negative Control,24,T24,1206.32,516.3014948651611,3,298.08680704340696
Negative Control,32,T32,1190.0619046666666,464.88094024380393,3,268.3991359908865
Negative Control,36,Tend,1060.3266666666666,435.91152145054997,3,251.67363425233435
Negative Control + Heated,0,T0,126.67346966666666,7.558270100968887,3,4.363769277402287
Negative Control + Heated,2,T2,147.597415,17.75380324283106,3,10.250163081388164
Negative Control + Heated,8,T8,288.0491156666667,29.84531610164389,3,17.231201285333572
Negative Control + Heated,12,T12,480.7142856666666,82.11268061695743,3,47.407778258082146
Negative Control + Heated,16,T16,543.3736053333333,113.69273470875473,3,65.64053098900425
Negative Control + Heated,20,T20,637.2594556666667,81.4601370589188,3,47.031032059190586
Negative Control + Heated,24,T24,693.8647619999999,71.01965541993208,3,41.00321717445225
Negative Control + Heated,32,T32,728.8571430000001,73.27414813150513,3,42.304849148365
Negative Control + Heated,36,Tend,703.24,45.62478712279105,3,26.341483127062784
