File Name,Sample Name,Injection_Type,Temp,Bleaching_Status,Stress_status,Treatment,Sample_Type,Timepoint_char,Timepoint,Bottle_NR,Notes,PLANC_aquaria,Experiment,MDS1,MDS2,stress_status_v1
Mo_2019_320,ABC_019,Sample,Hot,Bleached,Thermal Stress,Bleached + Heated,PPL,T0,0,1,not applicable,PB1_T7H,ABCDOM,-0.02912531145578698,-0.015982675793353673,Stressed
Mo_2019_321,ABC_020,Sample,Hot,Bleached,Thermal Stress,Bleached + Heated,PPL,T0,0,2,not applicable,PB2_T7H,ABCDOM,-0.025586131978615846,-0.0076726932101236715,Stressed
Mo_2019_322,ABC_021,Sample,Hot,Bleached,Thermal Stress,Bleached + Heated,PPL,T0,0,3,not applicable,PB3_T7H,ABCDOM,-0.025640811423874234,-0.023014687750891834,Stressed
Mo_2019_323,ABC_023,Sample,Hot,Non Bleached,Thermal Stress,Heated,PPL,T0,0,5,not applicable,HE2_T7H,ABCDOM,-0.13310911350827392,-0.02544613265723069,Stressed
Mo_2019_324_B,ABC_024,Sample,Hot,Non Bleached,Thermal Stress,Heated,PPL,T0,0,6,not applicable,HE3_T7H,ABCDOM,-0.0371356159888419,0.004387987054058461,Stressed
Mo_2019_325,ABC_025,Sample,Hot,not applicable,Thermal Stress,Negative Control + Heated,PPL,T0,0,7,not applicable,not applicable,ABCDOM,0.05050898063566041,0.03096237701922018,NA
Mo_2019_326,ABC_026,Sample,Hot,not applicable,Thermal Stress,Negative Control + Heated,PPL,T0,0,8,not applicable,not applicable,ABCDOM,0.049339414936926576,0.027608632884159677,NA
Mo_2019_327,ABC_027,Sample,Hot,not applicable,Thermal Stress,Negative Control + Heated,PPL,T0,0,9,not applicable,not applicable,ABCDOM,0.04945846243745888,0.015304507626151233,NA
Mo_2019_328,ABC_028,Sample,Ambient,Bleached,Ambient,Bleached,PPL,T0,0,10,not applicable,BL1_T7C,ABCDOM,0.006946534917824635,-0.008331434176126267,Stressed
Mo_2019_329,ABC_029,Sample,Ambient,Bleached,Ambient,Bleached,PPL,T0,0,11,not applicable,BL2_T7C,ABCDOM,-0.004698571554216165,0.028908322610085652,Stressed
Mo_2019_330,ABC_030,Sample,Ambient,Bleached,Ambient,Bleached,PPL,T0,0,12,not applicable,BL3_T7C,ABCDOM,-0.08973541537595571,0.07310713220471132,Stressed
Mo_2019_331,ABC_031,Sample,Ambient,Non Bleached,Ambient,Control,PPL,T0,0,13,not applicable,HE1_T7C,ABCDOM,0.03448323140381412,-0.07371516797634978,Control
Mo_2019_332,ABC_032,Sample,Ambient,Non Bleached,Ambient,Control,PPL,T0,0,14,not applicable,HE2_T7C,ABCDOM,0.011633582591722601,-0.04611612536984531,Control
Mo_2019_333,ABC_033,Sample,Ambient,Non Bleached,Ambient,Control,PPL,T0,0,15,not applicable,HE3_T7C,ABCDOM,0.011524952137942987,-0.024024420809480605,Control
Mo_2019_334,ABC_034,Sample,Ambient,not applicable,Ambient,Negative Control,PPL,T0,0,16,not applicable,not applicable,ABCDOM,0.04351305091927683,0.006992279504194966,NA
Mo_2019_335,ABC_035,Sample,Ambient,not applicable,Ambient,Negative Control,PPL,T0,0,17,not applicable,not applicable,ABCDOM,0.04808891237802491,0.02126654487988641,NA
Mo_2019_336,ABC_036,Sample,Ambient,not applicable,Ambient,Negative Control,PPL,T0,0,18,not applicable,not applicable,ABCDOM,0.03953384892691281,0.015765553960933945,NA
