Treatment,Bottle_NR,T0,T24,log10_T0,log10_T24,Specific_Growth_rate
Bleached + Heated,1,167.285714,2199.367347,2.2234588543163567,3.342297772994747,0.10736191790484721
Bleached + Heated,2,163.102041,2129.42,2.212459395678483,3.328261328743563,0.10707049382703665
Bleached + Heated,3,174.857143,2116.62,2.2426833781501014,3.3256428954703092,0.10391899034951828
Heated,5,332.55102,3950.326531,2.521858284239609,3.5966329955632528,0.10313359000743132
Heated,6,159.959184,2369.795918,2.2040091800001114,3.3747109470638015,0.11233859039781992
Negative Control + Heated,7,125.591837,736.489796,2.09896141280035,2.8671667341092775,0.0737157022906025
Negative Control + Heated,8,119.714286,733.22449,2.078145979652522,2.8652369621470237,0.07552793886186823
Negative Control + Heated,9,134.714286,611.88,2.129413653644163,2.7866662580150985,0.06306886449442771
Bleached,10,118.98,1276.04,2.075473964588946,3.1058642884188403,0.09887453815751025
Bleached,11,140.938776,1508.14,2.1490304954941988,3.178441658778651,0.09878057954350389
Bleached,12,174.020408,2533.58,2.240600182547333,3.4037346220705493,0.11161244225924864
Control,13,148.72,1827.122449,2.172369376763842,3.261767653615821,0.10453684298292114
Control,14,145.061224,1367.44898,2.161551337638365,3.1359111316286366,0.09349794189831646
Control,15,207.836735,1491.38,2.317722311256757,3.173588314731649,0.08212747525011148
Negative Control,16,131.183673,922.16,2.117879786508846,2.9648062801518407,0.0812696547858257
Negative Control,17,129.938776,894.52,2.113738771472373,2.951590055124226,0.08039881276042571
Negative Control,18,139.061224,1802.28,2.14320604767369,3.2558222633402916,0.10676479769500763
