"","Sample_Name","Sample_Name_Unique","PCR_setting","Experiment.x","Replicate","Temp","Origin_PlanC","Field_Treatment","Bleaching_Status","Bleaching_Susceptability","Stress_status","Treatment_old","Treatment","Sample_Type","Timepoint_char","Timepoint","Bottle_NR","Notes","PLANC_aquaria","Experiment.y"
"1","ABC_001","ABC_001_v1","Standard","ABC","II","Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","Sterivex","T0",0,1,NA,"PB1_T7H",NA
"2","ABC_001","ABC_001","Standard","ABC","I","Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","Sterivex","T0",0,1,NA,"PB1_T7H",NA
"3","ABC_002","ABC_002","Standard","ABC","I","Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","Sterivex","T0",0,2,NA,"PB2_T7H",NA
"4","ABC_002","ABC_002_v1","Standard","ABC","II","Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","Sterivex","T0",0,2,NA,"PB2_T7H",NA
"5","ABC_003","ABC_003_v1","Standard","ABC","II","Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","Sterivex","T0",0,3,NA,"PB3_T7H",NA
"6","ABC_003","ABC_003","Standard","ABC","I","Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","Sterivex","T0",0,3,NA,"PB3_T7H",NA
"7","ABC_005","ABC_005","Standard","ABC","I","Hot","Healthy","Bleaching","Non Bleached","Resistant","Thermal Stress","Heated","Non-bleached + Heated","Sterivex","T0",0,5,NA,"HE2_T7H","ABCDOM"
"8","ABC_005","ABC_005_v1","Standard","ABC","II","Hot","Healthy","Bleaching","Non Bleached","Resistant","Thermal Stress","Heated","Non-bleached + Heated","Sterivex","T0",0,5,NA,"HE2_T7H","ABCDOM"
"9","ABC_006","ABC_006","Standard","ABC","I","Hot","Healthy","Bleaching","Non Bleached","Resistant","Thermal Stress","Heated","Non-bleached + Heated","Sterivex","T0",0,6,NA,"HE3_T7H","ABCDOM"
"10","ABC_006","ABC_006_v1","Standard","ABC","II","Hot","Healthy","Bleaching","Non Bleached","Resistant","Thermal Stress","Heated","Non-bleached + Heated","Sterivex","T0",0,6,NA,"HE3_T7H","ABCDOM"
"11","ABC_007","ABC_007","Standard","ABC","I","Hot","control","Hot Water Control",NA,NA,"Thermal Stress","Heated Water Control","Heated Water Control","Sterivex","T0",0,7,NA,NA,"ABCDOM"
"12","ABC_007","ABC_007_v1","Standard","ABC","II","Hot","control","Hot Water Control",NA,NA,"Thermal Stress","Heated Water Control","Heated Water Control","Sterivex","T0",0,7,NA,NA,"ABCDOM"
"13","ABC_008","ABC_008","Standard","ABC","I","Hot","control","Hot Water Control",NA,NA,"Thermal Stress","Heated Water Control","Heated Water Control","Sterivex","T0",0,8,NA,NA,"ABCDOM"
"14","ABC_008","ABC_008_v1","Standard","ABC","II","Hot","control","Hot Water Control",NA,NA,"Thermal Stress","Heated Water Control","Heated Water Control","Sterivex","T0",0,8,NA,NA,"ABCDOM"
"15","ABC_009","ABC_009","Standard","ABC","I","Hot","control","Hot Water Control",NA,NA,"Thermal Stress","Heated Water Control","Heated Water Control","Sterivex","T0",0,9,NA,NA,"ABCDOM"
"16","ABC_009","ABC_009_v1","Standard","ABC","II","Hot","control","Hot Water Control",NA,NA,"Thermal Stress","Heated Water Control","Heated Water Control","Sterivex","T0",0,9,NA,NA,"ABCDOM"
"17","ABC_010","ABC_010_v1","Standard","ABC","II","Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","Sterivex","T0",0,10,NA,"BL1_T7C","ABCDOM"
"18","ABC_010","ABC_010","Standard","ABC","I","Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","Sterivex","T0",0,10,NA,"BL1_T7C","ABCDOM"
"19","ABC_011","ABC_011_v1","Standard","ABC","II","Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","Sterivex","T0",0,11,NA,"BL2_T7C","ABCDOM"
"20","ABC_011","ABC_011","Standard","ABC","I","Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","Sterivex","T0",0,11,NA,"BL2_T7C","ABCDOM"
"21","ABC_012","ABC_012","Standard","ABC","I","Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","Sterivex","T0",0,12,NA,"BL3_T7C","ABCDOM"
"22","ABC_012","ABC_012_v1","Standard","ABC","II","Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","Sterivex","T0",0,12,NA,"BL3_T7C","ABCDOM"
"23","ABC_013","ABC_013_v1","Standard","ABC","II","Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","Sterivex","T0",0,13,NA,"HE1_T7C","ABCDOM"
