Source,Target,Edge_weight
Otu00001,Otu00018,1
Otu00001,Otu00005,1
Otu00001,Otu00008,1
Otu00101,Otu00277,1
Otu00101,Otu00075,1
Otu00101,Otu00085,1
Otu00101,Otu00886,1
Otu00897,Otu01285,1
Otu00897,Otu00420,1
Otu00897,Otu00060,1
Otu00897,Otu00862,1
Otu00109,Otu00147,1
Otu00109,Otu00195,1
Otu00109,Otu00234,1
Otu00109,Otu00480,1
Otu00011,Otu00335,1
Otu00110,Otu01307,1
Otu00110,Otu00038,1
Otu00988,Otu00445,1
Otu00988,Otu00610,1
Otu01012,Otu01023,1
Otu01023,Otu00410,1
Otu01024,Otu01153,1
Otu01024,Otu00754,1
Otu00012,Otu00060,1
Otu00012,Otu00818,1
Otu00013,Otu00147,1
Otu01139,Otu00014,1
Otu00131,Otu00075,1
Otu01153,Otu00335,1
Otu01153,Otu00801,1
Otu01163,Otu00507,1
Otu00134,Otu00147,1
Otu00134,Otu00234,1
Otu00134,Otu00389,1
Otu00134,Otu00041,1
Otu00014,Otu00289,1
Otu00014,Otu00356,1
Otu00014,Otu00458,1
Otu00014,Otu00063,1
Otu01224,Otu01296,1
Otu01224,Otu00002,1
Otu01224,Otu00277,1
Otu01224,Otu00048,1
Otu01224,Otu00734,1
Otu00147,Otu00017,1
Otu00147,Otu00024,1
Otu00147,Otu00308,1
Otu00147,Otu00034,1
Otu00147,Otu00039,1
Otu01285,Otu00248,1
Otu01285,Otu00003,1
Otu01285,Otu00721,1
Otu01285,Otu00093,1
Otu01307,Otu00016,1
Otu01307,Otu00222,1
Otu01307,Otu00263,1
Otu01307,Otu00626,1
Otu01307,Otu00721,1
Otu00016,Otu00664,1
Otu00016,Otu00853,1
Otu00161,Otu00006,1
Otu00163,Otu00189,1
Otu00163,Otu00023,1
Otu00163,Otu00034,1
Otu00163,Otu00039,1
Otu00163,Otu00389,1
Otu00167,Otu00511,1
Otu00167,Otu00590,1
Otu00017,Otu00023,1
Otu00017,Otu00387,1
Otu00017,Otu00041,1
Otu00017,Otu00500,1
Otu01459,Otu00230,1
Otu01459,Otu00368,1
Otu01459,Otu00457,1
Otu01459,Otu00853,1
Otu00018,Otu00022,1
Otu00018,Otu00053,1
Otu00179,Otu00853,1
Otu00181,Otu00660,1
Otu00186,Otu00290,1
Otu00186,Otu00368,1
Otu00189,Otu00334,1
Otu00189,Otu00445,1
Otu00199,Otu00731,1
Otu00205,Otu00682,1
Otu00205,Otu00847,1
Otu00022,Otu00387,1
Otu00022,Otu00047,1
Otu00022,Otu00083,1
Otu00222,Otu00626,1
Otu00222,Otu00862,1
Otu00023,Otu00649,1
Otu00227,Otu00024,1
Otu00227,Otu00387,1
Otu00227,Otu00048,1
Otu00230,Otu00853,1
Otu00234,Otu00277,1
Otu00234,Otu00389,1
Otu00024,Otu00043,1
Otu00024,Otu00047,1
Otu00024,Otu00500,1
Otu00243,Otu00057,1
Otu00247,Otu00455,1
Otu00247,Otu00056,1
Otu00247,Otu00061,1
Otu00251,Otu00284,1
Otu00251,Otu00589,1
Otu00251,Otu00660,1
Otu00263,Otu00507,1
Otu00263,Otu00061,1
Otu00263,Otu00664,1
Otu00027,Otu00500,1
Otu00268,Otu00499,1
Otu00276,Otu00043,1
Otu00277,Otu00886,1
Otu00284,Otu00511,1
Otu00289,Otu00356,1
Otu00289,Otu00480,1
Otu00289,Otu00610,1
Otu00290,Otu00301,1
Otu00003,Otu00801,1
Otu00030,Otu00299,1
Otu00030,Otu00004,1
Otu00030,Otu00886,1
Otu00295,Otu00389,1
Otu00295,Otu00395,1
Otu00295,Otu00687,1
Otu00299,Otu00075,1
Otu00308,Otu00047,1
Otu00313,Otu00085,1
Otu00322,Otu00886,1
Otu00034,Otu00083,1
Otu00335,Otu00604,1
Otu00348,Otu00007,1
Otu00348,Otu00009,1
Otu00036,Otu00455,1
Otu00036,Otu00061,1
Otu00036,Otu00007,1
Otu00356,Otu00610,1
Otu00039,Otu00083,1
Otu00004,Otu00585,1
Otu00387,Otu00397,1
Otu00387,Otu00053,1
Otu00387,Otu00589,1
Otu00389,Otu00500,1
Otu00041,Otu00058,1
Otu00041,Otu00801,1
Otu00395,Otu00500,1
Otu00044,Otu00481,1
Otu00044,Otu00061,1
Otu00419,Otu00802,1
Otu00420,Otu00061,1
Otu00420,Otu00862,1
Otu00423,Otu00079,1
Otu00445,Otu00458,1
Otu00449,Otu00056,1
Otu00449,Otu00006,1
Otu00455,Otu00687,1
Otu00457,Otu00476,1
Otu00053,Otu00083,1
Otu00508,Otu00664,1
Otu00511,Otu00589,1
Otu00511,Otu00093,1
Otu00056,Otu00006,1
Otu00057,Otu00006,1
Otu00057,Otu00886,1
Otu00571,Otu00823,1
Otu00626,Otu00682,1
Otu00626,Otu00862,1
Otu00649,Otu00664,1
Otu00664,Otu00686,1
Otu00664,Otu00746,1
Otu00075,Otu00734,1
Otu00075,Otu00085,1
Otu00687,Otu00847,1
Otu00079,Otu00847,1
