"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"1","Bleached + Heated vs Non-bleached + Heated",1,0.0337105154528041,1.26780446554683,0.240670372987207,0.3,1,""
"2","Bleached + Heated vs Heated Water Control",1,0.169405034563074,5.01071122719145,0.556083876272799,0.1,1,""
"3","Bleached + Heated vs Bleached + Ambient",1,0.278342466934583,7.2736028879589,0.6451888504719,0.1,1,""
"4","Bleached + Heated vs Non-bleached + Ambient",1,0.409326987204162,7.18431271082529,0.64235620878801,0.1,1,""
"5","Bleached + Heated vs Ambient Water Control",1,0.538816079997446,11.8468560534024,0.747584001109092,0.1,1,""
"6","Non-bleached + Heated vs Heated Water Control",1,0.187512639033223,4.243171797365,0.514749892598546,0.1,1,""
"7","Non-bleached + Heated vs Bleached + Ambient",1,0.231819220419754,4.7649893682772,0.543638921630977,0.1,1,""
"8","Non-bleached + Heated vs Non-bleached + Ambient",1,0.430199515339493,6.38674803120669,0.61489390250133,0.1,1,""
"9","Non-bleached + Heated vs Ambient Water Control",1,0.571951085692955,10.2381266415297,0.719064164780442,0.1,1,""
"10","Heated Water Control vs Bleached + Ambient",1,0.560401240870302,10.0305536911379,0.714907901138177,0.1,1,""
"11","Heated Water Control vs Non-bleached + Ambient",1,0.490139513308781,6.57225685794288,0.621651265784862,0.1,1,""
"12","Heated Water Control vs Ambient Water Control",1,0.412296680476116,6.5357066583109,0.620338708192424,0.1,1,""
"13","Bleached + Ambient vs Non-bleached + Ambient",1,0.17113095083941,2.16522927883239,0.351200122640444,0.1,1,""
"14","Bleached + Ambient vs Ambient Water Control",1,0.281533714973164,4.16823799535881,0.510298303958235,0.1,1,""
"15","Non-bleached + Ambient vs Ambient Water Control",1,0.172541786382785,2.00047878952707,0.333386527924839,0.1,1,""
