"","Mo_2019_110","Mo_2019_111","Mo_2019_112","Mo_2019_113","Mo_2019_114","Mo_2019_115","Mo_2019_116","Mo_2019_117","Mo_2019_118","Mo_2019_119","Mo_2019_120","Mo_2019_121","Mo_2019_230","Mo_2019_231","Mo_2019_232","Mo_2019_233","Mo_2019_234","Mo_2019_235","Mo_2019_236","Mo_2019_237","Mo_2019_238","Mo_2019_239","Mo_2019_240","Mo_2019_241","Mo_2019_320","Mo_2019_321","Mo_2019_322","Mo_2019_323","Mo_2019_324","Mo_2019_324_B","Mo_2019_325","Mo_2019_326","Mo_2019_327","Mo_2019_328","Mo_2019_329","Mo_2019_330","Mo_2019_331","Mo_2019_332","Mo_2019_333","Mo_2019_334","Mo_2019_335","Mo_2019_336","Mo_2019_337","Mo_2019_338","Mo_2019_339","Mo_2019_340","Mo_2019_341","Mo_2019_342","Mo_2019_343","Mo_2019_344","Mo_2019_345","Mo_2019_346","Mo_2019_347","Mo_2019_348","Mo_2019_349","Mo_2019_350","Mo_2019_351","Mo_2019_352","Mo_2019_353","Mo_2019_543"
"1_570.4208_10.666_107_N/A_smenospongidine_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",4014137,4033468,4541355,3690874,3594891,4673435,3902823,3808180,4165637,4918231,4290081,3942428,3703749,6332853,5405850,3962483,4214179,4734437,3258165,5364967,3787801,3931902,4556995,4363183,160836100,111861500,109665000,123987500,87518640,106965700,88825980,188233700,84345820,95391860,89324770,133161800,67418530,59052310,85054290,95855590,103494600,94250080,75736980,86131860,91429210,95508000,125426900,126352300,151103500,87422890,69901780,128379800,96520090,128638100,81457250,98075010,168718000,99731370,174160000,105749800
"2_614.4473_10.663_107_N/A_(2-aminoethoxy)[2,3-bis(tetradecanoyloxy)propoxy]phosphinic acid_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",3914189,3775572,3456538,2303110,2671508,3681120,3552117,2684516,3211221,4653648,2755010,3117393,3865471,4983779,3131566,3682967,3234817,3196211,2878910,3490091,4044704,4101848,3172334,3498415,129955100,108287900,112579600,116555800,3614311,3368628,92486650,6875579,82030620,90874860,92763360,129682900,75619010,2074727,4393600,82301090,114905300,89409440,82542570,99151080,110793600,97883440,124665800,135652600,170905700,102795400,3285094,3553523,3017832,100640100,3224007,113403700,165056700,87825190,5357035,117775000
"3_338.3418_12.4219_87_Spectral Match to 13-Docosenamide, (Z)- from NIST14_Spectral Match to 9-Octadecenamide, (Z)- from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides",90365700,92390320,126107500,56041420,132217500,98054330,120903100,80060130,95745480,112643100,108311500,142710500,207934100,236948600,167814900,184535200,121338700,32106670,145731300,136176100,127886200,183344300,230354000,178606100,795373500,455806800,584512700,515335800,301290000,204995600,757544200,396539600,286388400,814142700,274020200,456094200,504706800,1053931000,806762600,249498100,353304700,582615900,640171300,543110500,742600800,625584800,829441600,555850600,546885100,338718500,719183900,598833700,941038400,866696400,332064500,577125600,396377800,563663300,457183800,156122200
"4_526.3947_10.6831_107_N/A_5,6,11-trihydroxy-4-(hydroxymethyl)-8,12,15,15-tetramethyl-7-oxo-3-oxapentacyclo[9.5.0.01/4,?.0?,1/4?.01/4?,1/4?]hexadec-8-en-14-yl tetradecanoate_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",4056610,4545708,4353256,3788776,3821699,3979931,3613235,3574022,3522914,4955357,3928895,4116198,5033305,9145835,5255386,4014783,3824376,4302819,3977699,4190778,3735714,4532247,4659130,3779654,118240800,71841290,74300480,82644300,69390750,72500010,68085780,130365000,70847390,65040550,68649790,101044200,53621280,41126860,58483980,71795790,79988750,80845080,55986800,69102710,78574590,67420420,87335600,104237400,101819700,76433950,2457728,85975770,66761100,90974870,76074250,81110210,120566700,77600530,109637300,107540700
"5_658.4736_10.631_107_N/A_GalCer(d18:2/16:2); [M+H]+ C40H72N1O8_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",2879793,2408568,2808113,1927711,1922762,2736217,2375138,2106101,2585165,2768695,2514951,2236233,3136337,3907306,3114968,2151002,2388595,3004525,2343305,2366554,2886308,2485477,2171190,2267814,108700700,63209820,67482540,95327580,71253190,81177310,70657330,110972100,78837070,70412470,69111080,96756650,56666660,48219480,81242070,63291880,78483350,76465410,82389210,62762360,77227870,75444260,97016690,114100900,116789500,81748810,61344200,89519540,80094360,79491080,79019770,78533750,117241800,70821750,107306100,81375970
"6_536.1653_12.3652_172_Contaminants septum vial Thermo C4000-53 and C4000-54 serie_Contaminants septum vial Thermo C4000-53 and C4000-54 serie_NA_Organic compounds_Phenylpropanoids and polyketides_Flavonoids_Flavonoid glycosides",53298770,17398.18,391938700,31969.72,518920900,481953500,233252900,10673.04,1063436000,14117.33,62400170,309094100,57258630,781889.1,14079.88,397275900,63443980,4902747,99777480,331395200,685067300,611975000,3051043,283477400,1225296000,161269300,1379675000,1038313000,1600956000,75762390,20180050,468690500,984203500,175216700,624289600,13994190,580137.3,112047.9,1074534000,312349.8,991468800,748911200,648600900,103679600,977720000,3202751,372316600,1039105000,1252542000,11919800,365014.8,588882500,191845000,1467222000,2085911000,1835318000,1045745000,463853,1154566000,271926900
"8_554.1762_11.261_184_N/A_Contaminant vial septum ThermoFisher C5000-44B_NA_Organic compounds_Phenylpropanoids and polyketides_Flavonoids_Flavonoid glycosides",51792550,25542800,22891910,107632200,62222420,133175800,175134800,98627910,124488100,60993220,175356300,17178350,5697123,11718350,26623580,68145600,182453900,65031900,50005750,22561670,42432590,13232770,29206680,27626420,66621760,67611040,59304520,73800960,139522500,220183400,169262800,283854900,178615400,121696000,98518680,176596300,51292510,47756980,94210270,67112270,237321200,102841300,283616600,266843000,167022000,321650800,233137200,307197700,221560700,168270600,175651100,304110600,286271800,602278700,343505800,373509500,120116400,99070400,194488600,128751600
"9_227.1754_2.9523_112_N/A_Massbank:LU071601 SR271425|Formamide, N-((1-((2-(diethylamino)ethyl)amino)-7-methoxy-9-oxo-9H-thioxanthen-4-yl)methyl)-|N-[[1-[2-(diethylamino)ethylamino]-7-methoxy-9-oxothioxanthen-4-yl]methyl]formamide_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Amino acids, peptides, and analogues",569204400,860160000,514815500,617985600,914476600,489060600,1041483000,6430577000,536181800,1431192000,340978800,587330300,752875300,213518800,166567600,204851300,1911728000,1314080000,222341800,1102848000,431468900,763784600,837785900,816541000,6990536000,5327196000,7957195000,3711381000,6309483000,6359717000,1402842000,1657100000,1717439000,4600541000,2635540000,6239546000,2439464000,2074591000,1874292000,1734913000,1712205000,4434235000,6846016000,5100228000,6866724000,4227185000,6780702000,1464302000,1362694000,1676243000,4098758000,2763909000,6280065000,2467173000,2013956000,1895613000,1639841000,1443428000,4196928000,352572900
"10_702.4999_10.6147_107_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",2057547,1478613,1554499,1317496,1171758,1110567,1618067,1300017,1403849,1256354,1648160,1427057,2069763,1799761,1286126,1166740,1652636,1945079,1322905,1793004,1610693,1301468,966089.8,2071004,62228740,37311530,39061390,54990200,34441340,36577160,43196630,61312270,46234750,42435590,42072660,59532210,26075230,33232310,55150200,35607640,49371140,45375740,35411280,50690060,46360020,45013570,56818400,57858730,69798380,42005310,37972780,60900790,50196650,43933360,45177590,36896940,57311070,49797840,68457500,56369170
"11_446.2751_10.0563_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",19713770,4701135,2854106,5252074,3842068,15799090,2797872,7208858,3496457,10207850,4291461,1024549,2894370,7568575,2315344,559985,1562575,2388392,2750835,4102661,1787268,5464751,9124850,10251690,23679560,28575920,76983020,29010450,36165530,22851810,302611200,334092200,87018380,9777558,21011110,3445585,1487473,23267140,99849110,27475530,6162618,8860230,12163320,12988410,32241660,26685430,31250320,259535700,21036760,33474820,25061860,9746733,22163260,1145774,2031980,9284429,5663770,7418168,27556310,1364054
