"","Otu00001","Otu00002","Otu00003","Otu00004","Otu00005","Otu00006","Otu00007","Otu00008","Otu00009","Otu00011","Otu00012","Otu00013","Otu00014","Otu00016","Otu00017","Otu00018","Otu00019","Otu00022","Otu00023","Otu00024","Otu00026","Otu00027","Otu00028","Otu00030","Otu00034","Otu00036","Otu00038","Otu00039","Otu00041","Otu00043","Otu00044","Otu00045","Otu00047","Otu00048","Otu00052","Otu00053","Otu00055","Otu00056","Otu00057","Otu00058","Otu00060","Otu00061","Otu00062","Otu00063","Otu00067","Otu00073","Otu00075","Otu00076","Otu00078","Otu00079","Otu00082","Otu00083","Otu00085","Otu00089","Otu00090","Otu00093","Otu00095","Otu00096","Otu00100","Otu00101","Otu00109","Otu00110","Otu00111","Otu00112","Otu00115","Otu00117","Otu00121","Otu00123","Otu00131","Otu00133","Otu00134","Otu00141","Otu00146","Otu00147","Otu00161","Otu00163","Otu00181","Otu00186","Otu00189","Otu00199","Otu00205","Otu00215","Otu00222","Otu00227","Otu00234","Otu00243","Otu00248","Otu00251","Otu00252","Otu00263","Otu00268","Otu00275","Otu00276","Otu00277","Otu00284","Otu00289","Otu00299","Otu00304","Otu00308","Otu00313","Otu00322","Otu00323","Otu00334","Otu00335","Otu00348","Otu00364","Otu00368","Otu00370","Otu00387","Otu00389","Otu00395","Otu00404","Otu00408","Otu00410","Otu00420","Otu00423","Otu00443","Otu00449","Otu00480","Otu00481","Otu00499","Otu00508","Otu00511","Otu00529","Otu00562","Otu00565","Otu00585","Otu00586","Otu00589","Otu00590","Otu00604","Otu00610","Otu00611","Otu00626","Otu00649","Otu00650","Otu00655","Otu00678","Otu00682","Otu00687","Otu00721","Otu00742","Otu00758","Otu00823","Otu00853","Otu00862","Otu00907","Otu00988","Otu01024","Otu01118","Otu01139","Otu01258","Otu01328"
"ABC_055_v1",0.002667,0.26,0.05625,0.057083,0.001083,0.01475,0.000833,0.016833,0.014833,0,0.009083,0.00275,0.001917,0,0.00075,0.00725,0.01875,0.000917,0.000583,0.007083,0.003667,0.00975,0,0.068083,0.000917,0.01925,0.00625,0.001417,0.017167,0.007,0.015583,0.000417,0.001,0.045,0.002417,0.003083,0.004083,0.004083,0.001917,0.004583,0.01425,0.005417,0,0.002083,0.001333,0,0.041917,0,0,0.000417,0.00025,0.000917,0.027833,0.001333,0.000583,0.004,0,0,0,0.004917,0.002667,0.003333,0,0.008,0,0.011833,0.000333,0.001167,0.002,0,0.003667,0,0.001583,0.00175,0.011917,0.00625,0.013917,0.0015,0.003417,0.00225,0,0.003583,0,0.003583,0.0015,0.000583,0.006083,0,0.00675,0.005083,0.001417,0.00075,0.001833,0.0065,0.00025,0.000667,0.004833,0,0.0015,0.00275,0,0.000333,0,0.00175,0.00225,0,0.006917,0.001917,0.000917,0.001417,0.0015,0.001167,0,0.00075,0.001917,0.001667,0,0.000417,0.001167,0.001417,0,0,0.00075,0.001333,0,0.000417,0,0.001,0.000833,0.000167,0.001083,0.000667,0,0,0.002667,0,0,0.0035,0,0.000167,0.002417,0,0,0.001583,0.002667,0.00125,5e-04,0.001167,0,0.00075,0.000917,0,0.000583
"ABC_056",0.0045,0.262667,0.056833,0.0385,0.001,0.018083,0.001083,0.016667,0.016,0.000833,0.004833,0.00125,0.001167,0,0.000833,0.005333,0.015,0.001083,0.000667,0.00325,0.005,0.009833,0,0.088167,0.001333,0.013417,0.006,0.003417,0.009917,0.005417,0.011917,0,0.001333,0.0415,0.003,0.003083,0.004417,0.004833,0.003833,0.002833,0.012583,0.0065,0.000417,0.0015,0.000917,0,0.012083,0,0,0,0.000917,0.001167,0.01725,0.001083,0.00075,0.002667,0,0,0,0.003333,0.001667,0.00225,0,0.081667,0,0.00325,0.00025,0,0,0,0.003,0,0.00425,0.001583,0.017,0.00325,0.00525,0.001,0.001,0.000917,0,0.003167,0,0.003083,0.000667,0.000167,0.0055,0,0.011083,0.00025,0.001417,8.3e-05,0.00075,0.006167,0,0.00075,0.002833,0,0.001583,0.00075,0.000583,0.000833,0,5e-04,0.002,8.3e-05,0.0035,0.001417,0.0015,0.001083,0.000333,0.001083,5e-04,0.000833,0.00225,0,0,0.000917,0.000333,0.001583,0.0025,0.000833,0,0.000417,0.009583,0.002167,0,0.000667,0,0.002583,0.000167,0.0015,0,0,0.003833,0,8.3e-05,0.0015,0,0.000417,0.003917,0,0.000667,5e-04,0.002167,0.001333,0.001833,0.000333,0.002333,0,0.001333,0,0
"ABC_057",0.003917,0.195917,0.056833,0.037917,0.000833,0.012583,0.001167,0.021167,0.024167,5e-04,0.010917,0.003833,0.001083,0,0.00075,0.002333,0.0215,0.000667,5e-04,0.004833,0.005583,0.013083,0,0.066833,0.00075,0.013667,0.009583,0.002333,0.018167,0.005833,0.014167,0.001833,0.001167,0.04825,0.001583,0.0025,0.001417,0.0035,0.001667,0.00325,0.022167,0.006667,0.000333,0.000833,0.001083,0,0.028083,0,0,0.00025,5e-04,0.001083,0.022167,0.000167,8.3e-05,0.006917,0.0015,0,0,0.004667,0.0055,0.004333,0,0.04725,0,0.0115,0.000417,0.00025,0.000917,0.000667,0.003083,0,0.00325,0.002167,0.0105,0.003917,0.013583,0.002583,0.00175,0.002167,0.002417,0.004333,0.000667,0.0035,0.003333,0.000333,0.0085,0.000833,0.012583,0.0015,0.002167,0.00025,0.001,0.005333,0.001333,0.00075,0.004583,8.3e-05,0.002583,0.002417,0.001083,0.00125,0.002167,0.001167,0.0025,5e-04,0.009833,0.001417,0.000667,0.002583,0.00025,0.001417,0.000167,0.000917,0.001667,0.000917,8.3e-05,0.000917,0.000333,0.002583,0.001667,0.000333,0.00125,0.003833,0.002667,0.000833,0.001833,0.001,0.002083,8.3e-05,0.00125,0.000667,0.000167,0.000167,0.001417,0.000333,0.000333,0.001833,0.001083,0.000417,0.00175,0.000167,5e-04,0.00125,0.0025,0.00125,0.000583,5e-04,0.00025,0.000417,0.00025,5e-04,8.3e-05
"ABC_059_v1",0.003417,0.37575,0.06025,0.020167,0.00175,0.062,0.000583,0.013333,0.007083,0,0.004417,0.00875,0,0,0,0.001417,0.012583,0,0,0,0.004,0.011667,0,0.05475,0,0.010333,0.002083,0,0.001417,0,0.005667,0,0,0.041333,0,0.000667,0,0.004417,0.02225,0.000417,0.005083,0.005667,0,0,0,0,0.047333,0,0,0,0,0,0.0345,0.001,0,0.003333,0,0,0,0.00525,0,0.0015,0,0,0,0.002,0,0,0.003083,0,0,0,0.002333,0,0,0,0.009917,0,0,0,0.004917,0.003167,0,0,0,0.001583,0.001167,0.010167,0.000667,0,0,0.000833,0,0.00675,0.013417,0,0.003417,0,0,0.002333,0,0.0015,0.004833,0,0,0,0.00475,0,0,0,0,0,0,0,0,0,0,0.00175,0.002917,0.001,0,0,0.006,0.001667,0,0,0,0,0.006917,0,0,0,0.004333,0,0.002917,0.001417,0,0.0035,0,0,0,0.004167,0,0,0,0,0,0,0,0,0,0,0
"ABC_060",0.002667,0.296667,0.047333,0.03625,0.0015,0.012083,0.002,0.010667,0.005917,0.001167,0.0095,0.002417,0.001167,0,5e-04,0.002167,0.015417,0.00075,0.000583,0.00325,0.004833,0.010833,0,0.07125,0.001083,0.013833,0.0075,0.00175,0.008417,0.004333,0.016083,0.000417,0.000417,0.04775,0.003583,0.004083,0.0015,0.003583,0.00375,0.0025,0.017917,0.005417,0,5e-04,0.001083,0,0.011083,0,0,0.000833,0.000417,0.001083,0.01525,0.002,0.000417,0.005917,0,0,0,0.008,0.0035,0.00275,0,0.06975,0,0.00375,0.000417,0,0,0,0.002917,0,0.021583,0.0015,0.01375,0.003,0.006417,0.001333,0.001833,0.001417,0.001167,0.0035,0,0.002583,0.001167,0.00025,0.005917,0,0.009333,0.000333,0.000833,8.3e-05,0.001,0.007833,5e-04,0.000833,0.0045,0,0.000917,0.000833,0.001583,0.003833,0.001583,0.000417,0.000833,8.3e-05,0.002083,0.001833,0.000833,0.0015,0.000417,0.00075,0,5e-04,0.001,0.000667,0,8.3e-05,5e-04,0.000333,0.002,0.00075,0.00025,0.000667,0.00825,0.001583,0.001583,0,0.000583,0.002083,0.000667,0.001917,0,0.000833,0.002083,0.000333,0.00025,0.001333,0.000333,0.00075,0.003167,0,0,0.0015,0.002667,0.001,0.000583,0.000417,0.001417,0,0.00025,0.000417,8.3e-05
"ABC_061",0.012583,0.044583,0.021333,0.07575,0.005083,0.030583,0.001,0.027333,0.004583,0.00125,0.006417,0.000167,0.000833,0.00125,0.002,0.0085,0.008083,0.002917,0.001833,0.008,0.002167,0.003083,0,0.135833,0.00125,0.0345,0.007083,0.002083,0.046333,0.005,0.058,0.000167,0.00125,0.006667,0.004417,0.007833,0.0075,0.005083,0.006,0.009333,0.01575,0.020333,0.000417,0.002417,0.000667,0,0.011583,0.00225,0,0.000583,0.005083,0.001833,0.02,0.001167,0.00125,0.00325,0.002167,0,0,0.003167,0.052083,0.0035,0,0.002667,0,0.004083,0.001,0.003,0.000333,0.000667,0.012,0,0.04625,0.006167,0.00075,0.005667,0.003083,0.000917,0.001583,0.000833,0.00225,0.000333,0.001167,0.007667,0.00425,0.001417,0.000833,0,0.001167,0,0.004417,0.001167,0.00075,0.0035,0.000667,0.001833,0.005917,0,0.0025,5e-04,0.000833,0.012333,0.001583,0.00325,0,0,0.00225,0,0.001917,0.001667,0.00025,0.00175,0.00375,0.000417,0.00025,0.000833,0.000667,0.000417,0,0,0.001917,0.002333,8.3e-05,0,0.000667,0.001333,0,0.00075,0,0,0.00025,0.00175,0,0.00175,0,0.000167,0.000417,0.000333,5e-04,0.000667,0,0,0.00125,0,0,0.00025,0.00075,0.000583,0,0.001,0.000417,0,8.3e-05
"ABC_062",0.00875,0.070333,0.01875,0.054417,0.004833,0.029667,0.00175,0.011333,0.001833,0.001333,0.003833,0,0.002083,5e-04,0.00225,0.006917,0.00675,0.001167,0.00075,0.004583,0.002417,0.000833,0,0.1095,0.001333,0.024417,0.007417,0.00225,0.040833,0.005667,0.06975,0,0.001167,0.00875,0.00375,0.004917,0.001583,0.003917,0.0045,0.013833,0.007833,0.017917,0.001,0.00125,0.000583,0.027583,0.008833,0.00275,0.022833,0.001,0.001,0.00075,0.008083,0.002417,0.000917,0.003,0,0.014917,0.019917,0.002583,0.041667,0.004667,0.01725,0.000167,0.021167,0.004167,0.001,0.00175,0.000333,0,0.011083,0.01275,0.064167,0.006333,0.001667,0.004,0.002167,0.001083,0.001583,0,0.00175,0,0.000583,0.002833,0.00375,0.001,0.002167,0,0.000917,0,0.003167,0.000333,0.000417,0.002083,0.00075,0.002167,0.003667,0,0.00325,5e-04,0.000417,0.006167,0.00075,0.00175,0,8.3e-05,0.001333,0.000583,0.00175,0.001083,0.000333,0.00075,0.001083,0.000417,0.000417,0.000167,5e-04,5e-04,0,0,0.001833,0.001667,8.3e-05,0,0,0.000833,0,0.000417,0,0.00025,0.000333,0.000667,0,0.001917,0.000417,0,8.3e-05,8.3e-05,0.000583,5e-04,0,0,0.000833,0.00025,0,0.000167,0,5e-04,0,0.000417,0.000833,0.000917,0
"ABC_063",0.010417,0.169667,0.011,0.030167,0.003417,0.018667,0.002833,0.025917,0.002167,0.002917,0.014167,0.000833,0.001667,0.002083,0.002417,0.005167,0.021417,0.001,0.00225,0.004917,0.004667,0.003,0.002833,0.02,0.0025,0.087833,0.017583,0.001583,0.047833,0.00275,0.080917,0,0.00125,0.005667,0.004167,0.015,0.000417,0.009333,0.003,0.007167,0.047583,0.053333,0.003583,0.0025,0.001083,0,0.004667,0.001417,0,0.00525,5e-04,0.001833,0.003167,0.000417,0.00125,0.00725,0,0,0,0.002167,0.01325,0.007167,0,0,0,0.00425,0.002083,0.002417,0,0.001167,0.0065,0,0.000167,0.004083,0.00075,0.0135,0.004083,0.001833,0.003083,0.001333,0.00225,0,0.001333,0.010583,0.003667,0.000417,0.001,0,0,0,0.003583,0.001333,0.001167,0.000833,0.001083,0.00375,0.00125,0,0.002,0,0,0.00025,0,0.006,0,0,5e-04,0.003917,0.003667,0.00325,0.001917,0.0025,0,5e-04,0,0.001583,0.003167,0.001917,0,0,0.003417,0.002083,0.000583,0,0,0,0.000833,0.001167,0,0.00025,0.000333,0.001417,0,0.000833,0,0.000333,0.000917,0,0.000417,0.002333,0,0,0.001333,0,0,0.00025,0,0.000833,0,0.001083,0.000583,0,0.001417
"ABC_065",0.004333,0.441833,0.08625,0.042417,0.00175,0.009917,0.003083,0.018917,0.000667,0,0.009667,0.001167,0.001333,0,0.001,0.00425,0.007917,0.000583,5e-04,0.002833,0.005,0.003083,0,0.024833,0.001167,0.021,0.005,0.00075,0.0125,0.005083,0.01325,0,0.000333,0.029333,0.002833,0.00425,0.00325,0.00275,0.00225,0.005,0.018083,0.0055,0,5e-04,5e-04,8.3e-05,0.00475,0,0,0.000583,0.000417,0.000583,0.005,0.000833,0.000833,0.00125,0,0,0,0.002833,0.001167,0.001417,0,0.004583,0,0.001833,0.000167,0,0,0,0.001583,0,0,0.001,0.0245,0.003167,0.004417,0.001083,0.002417,0.001833,0.00125,0.001833,0,0.00275,0.001333,0.000333,0.008,0,0.004583,0.000167,0.00175,0.000167,0.001083,0.00275,0.000583,5e-04,0.001333,0,5e-04,0.000417,0,0.00025,0,0,0,0.00025,0.000583,0.004333,0.001,0.0015,0.00125,0,0,0,0.002417,0.00025,0,0,8.3e-05,0.001833,0.001167,0,0,0.000333,0,0.00025,0,0,0,0.01175,0,0.001333,0,0,0.00325,0.00025,0.001,0.000417,0,0.001083,0.00525,0,0.000667,0,0,0.001417,0.000833,0.000833,0.007333,0,0.002,0,0.000417
"ABC_066",0.00225,0.223917,0.023833,0.028,0.001333,0.014583,0.000583,0.007083,0.004,0.000917,0.0045,0.000667,0,0,0.000333,0.001167,0.018583,0.000167,0.00025,0.004917,0.002083,0.004083,0.01,0.05575,0.000417,0.009667,0.007333,0.000417,0.0125,0.003583,0.00875,0.001083,0.000667,0.0225,0.001583,0.000583,0,0.003083,0.006167,0.006833,0.005583,0.001667,0,0,0.000667,0,0.09925,0,0,0,0.000167,0.000167,0.074417,0.000333,0.000417,0.0085,0,0,0,0.019,5e-04,0.001333,0,0.000833,0,0.004833,8.3e-05,0,0.0015,0.001583,0.001917,0,0.010167,0.000833,0.003167,0.000333,0.027667,0.005333,0.000167,0.0015,0,0.002083,0,0.000833,0.000167,0.003833,0.00175,0.007667,0.001583,0.00375,0.001917,0.000167,0.003,0.004333,0.01775,0,0.006667,0.010917,0.000667,0.008083,0.00375,0.001333,0.004667,0.000667,0.000917,0,0.000167,0.002667,0.000167,0.001083,0.000667,0.001167,5e-04,0,0.003667,0,0,0.000167,0.022833,0.000333,0.00075,0,0.009,0.0015,0,8.3e-05,0.001,0,0.008083,0,0.000167,0,0.00325,0,0.0015,0.002667,0,0.000583,0,0.00025,0,0.003083,0,0.001167,0,5e-04,0,0,0,0,0,0,0
