"","max_blanks","mean_samples","flag"
"1_150.1278_3.7857_-1_4-Butylaniline_4-Butylaniline_Organic compounds_Benzenoids_Benzene and substituted derivatives_Aniline and substituted anilines",110969.4,1535.01980555556,1
"2_150.1278_4.7297_920_N-Butylaniline_N-Butylaniline_Organic compounds_Benzenoids_Benzene and substituted derivatives_Carbonyl compounds",482655.8,43225.9962777778,1
"4_151.0354_0.7042_1851_N/A_NA_Organic compounds_Organoheterocyclic compounds_Imidazopyrimidines_Purines and purine derivatives",10244.26,5828.17755555556,1
"5_151.0753_9.3831_-1_(+)-.gamma.-Tocopherol_(+)-.gamma.-Tocopherol_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Quinone and hydroquinone lipids",3795.788,2132.90819444444,1
"6_151.0754_5.2868_6147_N/A_NA_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Ethers",33477.96,17303.5443888889,1
"8_151.0754_2.8664_5_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Quinone and hydroquinone lipids",36918.03,6780.33825,1
"9_151.0754_2.9613_5_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Quinone and hydroquinone lipids",18018.53,6893.33930555556,1
"10_151.0754_4.3022_5_(+)-.gamma.-Tocopherol_(+)-.gamma.-Tocopherol_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Quinone and hydroquinone lipids",25373.71,29764.5261666667,1
"11_151.0754_3.2068_9986_N/A_NA_no matches_no matches_no matches_no matches",9704.443,11539.0235555556,1
"12_151.0754_3.9369_347_3,4-Dimethylbenzoic acid_3,4-Dimethylbenzoic acid_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",14471.27,12523.3404722222,1
"13_151.0754_4.1876_5_(+)-.gamma.-Tocopherol_(+)-.gamma.-Tocopherol_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Quinone and hydroquinone lipids",16871.35,15954.35425,1
"14_151.0754_3.7439_347_3,4-Dimethylbenzoic acid_3,4-Dimethylbenzoic acid_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",14824.16,13969.51225,1
"16_151.0754_3.3333_9986_N/A_NA_no matches_no matches_no matches_no matches",7642.321,12101.3226666667,1
"17_151.0754_2.6577_5_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Quinone and hydroquinone lipids",12805.4,6940.76322222222,1
"18_151.0754_2.4279_9481_3,4-Dimethoxyphenylacetic acid_3,4-Dimethoxyphenylacetic acid_Organic compounds_Benzenoids_Benzene and substituted derivatives_Methoxybenzenes",6293.059,6461.42475,1
"20_151.0754_3.4445_9986_N/A_NA_no matches_no matches_no matches_no matches",9956.62,14041.5140277778,1
"22_151.0965_9.8009_-1_Triethylene glycol monobutyl ether_Triethylene glycol monobutyl ether_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Ethers",1315342,59127.29325,1
"23_151.0965_10.4355_-1_N/A_NA_no matches_no matches_no matches_no matches",225895.7,14187.472,1
"24_151.0965_5.4068_6147_Triethylene glycol monobutyl ether_Triethylene glycol monobutyl ether_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Ethers",417712.9,6810.63069444444,1
"25_151.0966_1.1916_6147_Triethylene glycol monobutyl ether_Triethylene glycol monobutyl ether_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Ethers",342195.4,124685.755402778,1
"26_151.0966_1.0595_6147_Triethylene glycol monobutyl ether_Triethylene glycol monobutyl ether_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Ethers",945382.5,1387318.268025,1
"27_151.0967_0.6793_6147_Triethylene glycol monobutyl ether_Triethylene glycol monobutyl ether_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Ethers",122093.2,94291.2345,1
"28_151.1118_10.1628_2064_(.+/-.)7-epi-Jasmonic acid_(.+/-.)7-epi-Jasmonic acid_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Lineolic acids and derivatives",612118.6,15858.4623333333,1
"29_151.1118_10.0915_2064_(.+/-.)7-epi-Jasmonic acid_(.+/-.)7-epi-Jasmonic acid_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Lineolic acids and derivatives",422624.5,36401.9783333333,1
"31_151.1118_4.5486_347_Spectral Match to Jasmine lactone from NIST14_Spectral Match to Jasmine lactone from NIST14_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",15029.01,12416.0901388889,1
"32_151.1118_3.666_347_Spectral Match to Jasmine lactone from NIST14_Spectral Match to Jasmine lactone from NIST14_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",11676.97,4240.37136111111,1
"33_151.1118_3.6059_347_Spectral Match to Jasmine lactone from NIST14_Spectral Match to Jasmine lactone from NIST14_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",11676.97,4602.135,1
