"","ASV","heated.p","heated.padj","bleached.p","bleached.padj","bleached.heated.p","bleached.heated.padj","heated.l2fc","bleached.l2fc","bleached.heated.l2fc","heated.sig","bleached.sig","bleached.heated.sig","ESV","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","X","X.1","X.2","X.3","X.4","DA_in"
"Otu00001","Otu00001",0.0716478728780247,0.381036414851313,0.264361343326889,0.717552217601557,0.20128035288783,0.825289484334127,-0.876426518607999,-0.533276724531416,-0.543701697888213,"N","N","N","esv_1","Otu00001","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","",NA,NA,NA,"","NNN"
"Otu00894","Otu00894",0.981164467417619,0.994638893384445,0.453430448402674,0.816754226383084,0.861166584888169,0.997343993153846,0.0456757738813066,1.44053345403462,-0.301027647196294,"N","N","N","esv_1006","Otu00894","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","",NA,NA,NA,"","NNN"
"Otu00101","Otu00101",0.0128171629890861,0.0999738713148717,0.000165429974700948,0.00228594146859492,0.037030354202105,0.234525576613332,2.18507826299735,3.29420019275925,1.6339460315016,"N","Y","N","esv_101","Otu00101","Bacteria(100)","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","",NA,NA,NA,"","Bleached + Ambient"
"Otu00897","Otu00897",0.565912075230397,0.815004967418123,0.499771527224277,0.853542383574045,0.763302327384285,0.997343993153846,-0.710348135898811,0.821585187073403,-0.328295517211247,"N","N","N","esv_1010","Otu00897","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","",NA,NA,NA,"","NNN"
"Otu00109","Otu00109",0.395385155661663,0.754232410160575,0.127687367318024,0.462106662674755,0.638956313609809,0.997343993153846,-1.23639923629385,-2.21481692507099,-0.607716179591023,"N","N","N","esv_109","Otu00109","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Nitrincolaceae_unclassified","",NA,NA,NA,"","NNN"
"Otu00011","Otu00011",0.549362300019228,0.813612520281641,0.810672025723537,0.944210178394839,0.693091625533418,0.997343993153846,-1.50941035909141,-0.599592266921757,-0.88293708259288,"N","N","N","esv_11","Otu00011","Bacteria(100)","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia","",NA,NA,NA,"","NNN"
"Otu00110","Otu00110",0.100799467817296,0.406673714987024,0.0306057795950284,0.155069283281477,0.344701347969831,0.997343993153846,-1.23326070650245,-1.61278762090441,-0.62519799094921,"N","N","N","esv_110","Otu00110","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Donghicola","",NA,NA,NA,"","NNN"
"Otu00988","Otu00988",0.746369829882872,NA,0.704829180240722,0.931163267364503,0.924593847966143,0.997343993153846,-0.635916566230617,-0.738271156414932,-0.164126611096847,NA,"N","N","esv_1120","Otu00988","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","",NA,NA,NA,"","NANN"
"Otu01012","Otu01012",0.730870280117017,NA,0.00154082605663626,0.0153812975404711,0.728740363372198,0.997343993153846,-0.587243214881651,-6.97573842319142,0.518289667482716,NA,"Y","N","esv_1151","Otu01012","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","",NA,NA,NA,"","Bleached + Ambient"
"Otu01023","Otu01023",0.689137366618256,NA,0.00161908395162854,0.0153812975404711,0.873967671398792,0.997343993153846,-0.687454186122211,-6.9635184693634,0.238381380541423,NA,"Y","N","esv_1165","Otu01023","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","",NA,NA,NA,"","Bleached + Ambient"
