"","ASV","heated.p","heated.padj","bleached.p","bleached.padj","bleached.heated.p","bleached.heated.padj","heated.l2fc","bleached.l2fc","bleached.heated.l2fc","heated.sig","bleached.sig","bleached.heated.sig"
"1","Otu00001",0.143563500300256,0.432173648393803,0.41102961018597,0.778586432656484,0.1478319045217,0.716984736930244,0.806558850805921,0.446043763795273,0.700080815758802,"N","N","N"
"2","Otu00101",0.00818597895882946,0.0819108176903542,0.000104998770248469,0.00169748011901691,0.0525462268296867,0.33979893349864,-2.21744103387488,-3.23737834794635,-1.4497098859393,"N","Y","N"
"3","Otu00109",0.367731559473491,0.648707038166285,0.146180481379893,0.47265022312832,0.543265822752037,0.981452785874647,1.2790660431039,2.05954469269091,0.767599061914311,"N","N","N"
"4","Otu00011",0.525723604354318,0.708266522532901,0.785213834170737,0.962198110632813,0.646134374387618,0.981452785874647,1.5857544846548,0.674973177782508,1.0161552963523,"N","N","N"
"5","Otu00110",0.089132323613499,0.360243141271225,0.0243621745202956,0.124375312024667,0.201267895414309,0.760052615715649,1.16344108102486,1.52356928560829,0.765764773464766,"N","N","N"
"6","Otu01024",0.785139322986638,0.917572461803661,0.185163091566791,0.569480963620475,0.584578186726628,0.981452785874647,-0.708715930320515,-3.42029825810211,-1.26345713266217,"N","N","N"
"7","Otu00012",0.589938685331865,0.761182989273802,0.79607699183755,0.962198110632813,0.601392823121977,0.981452785874647,0.295190905550156,0.140518678940608,0.253583730015015,"N","N","N"
"8","Otu00013",0.0168249960188212,0.116573186701833,0.933965223512219,0.974135770760056,0.449676219382006,0.981452785874647,-2.02194494584096,0.0704071651627435,-0.570784058586573,"N","N","N"
"9","Otu01139",0.38840563337413,0.648707038166285,0.714031134630666,0.962198110632813,0.744295990062769,0.981452785874647,1.76954575600538,-0.723517069220727,-0.575318582384066,"N","N","N"
"10","Otu00131",0.0141268407563166,0.105407965643285,0.018737037901531,0.103741995081926,0.0221664323425186,0.185855659408729,-9.82605213364836,-9.4081866313694,-8.27713447676913,"N","N","N"
"11","Otu00134",0.0617826464340377,0.31541666863693,0.230960612337265,0.622310538797629,0.282897931264784,0.863940815161766,2.06200853125719,1.30657514720681,1.0451265880822,"N","N","N"
