"","Sample","Well","Plate","Plate_Well","Tube Name:","Sample ID:","All Events","include Events","Sym-FSC Events","Sym-SSC Events","All Events  Events/μL(V)","include Events/μL(V)","Sym-FSC Events/μL(V)...11","Sym-SSC Events/μL(V)...12","Notes.x","Run Volume","Run Speed (uL/min)","Run Time (seconds)","starting time gate (seconds)","run time for data collection (seconds)","volume for data collection (uL)","events/event*ul-1","include events/events*uL-1","symFSC events/symFSC events*uL-1","Sym-FSC Events/μL(V)_corrected","Sym-FSC Events/μL(V)...24","symFSC_diff_percentage","Sym-SSC Events/μL(V)_corrected","Sym-SSC Events/μL(V)...27","symSSC_diff_percentage","Length","Width","Height","Shape","Vol","SA","Notes.y","Aquaria","Timepoint_Heat","Genotype","Timepoint","Heat","Aquaria_Timepoint_Heat","Outlier","Outlier1","Collection_Bleaching_Level","Collection_Bleaching_Level1","Species","sym.con","events","sym.total","sym.SA","log10.sym.SA"
"1","PC_BL1_T0C_A","A1",2,"02-Well-A1","02-Well-A1",NA,3369,1409,251,206,22.46,20.82,1.67,1.37,NA,150,30,300,10,290,145,150,"67.6753122","150.2994012",1.731034483,1.67,"1.036547594",1.420689655,1.37,"0.964320388",NA,0.8,1.9,"cylinder",11,11.56106097,NA,"BL1","T0C","A","T0","C","BL1_T0C",NA,NA,"BL","BL","Acropora pulchra",1.731034483,251,19041.379313,1647.02697809577,3.21670071291727
"2","PC_BL1_T0C_B","A2",2,"02-Well-A2","02-Well-A2",NA,13698,6394,2424,1937,91.32,94.5,16.16,12.91,NA,150,30,300,10,290,145,150,"67.66137566","150",16.71724138,16.16,"1.034482759",13.35862069,12.91,"0.96641714",NA,0.9,2.5,"cylinder",10,16.68185699,"epiphytic algae. maybe","BL1","T0C","B","T0","C","BL1_T0C",NA,NA,"BL","BL","Acropora pulchra",16.71724138,2424,167172.4138,10021.2113016082,4.00092021951621
"3","PC_BL1_T0C_C","A3",2,"02-Well-A3","02-Well-A3",NA,19345,9097,631,582,128.95,134.45,4.21,3.88,NA,150,30,300,10,290,145,150.0193874,"67.66084046","149.8812352",4.351724138,4.21,"1.033663691",4.013793103,3.88,"0.966666667",NA,1.4,1.8,"cylinder",10,21.99114858,NA,"BL1","T0C","C","T0","C","BL1_T0C",NA,NA,"BL","BL","Pocillopora verrucosa",4.351724138,631,43517.24138,1978.85259251884,3.29641344421145
"4","PC_BL1_T0C_D","A4",2,"02-Well-A4","02-Well-A4",NA,65006,30616,3181,2423,433.28,452.49,21.2,16.15,NA,150,30,300,10,290,145,150.0323117,"67.66116378","150.0471698",21.93793103,21.2,"1.034808068",16.71034483,16.15,"0.966467189",1,2.2,2.4,"box",10.5,17.56,"one tip overgrown with algae — avoided","BL1","T0C","D","T0","C","BL1_T0C",NA,NA,"BL","BL","Pocillopora verrucosa",21.93793103,3181,230348.275815,13117.7833607631,4.1178604542835
"5","PC_BL1_T0C_E","A5",2,"02-Well-A5","02-Well-A5",NA,76104,35731,263,219,507.33,528.09,1.75,1.46,NA,150,30,300,10,290,145,150.00887,"67.66081539","150.2857143",1.813793103,1.75,"1.036453202",1.510344828,1.46,"0.966666667",1,1.4,1.5,"BOX",10,8.6,NA,"BL1","T0C","E","T0","C","BL1_T0C",NA,NA,"BL","BL","Porites rus",1.813793103,263,18137.93103,2109.06174767442,3.32408929490388
"6","PC_BL1_T0C_F","A6",2,"02-Well-A6","02-Well-A6",NA,27142,11240,463,448,180.9,166.12,3.09,2.99,NA,150,30,300,10,290,145,150.0386954,"67.66193113","149.8381877",3.193103448,3.09,"1.033366812",3.089655172,2.99,"0.967745536",NA,1.1,1.2,"cylinder",15,12.09513172,NA,"BL1","T0C","F","T0","C","BL1_T0C",NA,NA,"BL","BL","Porites rus",3.193103448,463,47896.55172,3959.98595375363,3.59769364546639
"7","PC_BL1_T7C_A","H7",2,"02-Well-H7","02-Well-H7",NA,2878,1681,39,22,23.98,18.27,0.32,0.18,NA,120,60,120,10,110,110,120.0166806,"92.00875753","121.875",0.354545455,0.32,"1.107954545",0.2,0.18,"0.9",NA,0.7,3.1,"cylinder",10,15.17389252,"dead, epiphytic algae","BL1","T7C","A","T7","C","BL1_T7C","Y",NA,"BL","BL","Acropora pulchra",0.354545455,39,3545.45455,233.65491388099,2.36857491888894
"8","PC_BL1_T7C_B","H8",2,"02-Well-H8","02-Well-H8",NA,15352,10378,2648,2405,127.85,112.79,22.05,20.03,NA,120,60,120,10,110,110,120.0782167,"92.01170317","120.0907029",24.07272727,22.05,"1.091733663",21.86363636,20.03,"0.916133056",NA,0.9,5.1,"cylinder",10,31.38451061,"epiphytic algae. Some","BL1","T7C","B","T7","C","BL1_T7C",NA,NA,"BL","BL","Acropora pulchra",24.07272727,2648,240727.2727,7670.257334626,3.88480993463129
"9","PC_BL1_T7C_C","H9",2,"02-Well-H9","02-Well-H9",NA,46530,33953,6211,5739,387.71,369.27,51.75,47.82,NA,120,60,120,10,110,110,120.0123804,"91.94627238","120.0193237",56.46363636,51.75,"1.091084761",52.17272727,47.82,"0.916570831",NA,1.6,3.6,"dome",12,19.80230356,NA,"BL1","T7C","C","T7","C","BL1_T7C",NA,NA,"BL","BL","Pocillopora verrucosa",56.46363636,6211,677563.63632,34216.4048877958,4.5342343763502
"10","PC_BL1_T7C_D","H10",2,"02-Well-H10","02-Well-H10",NA,136009,97394,17677,16311,1133.31,1059.27,147.3,135.91,NA,120,60,120,10,110,110,120.010412,"91.94445231","120.0067889",160.7,147.3,"1.090970808",148.2818182,135.91,"0.916565508",0.9,1.8,2,"box-y triangle",10,3.604086692,NA,"BL1","T7C","D","T7","C","BL1_T7C",NA,NA,"BL","BL","Pocillopora verrucosa",160.7,17677,1607000,445882.726285986,5.64922064789572
