"","Group.1","sym_total (no outliers1)","sym_total (no outliers)","SA (no outliers1)","SA_no_outliers","sym.SA.normalized.no.outliers","sym.SA.normalized.no.outliers1","Sample Name","Temp","Origin_PlanC","Field_Treatment","Bleaching_Status","Bleaching_Susceptability","Stress_status","Treatment_old","Treatment","Timepoint_char","Bottle_NR","Notes","Experiment","Treatment_v1","Bleaching_Status_at_Collection"
"1","BL1_T0C",508520,508520,88.48919826,88.48919826,5746.69010454655,5746.69010454655,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0",NA,NA,NA,"Bleached + Ambient","Bleached"
"2","BL1_T7C",2562000,2558800,90.690889574,75.516997054,33883.7625941386,28249.8055982736,"ABC_010","Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","T7",10,NA,"ABCDOM","Bleached + Ambient",""
"3","BL1_T7H",171900,171900,106.27875538,106.27875538,1617.44460955881,1617.44460955881,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T7",NA,NA,NA,"Bleached + Heated",""
"4","BL2_T0C",541545,538845,98.575188054,86.637135974,6219.56155339332,5493.72525369507,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0",NA,NA,NA,"Bleached + Ambient","Bleached"
"5","BL2_T7C",2069800,2049000,81.263208821,45.668964051,44866.3560161298,25470.3208257403,"ABC_011","Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","T7",11,NA,"ABCDOM","Bleached + Ambient",""
"6","BL2_T7H",669385,669385,94.19252832,94.19252832,7106.56154940337,7106.56154940337,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T7",NA,NA,NA,"Bleached + Heated",""
"7","BL3_T0C",1347400,775200,142.872839092,136.52123106,5678.23769227005,9430.76380761475,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0",NA,NA,NA,"Bleached + Ambient","Bleached"
"8","BL3_T7C",826045,712820,93.56955321,58.54831582,12174.9018740604,8828.13876588778,"ABC_012","Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","T7",12,NA,"ABCDOM","Bleached + Ambient",""
"9","BL3_T7H",3055470,3055170,76.256098131,61.270701171,49863.4737584175,40068.5332044005,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T7",NA,NA,NA,"Bleached + Heated",""
"10","HE1_T0C",20139300,20139300,165.04117472,165.04117472,122025.912831554,122025.912831554,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0",NA,NA,NA,"Non-bleached + Ambient","Healthy"
"11","HE1_T7C",8019100,8019100,75.3544236,75.3544236,106418.437258141,106418.437258141,"ABC_013","Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","T7",13,NA,"ABCDOM","Non-bleached + Ambient",""
"12","HE1_T7H",2921300,2916000,126.26774385,100.26774385,29082.1343737655,23135.7582778256,"ABC_004","Hot","Healthy","Bleaching","Non Bleached","Resistant","Thermal Stress","Heated","Non-bleached + Heated","T7",4,"Not taken","ABCDOM","Non-bleached + Heated",""
"13","HE2_T0C",13924550,13924550,150.30044477,150.30044477,92644.7690910582,92644.7690910582,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0",NA,NA,NA,"Non-bleached + Ambient","Healthy"
"14","HE2_T7C",13294780,13273680,139.41423193,127.47423193,104128.338716243,95361.7131906255,"ABC_014","Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","T7",14,NA,"ABCDOM","Non-bleached + Ambient",""
"15","HE2_T7H",12254100,12254100,110.737626069,110.737626069,110658.864877278,110658.864877278,"ABC_005","Hot","Healthy","Bleaching","Non Bleached","Resistant","Thermal Stress","Heated","Non-bleached + Heated","T7",5,NA,"ABCDOM","Non-bleached + Heated",""
"16","HE3_T0C",16100650,13147050,135.40382761,107.11911184,122733.000434482,118908.381573778,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0",NA,NA,NA,"Non-bleached + Ambient","Healthy"
"17","HE3_T7C",9616700,9616700,162.046664659,162.046664659,59345.2510746625,59345.2510746625,"ABC_015","Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","T7",15,NA,"ABCDOM","Non-bleached + Ambient",""
"18","HE3_T7H",14215345,14215345,200.68769842,200.68769842,70833.1657192563,70833.1657192563,"ABC_006","Hot","Healthy","Bleaching","Non Bleached","Resistant","Thermal Stress","Heated","Non-bleached + Heated","T7",6,NA,"ABCDOM","Non-bleached + Heated",""
"19","PB1_T0C",3036745,3036745,155.1093603,155.1093603,19578.0898981633,19578.0898981633,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0",NA,NA,NA,"Bleached + Ambient","Bleached"
"20","PB1_T7C",8665570,8665570,158.72114193,158.72114193,54596.1923826237,54596.1923826237,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T7",NA,NA,NA,"Bleached + Ambient",""
"21","PB1_T7H",4023655,4023655,170.144611109,170.144611109,23648.4421914622,23648.4421914622,"ABC_001","Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","T7",1,NA,NA,"Bleached + Heated",""
