"","ESV","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","mean_abund","NC.relabund","BA.relabund","BH.relabund","NCH.relabund","NbA.relabund","NbH.relabund"
"Otu00001","esv_1","Otu00001","Bacteria(100)","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902",490.8,0.133955039525692,0.0794836956521739,0.126111660079051,0.382658102766798,0.219244071146245,0.0585474308300395
"Otu00894","esv_1006","Otu00894","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified",61.2,0.140770252324037,0.250996015936255,0.142540947321824,0.106241699867198,0.18946436476317,0.169986719787517
"Otu00101","esv_101","Otu00101","Bacteria(100)","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured",287.4,0.0706572332898902,0.327034071867436,0.193260100539937,0.14131446657978,0.0733569167752746,0.194377210947682
"Otu00897","esv_1010","Otu00897","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified",69.7333333333333,0,0.279297672519396,0.216414863209473,0.0449162923642303,0.301347488770927,0.158023683135974
"Otu00109","esv_109","Otu00109","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Nitrincolaceae_unclassified",1008.06666666667,0.224168073306004,0.00985652278755727,0.0513624306727755,0.605618519411623,0.0777067759826381,0.031287677839402
"Otu00011","esv_11","Otu00011","Bacteria(100)","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia",86.7333333333333,0.210633946830266,0.0623721881390593,0.113156100886162,0.332651670074983,0.214723926380368,0.0664621676891615
"Otu00110","esv_110","Otu00110","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Donghicola",296.4,0.164550533265617,0.0481462671406805,0.165159979685119,0.265515490096496,0.278923311325546,0.0777044184865414
"Otu00988","esv_1120","Otu00988","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified",44.8,0.234916559691913,0.0693196405648267,0.13607188703466,0.258023106546855,0.193838254172015,0.10783055198973
"Otu01012","esv_1151","Otu01012","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified",38.6666666666667,0.253968253968254,0,0.275132275132275,0.145124716553288,0.210128495842782,0.115646258503401
"Otu01023","esv_1165","Otu01023","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified",47.8,0.277573529411765,0,0.17156862745098,0.300245098039216,0.16421568627451,0.0863970588235294
"Otu01024","esv_1166","Otu01024","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Catenovulum",50.0666666666667,0,0.531958762886598,0.206185567010309,0.0237113402061856,0.0927835051546392,0.145360824742268
"Otu01027","esv_1170","Otu01027","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified",29.9333333333333,0,0,0.172340425531915,0.148936170212766,0.54468085106383,0.134042553191489
"Otu00012","esv_12","Otu00012","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobius",720.533333333333,0.258889801666471,0.0929468372256777,0.176270390799202,0.157962680436568,0.20255838516606,0.11137190470602
"Otu00013","esv_13","Otu00013","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Olleya",118.733333333333,0.0711143695014663,0.102639296187683,0.342619745845552,0.0542521994134897,0.214565004887586,0.214809384164223
