"","Mo_2019_320","Mo_2019_321","Mo_2019_322","Mo_2019_323","Mo_2019_324","Mo_2019_325","Mo_2019_326","Mo_2019_327","Mo_2019_328","Mo_2019_329","Mo_2019_330","Mo_2019_331","Mo_2019_332","Mo_2019_333","Mo_2019_334","Mo_2019_335","Mo_2019_336","Mo_2019_337","Mo_2019_338","Mo_2019_339","Mo_2019_340","Mo_2019_341","Mo_2019_342","Mo_2019_343","Mo_2019_344","Mo_2019_345","Mo_2019_346","Mo_2019_347","Mo_2019_348","Mo_2019_349","Mo_2019_350","Mo_2019_351","Mo_2019_352","Mo_2019_353","Mo_2019_543"
"89_496.1782_12.2085_87_N/A_Spectral Match to Linoleic acid ethyl ester from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides",22480.55,0,30493.25,35530.62,10647.21,7777.66,37476.66,71021.54,59500.12,13923.95,0,0,124236.6,39602.93,10399.93,47673.53,23827.52,53321.8,7402.192,29306.36,17212.43,44927.08,72681.24,60153.88,0,70478.57,25922.24,28644.18,201388.5,22370.69,109659,0,144362.9,120694.2,10192.63
"260_995.3443_12.2262_87_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15725.38,0,0,0,0,0,0,0
"279_470.2603_11.8735_1870_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Benzene and substituted derivatives_NA",0,7108.58,0,0,0,0,0,0,14156,0,0,0,0,0,0,0,0,17294.19,9851.797,0,0,25070.19,10185.84,0,0,0,0,0,0,0,0,0,0,0,0
"291_392.2158_11.0298_87_N/A_Spectral Match to Conjugated linoleic acid (9E,11E) from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides",0,0,0,0,0,62270.34,239266.4,102577.5,0,97713.93,86632.53,94437.67,0,0,118907.5,103734.9,0,0,0,0,0,0,45506.2,0,88906.39,0,0,0,0,39420.89,0,0,231835.4,0,0
"413_416.2518_11.8644_-1_N/A_Spectral Match to Linoleic acid ethyl ester from NIST14_NA_no matches_no matches_no matches_no matches",0,0,27627.87,0,0,0,6942.822,0,23845.57,10071.15,0,42234.97,204804.2,11425.13,14589.58,7389.325,22746.09,18450.42,12594.94,9008.532,16640.44,29612.69,15465.46,33525.23,12247.62,12045.79,0,6612.903,97548.86,0,6068.749,0,0,0,7918.857
"6634_331.2745_9.2491_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6713_333.0598_7.1269_-1_N/A_MassbankEU:SM874102 Drospirenone_NA_no matches_no matches_no matches_no matches",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105380.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6761_335.0579_7.1274_242_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Benzene and substituted derivatives_NA",0,0,0,0,0,0,0,0,0,0,235833.6,0,0,0,0,0,0,0,0,0,143661.9,0,0,0,0,0,0,0,0,0,0,0,104782.3,0,0
"6981_511.2564_10.3013_757_N/A_Spectral Match to Monoelaidin from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7541_452.2777_9.6264_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",0,0,0,0,0,0,0,0,0,0,449110.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
