"","Mo_2019_122_C"
"1_570.4208_10.666_107_N/A_smenospongidine_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","5.880833e+06"
"2_614.4473_10.663_107_N/A_(2-aminoethoxy)[2,3-bis(tetradecanoyloxy)propoxy]phosphinic acid_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","4.221816e+06"
"3_338.3418_12.4219_87_Spectral Match to 13-Docosenamide, (Z)- from NIST14_Spectral Match to 9-Octadecenamide, (Z)- from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","8.611551e+07"
"4_526.3947_10.6831_107_N/A_5,6,11-trihydroxy-4-(hydroxymethyl)-8,12,15,15-tetramethyl-7-oxo-3-oxapentacyclo[9.5.0.01/4,?.0?,1/4?.01/4?,1/4?]hexadec-8-en-14-yl tetradecanoate_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","6.186278e+06"
"5_658.4736_10.631_107_N/A_GalCer(d18:2/16:2); [M+H]+ C40H72N1O8_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","3.190887e+06"
"6_536.1653_12.3652_172_Contaminants septum vial Thermo C4000-53 and C4000-54 serie_Contaminants septum vial Thermo C4000-53 and C4000-54 serie_NA_Organic compounds_Phenylpropanoids and polyketides_Flavonoids_Flavonoid glycosides","2.284265e+05"
"7_192.1382_7.929_168_MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide_MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA","4.242691e+10"
"8_554.1762_11.261_184_N/A_Contaminant vial septum ThermoFisher C5000-44B_NA_Organic compounds_Phenylpropanoids and polyketides_Flavonoids_Flavonoid glycosides","1.121529e+07"
"9_227.1754_2.9523_112_N/A_Massbank:LU071601 SR271425|Formamide, N-((1-((2-(diethylamino)ethyl)amino)-7-methoxy-9-oxo-9H-thioxanthen-4-yl)methyl)-|N-[[1-[2-(diethylamino)ethylamino]-7-methoxy-9-oxothioxanthen-4-yl]methyl]formamide_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Amino acids, peptides, and analogues","1.214148e+09"
"10_702.4999_10.6147_107_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","1.692895e+06"
"11_446.2751_10.0563_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","3.868078e+06"
"12_682.3634_11.0727_651_N/A_AC1L1X1Z_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Pregnane steroids","1.242614e+07"
"13_482.3685_10.6947_107_N/A_5,6,11-trihydroxy-4-(hydroxymethyl)-8,12,15,15-tetramethyl-7-oxo-3-oxapentacyclo[9.5.0.01/4,?.0?,1/4?.01/4?,1/4?]hexadec-8-en-14-yl tetradecanoate_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","5.134258e+06"
"14_598.4521_11.0943_107_N/A_PE(P-16:0/16:0); [M-H]- C37H73N1O7P1_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","1.393529e+06"
"15_448.279_11.8541_87_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","0.000000e+00"
"16_432.2505_9.6399_494_N/A_Massbank: Cholesterol_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","1.350667e+07"
"17_450.2759_11.855_87_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","0.000000e+00"
"18_628.1951_11.6194_184_Contaminant vial septum ThermoFisher C5000-44B_Contaminant vial septum ThermoFisher C5000-44B_NA_Organic compounds_Phenylpropanoids and polyketides_Flavonoids_Flavonoid glycosides","3.436418e+07"
"19_318.1912_9.3979_195_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","3.174627e+07"
"20_346.2224_9.5424_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","3.634816e+07"
"21_418.2437_10.0116_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","5.234895e+07"
"22_546.3267_10.296_496_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA","7.857258e+06"
"23_274.2741_8.5059_77_Massbank:LU030802 Lauryldiethanolamine|2-[dodecyl(2-hydroxyethyl)amino]ethanol_Massbank:LU030802 Lauryldiethanolamine|2-[dodecyl(2-hydroxyethyl)amino]ethanol_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines","4.709611e+07"
"24_242.2115_9.4094_176_N/A_5-(hydroxyimino)-2,15-dimethyltetracyclo[8.7.0.0.0]heptadecan-14-o l_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","5.557829e+06"
"25_223.989_0.5599_1189_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Benzothiazoles_NA","5.089990e+06"
"26_151.0353_0.5592_1017_N/A_NA_NA_Organic compounds_Benzenoids_Phenol ethers_Anisoles","1.502731e+07"
"27_228.1959_9.4104_209_N/A_VITAMIN K1_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_NA","1.140736e+07"
"28_646.3792_10.4766_496_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA","4.318478e+06"
"29_182.9852_13.1336_1017_N/A_DIHYDROOROTATE - 30.0 eV_NA_Organic compounds_Benzenoids_Phenol ethers_Anisoles","8.856727e+07"
"30_418.2437_9.5979_34_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","2.448099e+09"
"31_746.526_10.5976_107_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","9.654006e+05"
"32_344.228_3.3356_110_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","2.486462e+09"
